2021-07-04 05:00:10,035 INFO     Search BICs for /tmp/Jsoup-83b/
2021-07-04 05:00:10,035 DEBUG    Reading the coverage of org.jsoup.parser.TokeniserStateTest::handlesLessInTagThanAsNewTag (failings)
2021-07-04 05:00:10,124 DEBUG    Reading the coverage of org.jsoup.parser.HtmlParserTest::parsesQuiteRoughAttributes (failings)
2021-07-04 05:00:10,229 INFO     Loaded 2x1272 Coverage Matrix
2021-07-04 05:00:10,230 INFO     The number of total commits: 1183
2021-07-04 05:00:10,550 DEBUG    [line range] org/jsoup/Jsoup.java parse 57:59
2021-07-04 05:00:10,586 DEBUG                  - depth 0, hash d23db47, HEAD~1131
2021-07-04 05:00:10,592 DEBUG                  - depth 1, hash 9d3ab85, HEAD~1155
2021-07-04 05:00:10,888 DEBUG    [line range] org/jsoup/helper/ChangeNotifyingArrayList.java <init> 10:12
2021-07-04 05:00:10,923 DEBUG                  - depth 0, hash 38049ce, HEAD~184
2021-07-04 05:00:10,928 DEBUG    [line range] org/jsoup/helper/ChangeNotifyingArrayList.java add 22:26
2021-07-04 05:00:10,962 DEBUG                  - depth 0, hash 38049ce, HEAD~184
2021-07-04 05:00:11,331 DEBUG    [line range] org/jsoup/helper/StringUtil.java <clinit> 14:16
2021-07-04 05:00:11,368 DEBUG                  - depth 0, hash ea1fb65, HEAD~138
2021-07-04 05:00:11,373 DEBUG                  - depth 1, hash 18e9a8f, HEAD~925
2021-07-04 05:00:11,377 DEBUG    [line range] org/jsoup/helper/StringUtil.java in 176:183
2021-07-04 05:00:11,413 DEBUG                  - depth 0, hash fb8b60b, HEAD~85
2021-07-04 05:00:11,418 DEBUG                  - depth 1, hash 8749726, HEAD~786
2021-07-04 05:00:11,422 DEBUG    [line range] org/jsoup/helper/StringUtil.java inSorted 185:187
2021-07-04 05:00:11,457 DEBUG                  - depth 0, hash 8c43a81, HEAD~332
2021-07-04 05:00:11,463 DEBUG    [line range] org/jsoup/helper/StringUtil.java isBlank 82:92
2021-07-04 05:00:11,499 DEBUG                  - depth 0, hash dd4b682, HEAD~723
2021-07-04 05:00:11,504 DEBUG                  - depth 1, hash 18e9a8f, HEAD~925
2021-07-04 05:00:11,508 DEBUG    [line range] org/jsoup/helper/StringUtil.java isWhitespace 117:119
2021-07-04 05:00:11,544 DEBUG                  - depth 0, hash 84ab3d3, HEAD~718
