2021-07-03 20:57:48,141 INFO     Search BICs for /tmp/Gson-8b/
2021-07-03 20:57:48,141 DEBUG    Reading the coverage of com.google.gson.internal.UnsafeAllocatorInstantiationTest::testAbstractClassInstantiation (failings)
2021-07-03 20:57:48,142 DEBUG    Reading the coverage of com.google.gson.internal.UnsafeAllocatorInstantiationTest::testInterfaceInstantiation (failings)
2021-07-03 20:57:48,142 INFO     Loaded 2x9 Coverage Matrix
2021-07-03 20:57:48,143 INFO     The number of total commits: 1245
2021-07-03 20:57:48,462 DEBUG    [single line]   com/google/gson/internal/UnsafeAllocator.java <init> 30
2021-07-03 20:57:48,510 DEBUG                  - depth 0, hash 98aa124, HEAD~639
2021-07-03 20:57:48,516 DEBUG                  - depth 1, hash 5bc80cd, HEAD~754
2021-07-03 20:57:48,520 DEBUG                  - depth 2, hash 4efb133, HEAD~758
2021-07-03 20:57:48,524 DEBUG                  - depth 3, hash 861e047, HEAD~772
2021-07-03 20:57:48,528 DEBUG                  - depth 4, hash 43137b6, HEAD~785
2021-07-03 20:57:48,532 DEBUG    [line range] com/google/gson/internal/UnsafeAllocator.java create 33:103
2021-07-03 20:57:48,581 DEBUG                  - depth 0, hash f1f838c, HEAD~245
2021-07-03 20:57:48,586 DEBUG                  - depth 1, hash 533ea17, HEAD~672
2021-07-03 20:57:48,590 DEBUG                  - depth 2, hash 5bc80cd, HEAD~754
2021-07-03 20:57:48,594 DEBUG                  - depth 3, hash 4efb133, HEAD~758
2021-07-03 20:57:48,598 DEBUG                  - depth 4, hash b51ffc1, HEAD~767
2021-07-03 20:57:48,602 DEBUG                  - depth 5, hash 43137b6, HEAD~785
2021-07-03 20:57:48,607 DEBUG    [line range] com/google/gson/internal/UnsafeAllocator.java <init> 33:103
2021-07-03 20:57:48,656 DEBUG                  - depth 0, hash f1f838c, HEAD~245
2021-07-03 20:57:48,661 DEBUG                  - depth 1, hash 533ea17, HEAD~672
2021-07-03 20:57:48,665 DEBUG                  - depth 2, hash 5bc80cd, HEAD~754
2021-07-03 20:57:48,669 DEBUG                  - depth 3, hash 4efb133, HEAD~758
2021-07-03 20:57:48,673 DEBUG                  - depth 4, hash b51ffc1, HEAD~767
2021-07-03 20:57:48,678 DEBUG                  - depth 5, hash 43137b6, HEAD~785
2021-07-03 20:57:48,682 DEBUG    [line range] com/google/gson/internal/UnsafeAllocator.java newInstance 33:103
2021-07-03 20:57:48,731 DEBUG                  - depth 0, hash f1f838c, HEAD~245
2021-07-03 20:57:48,736 DEBUG                  - depth 1, hash 533ea17, HEAD~672
2021-07-03 20:57:48,740 DEBUG                  - depth 2, hash 5bc80cd, HEAD~754
2021-07-03 20:57:48,744 DEBUG                  - depth 3, hash 4efb133, HEAD~758
2021-07-03 20:57:48,748 DEBUG                  - depth 4, hash b51ffc1, HEAD~767
2021-07-03 20:57:48,752 DEBUG                  - depth 5, hash 43137b6, HEAD~785
2021-07-03 20:57:48,757 INFO     The number of BIC candidates: 8
