2021-07-04 04:59:15,912 INFO     Search BICs for /tmp/Jsoup-79b/
2021-07-04 04:59:15,912 DEBUG    Reading the coverage of org.jsoup.nodes.TextNodeTest::testLeadNodesHaveNoChildren (failings)
2021-07-04 04:59:15,997 INFO     Loaded 1x1026 Coverage Matrix
2021-07-04 04:59:15,997 INFO     The number of total commits: 1158
2021-07-04 04:59:16,307 DEBUG    [line range] org/jsoup/Jsoup.java parse 57:59
2021-07-04 04:59:16,343 DEBUG                  - depth 0, hash d23db47, HEAD~1106
2021-07-04 04:59:16,349 DEBUG                  - depth 1, hash 9d3ab85, HEAD~1130
2021-07-04 04:59:16,649 DEBUG    [line range] org/jsoup/helper/ChangeNotifyingArrayList.java <init> 10:12
2021-07-04 04:59:16,684 DEBUG                  - depth 0, hash 38049ce, HEAD~159
2021-07-04 04:59:16,690 DEBUG    [line range] org/jsoup/helper/ChangeNotifyingArrayList.java add 22:26
2021-07-04 04:59:16,723 DEBUG                  - depth 0, hash 38049ce, HEAD~159
2021-07-04 04:59:17,067 DEBUG    [line range] org/jsoup/helper/StringUtil.java <clinit> 14:16
2021-07-04 04:59:17,102 DEBUG                  - depth 0, hash ea1fb65, HEAD~113
2021-07-04 04:59:17,107 DEBUG                  - depth 1, hash 18e9a8f, HEAD~900
2021-07-04 04:59:17,111 DEBUG    [line range] org/jsoup/helper/StringUtil.java in 176:183
2021-07-04 04:59:17,146 DEBUG                  - depth 0, hash fb8b60b, HEAD~60
2021-07-04 04:59:17,151 DEBUG                  - depth 1, hash 8749726, HEAD~761
2021-07-04 04:59:17,155 DEBUG    [line range] org/jsoup/helper/StringUtil.java inSorted 185:187
2021-07-04 04:59:17,189 DEBUG                  - depth 0, hash 8c43a81, HEAD~307
2021-07-04 04:59:17,195 DEBUG    [line range] org/jsoup/helper/StringUtil.java isWhitespace 117:119
2021-07-04 04:59:17,229 DEBUG                  - depth 0, hash 84ab3d3, HEAD~693
2021-07-04 04:59:17,235 DEBUG                  - depth 1, hash dd4b682, HEAD~698
2021-07-04 04:59:17,239 DEBUG    [line range] org/jsoup/helper/StringUtil.java initialValue 247:252
2021-07-04 04:59:17,274 DEBUG                  - depth 0, hash 5e386d5, HEAD~118
2021-07-04 04:59:17,279 DEBUG                  - depth 1, hash c63ccf8, HEAD~119
2021-07-04 04:59:17,283 DEBUG                  - depth 2, hash 1e09df6, HEAD~309
2021-07-04 04:59:17,601 DEBUG    [line range] org/jsoup/helper/Validate.java isFalse 52:55
2021-07-04 04:59:17,636 DEBUG                  - depth 0, hash 8749726, HEAD~761
2021-07-04 04:59:17,641 DEBUG    [line range] org/jsoup/helper/Validate.java isFalse 62:65
2021-07-04 04:59:17,675 DEBUG                  - depth 0, hash 8749726, HEAD~761
2021-07-04 04:59:17,680 DEBUG    [line range] org/jsoup/helper/Validate.java isTrue 33:36
2021-07-04 04:59:17,715 DEBUG                  - depth 0, hash 18e9a8f, HEAD~900
2021-07-04 04:59:17,720 DEBUG    [line range] org/jsoup/helper/Validate.java isTrue 43:46
2021-07-04 04:59:17,755 DEBUG                  - depth 0, hash 18e9a8f, HEAD~900
2021-07-04 04:59:17,760 DEBUG    [line range] org/jsoup/helper/Validate.java notEmpty 90:93
2021-07-04 04:59:17,795 DEBUG                  - depth 0, hash 18e9a8f, HEAD~900
2021-07-04 04:59:17,800 DEBUG    [line range] org/jsoup/helper/Validate.java notNull 14:17
2021-07-04 04:59:17,835 DEBUG                  - depth 0, hash 18e9a8f, HEAD~900
2021-07-04 04:59:17,840 DEBUG    [line range] org/jsoup/helper/Validate.java notNull 24:27
2021-07-04 04:59:17,874 DEBUG                  - depth 0, hash 18e9a8f, HEAD~900
2021-07-04 04:59:18,150 DEBUG    [line range] org/jsoup/internal/Normalizer.java lowerCase 10:12
2021-07-04 04:59:18,184 DEBUG                  - depth 0, hash 8808e3f, HEAD~37
2021-07-04 04:59:18,190 DEBUG                  - depth 1, hash 42c0a0e, HEAD~137
2021-07-04 04:59:18,194 DEBUG                  - depth 2, hash 8121d8c, HEAD~163
2021-07-04 04:59:18,588 DEBUG    [line range] org/jsoup/nodes/Attributes.java <clinit> 38:38
2021-07-04 04:59:18,622 DEBUG                  - depth 0, hash ea1fb65, HEAD~113
2021-07-04 04:59:18,628 DEBUG    [line range] org/jsoup/nodes/Attributes.java <init> 42:42
2021-07-04 04:59:18,662 DEBUG                  - depth 0, hash ea1fb65, HEAD~113
2021-07-04 04:59:18,667 DEBUG    [single line]   org/jsoup/nodes/Attributes.java access$400 32
2021-07-04 04:59:18,704 DEBUG                  - depth 0, hash 5ca6b40, HEAD~842
2021-07-04 04:59:18,709 DEBUG                  - depth 1, hash 2f0a7bf, HEAD~1129
2021-07-04 04:59:18,714 DEBUG                  - depth 2, hash a657d09, HEAD~1145
2021-07-04 04:59:18,718 DEBUG    [line range] org/jsoup/nodes/Attributes.java normalize 378:382
2021-07-04 04:59:18,754 DEBUG                  - depth 0, hash ea1fb65, HEAD~113
2021-07-04 04:59:18,760 DEBUG                  - depth 1, hash 847e03e, HEAD~929
2021-07-04 04:59:19,130 DEBUG    [line range] org/jsoup/nodes/Document.java <init> 19:19
2021-07-04 04:59:19,168 DEBUG                  - depth 0, hash 57bce6d, HEAD~911
2021-07-04 04:59:19,174 DEBUG    [line range] org/jsoup/nodes/Document.java <init> 372:372
2021-07-04 04:59:19,211 DEBUG                  - depth 0, hash f8841ed, HEAD~913
2021-07-04 04:59:19,216 DEBUG    [line range] org/jsoup/nodes/Document.java charset 426:429
2021-07-04 04:59:19,255 DEBUG                  - depth 0, hash ea1fb65, HEAD~113
2021-07-04 04:59:19,260 DEBUG                  - depth 1, hash 7c8df4c, HEAD~115
2021-07-04 04:59:19,265 DEBUG                  - depth 2, hash 5e386d5, HEAD~118
2021-07-04 04:59:19,269 DEBUG                  - depth 3, hash 3b2440a, HEAD~221
2021-07-04 04:59:19,273 DEBUG                  - depth 4, hash 85c8356, HEAD~393
2021-07-04 04:59:19,277 DEBUG                  - depth 5, hash 57bce6d, HEAD~911
2021-07-04 04:59:19,281 DEBUG                  - depth 6, hash f8841ed, HEAD~913
2021-07-04 04:59:19,285 DEBUG    [single line]   org/jsoup/nodes/Document.java <clinit> 370
2021-07-04 04:59:19,321 DEBUG                  - depth 0, hash 6c4f16f, HEAD~528
2021-07-04 04:59:19,327 DEBUG    [single line]   org/jsoup/nodes/Document.java <clinit> 564
2021-07-04 04:59:19,364 DEBUG                  - depth 0, hash 8749726, HEAD~761
2021-07-04 04:59:19,370 DEBUG    [single line]   org/jsoup/nodes/Document.java <clinit> 565
2021-07-04 04:59:19,407 DEBUG                  - depth 0, hash 616d3c4, HEAD~334
2021-07-04 04:59:19,412 DEBUG                  - depth 1, hash 8749726, HEAD~761
2021-07-04 04:59:19,881 DEBUG    [line range] org/jsoup/nodes/Element.java <clinit> 41:41
2021-07-04 04:59:19,919 DEBUG                  - depth 0, hash f71712b, HEAD~117
2021-07-04 04:59:19,925 DEBUG    [line range] org/jsoup/nodes/Element.java <init> 83:85
2021-07-04 04:59:19,977 DEBUG                  - depth 0, hash f71712b, HEAD~117
2021-07-04 04:59:19,982 DEBUG                  - depth 1, hash 3205f0e, HEAD~1062
2021-07-04 04:59:19,986 DEBUG                  - depth 2, hash 83b8d1a, HEAD~1086
2021-07-04 04:59:19,990 DEBUG    [line range] org/jsoup/nodes/Element.java <init> 66:73
2021-07-04 04:59:20,044 DEBUG                  - depth 0, hash f71712b, HEAD~117
2021-07-04 04:59:20,049 DEBUG                  - depth 1, hash e5cd584, HEAD~1055
2021-07-04 04:59:20,053 DEBUG                  - depth 2, hash 3205f0e, HEAD~1062
2021-07-04 04:59:20,058 DEBUG                  - depth 3, hash d23db47, HEAD~1106
2021-07-04 04:59:20,062 DEBUG                  - depth 4, hash 0474436, HEAD~1137
2021-07-04 04:59:20,066 DEBUG                  - depth 5, hash a657d09, HEAD~1145
2021-07-04 04:59:20,070 DEBUG    [line range] org/jsoup/nodes/Element.java appendChild 401:410
2021-07-04 04:59:20,124 DEBUG                  - depth 0, hash 8c43a81, HEAD~307
2021-07-04 04:59:20,129 DEBUG                  - depth 1, hash 8391b72, HEAD~362
2021-07-04 04:59:20,133 DEBUG                  - depth 2, hash 990285b, HEAD~408
2021-07-04 04:59:20,137 DEBUG                  - depth 3, hash 05ea09d, HEAD~958
2021-07-04 04:59:20,141 DEBUG                  - depth 4, hash 95945f1, HEAD~1052
2021-07-04 04:59:20,146 DEBUG                  - depth 5, hash e5cd584, HEAD~1055
2021-07-04 04:59:20,150 DEBUG                  - depth 6, hash 9bed789, HEAD~1065
2021-07-04 04:59:20,154 DEBUG                  - depth 7, hash abdf227, HEAD~1066
2021-07-04 04:59:20,158 DEBUG                  - depth 8, hash 83d1848, HEAD~1067
2021-07-04 04:59:20,162 DEBUG                  - depth 9, hash 0474436, HEAD~1137
2021-07-04 04:59:20,166 DEBUG                  - depth 10, hash a657d09, HEAD~1145
2021-07-04 04:59:20,170 DEBUG    [line range] org/jsoup/nodes/Element.java childNodeSize 116:119
2021-07-04 04:59:20,222 DEBUG                  - depth 0, hash f71712b, HEAD~117
2021-07-04 04:59:20,227 DEBUG                  - depth 1, hash 3205f0e, HEAD~1062
2021-07-04 04:59:20,231 DEBUG                  - depth 2, hash 83b8d1a, HEAD~1086
2021-07-04 04:59:20,235 DEBUG    [line range] org/jsoup/nodes/Element.java ensureChildNodes 87:92
2021-07-04 04:59:20,287 DEBUG                  - depth 0, hash c324fab, HEAD~74
2021-07-04 04:59:20,293 DEBUG                  - depth 1, hash f71712b, HEAD~117
2021-07-04 04:59:20,297 DEBUG                  - depth 2, hash 3205f0e, HEAD~1062
2021-07-04 04:59:20,301 DEBUG                  - depth 3, hash 83b8d1a, HEAD~1086
2021-07-04 04:59:20,305 DEBUG    [line range] org/jsoup/nodes/Element.java nodeName 121:124
2021-07-04 04:59:20,359 DEBUG                  - depth 0, hash 9bed789, HEAD~1065
2021-07-04 04:59:20,364 DEBUG                  - depth 1, hash b04c541, HEAD~1138
2021-07-04 04:59:20,368 DEBUG                  - depth 2, hash a657d09, HEAD~1145
2021-07-04 04:59:20,372 DEBUG    [line range] org/jsoup/nodes/Element.java nodelistChanged 293:297
2021-07-04 04:59:20,427 DEBUG                  - depth 0, hash 38049ce, HEAD~159
2021-07-04 04:59:20,432 DEBUG                  - depth 1, hash e5cd584, HEAD~1055
2021-07-04 04:59:20,436 DEBUG                  - depth 2, hash b04c541, HEAD~1138
2021-07-04 04:59:20,440 DEBUG                  - depth 3, hash a657d09, HEAD~1145
2021-07-04 04:59:20,445 DEBUG    [line range] org/jsoup/nodes/Element.java select 362:364
2021-07-04 04:59:20,498 DEBUG                  - depth 0, hash f31916f, HEAD~714
2021-07-04 04:59:20,503 DEBUG                  - depth 1, hash e4ff08f, HEAD~1120
2021-07-04 04:59:20,508 DEBUG                  - depth 2, hash 0402525, HEAD~1123
2021-07-04 04:59:20,512 DEBUG    [line range] org/jsoup/nodes/Element.java tag 153:155
2021-07-04 04:59:20,565 DEBUG                  - depth 0, hash e2c62cd, HEAD~1043
2021-07-04 04:59:20,570 DEBUG                  - depth 1, hash a657d09, HEAD~1145
2021-07-04 04:59:20,574 DEBUG    [line range] org/jsoup/nodes/Element.java tagName 131:133
2021-07-04 04:59:20,627 DEBUG                  - depth 0, hash b04c541, HEAD~1138
2021-07-04 04:59:20,632 DEBUG                  - depth 1, hash a657d09, HEAD~1145
2021-07-04 04:59:20,636 DEBUG    [line range] org/jsoup/nodes/Element.java <init> 1462:1465
2021-07-04 04:59:20,675 DEBUG                  - depth 0, hash c324fab, HEAD~74
2021-07-04 04:59:20,680 DEBUG                  - depth 1, hash f71712b, HEAD~117
2021-07-04 04:59:20,684 DEBUG    [line range] org/jsoup/nodes/Element.java onContentsChanged 1467:1469
2021-07-04 04:59:20,722 DEBUG                  - depth 0, hash c324fab, HEAD~74
2021-07-04 04:59:20,727 DEBUG                  - depth 1, hash f71712b, HEAD~117
2021-07-04 04:59:21,098 DEBUG    [line range] org/jsoup/nodes/Entities.java <clinit> 25:25
2021-07-04 04:59:21,134 DEBUG                  - depth 0, hash bd789b0, HEAD~69
2021-07-04 04:59:21,139 DEBUG    [single line]   org/jsoup/nodes/Entities.java access$000 21
2021-07-04 04:59:21,180 DEBUG                  - depth 0, hash ff329d5, HEAD~902
2021-07-04 04:59:21,185 DEBUG                  - depth 1, hash 09d99e7, HEAD~903
2021-07-04 04:59:21,189 DEBUG                  - depth 2, hash 57bce6d, HEAD~911
2021-07-04 04:59:21,193 DEBUG                  - depth 3, hash 17486e2, HEAD~914
2021-07-04 04:59:21,198 DEBUG    [line range] org/jsoup/nodes/Entities.java load 314:354
2021-07-04 04:59:21,240 DEBUG                  - depth 0, hash f3035ca, HEAD~56
2021-07-04 04:59:21,246 DEBUG                  - depth 1, hash c33ba53, HEAD~101
2021-07-04 04:59:21,250 DEBUG                  - depth 2, hash 654bc6f, HEAD~132
2021-07-04 04:59:21,254 DEBUG                  - depth 3, hash 79b1aa4, HEAD~181
2021-07-04 04:59:21,258 DEBUG                  - depth 4, hash 6dc38f2, HEAD~203
2021-07-04 04:59:21,262 DEBUG                  - depth 5, hash aa81e10, HEAD~224
2021-07-04 04:59:21,266 DEBUG                  - depth 6, hash 6c4f16f, HEAD~528
2021-07-04 04:59:21,270 DEBUG                  - depth 7, hash a31ec08, HEAD~630
2021-07-04 04:59:21,275 DEBUG                  - depth 8, hash 472c7e5, HEAD~673
2021-07-04 04:59:21,279 DEBUG                  - depth 9, hash 528b793, HEAD~854
2021-07-04 04:59:21,283 DEBUG                  - depth 10, hash f4f2efb, HEAD~855
2021-07-04 04:59:21,287 DEBUG                  - depth 11, hash 5e52f1b, HEAD~895
2021-07-04 04:59:21,291 DEBUG                  - depth 12, hash f8841ed, HEAD~913
2021-07-04 04:59:21,295 DEBUG                  - depth 13, hash 17486e2, HEAD~914
2021-07-04 04:59:21,299 DEBUG    [line range] org/jsoup/nodes/Entities.java <init> 51:53
2021-07-04 04:59:21,340 DEBUG                  - depth 0, hash aa81e10, HEAD~224
2021-07-04 04:59:21,346 DEBUG                  - depth 1, hash f4f2efb, HEAD~855
2021-07-04 04:59:21,350 DEBUG                  - depth 2, hash f8841ed, HEAD~913
2021-07-04 04:59:21,354 DEBUG                  - depth 3, hash 17486e2, HEAD~914
2021-07-04 04:59:21,665 DEBUG    [single line]   org/jsoup/nodes/LeafNode.java <init> 7
2021-07-04 04:59:21,700 DEBUG                  - depth 0, hash f71712b, HEAD~117
2021-07-04 04:59:21,705 DEBUG    [line range] org/jsoup/nodes/LeafNode.java childNodeSize 86:89
2021-07-04 04:59:21,739 DEBUG                  - depth 0, hash f71712b, HEAD~117
2021-07-04 04:59:21,745 DEBUG    [line range] org/jsoup/nodes/LeafNode.java ensureChildNodes 91:94
2021-07-04 04:59:21,778 DEBUG                  - depth 0, hash f71712b, HEAD~117
2021-07-04 04:59:22,189 DEBUG    [line range] org/jsoup/nodes/Node.java <init> 26:27
2021-07-04 04:59:22,229 DEBUG                  - depth 0, hash f71712b, HEAD~117
2021-07-04 04:59:22,235 DEBUG                  - depth 1, hash 8c43a81, HEAD~307
2021-07-04 04:59:22,239 DEBUG                  - depth 2, hash 7eefa1b, HEAD~778
2021-07-04 04:59:22,243 DEBUG                  - depth 3, hash f548940, HEAD~896
2021-07-04 04:59:22,247 DEBUG    [line range] org/jsoup/nodes/Node.java childNode 199:201
2021-07-04 04:59:22,289 DEBUG                  - depth 0, hash f71712b, HEAD~117
2021-07-04 04:59:22,294 DEBUG                  - depth 1, hash b04c541, HEAD~1138
2021-07-04 04:59:22,299 DEBUG                  - depth 2, hash c95216a, HEAD~1139
2021-07-04 04:59:22,303 DEBUG    [line range] org/jsoup/nodes/Node.java childNodes 208:210
2021-07-04 04:59:22,345 DEBUG                  - depth 0, hash f71712b, HEAD~117
2021-07-04 04:59:22,350 DEBUG                  - depth 1, hash deaf9f6, HEAD~608
2021-07-04 04:59:22,355 DEBUG                  - depth 2, hash 074d9bf, HEAD~644
2021-07-04 04:59:22,359 DEBUG                  - depth 3, hash b04c541, HEAD~1138
2021-07-04 04:59:22,363 DEBUG                  - depth 4, hash c95216a, HEAD~1139
2021-07-04 04:59:22,367 DEBUG    [line range] org/jsoup/nodes/Node.java nextSibling 500:510
2021-07-04 04:59:22,409 DEBUG                  - depth 0, hash f71712b, HEAD~117
2021-07-04 04:59:22,414 DEBUG                  - depth 1, hash 1fd3a3c, HEAD~358
2021-07-04 04:59:22,419 DEBUG                  - depth 2, hash 6b0dd15, HEAD~941
2021-07-04 04:59:22,423 DEBUG                  - depth 3, hash 10cfa04, HEAD~942
2021-07-04 04:59:22,427 DEBUG                  - depth 4, hash ffde882, HEAD~1131
2021-07-04 04:59:22,431 DEBUG                  - depth 5, hash b04c541, HEAD~1138
2021-07-04 04:59:22,435 DEBUG                  - depth 6, hash a657d09, HEAD~1145
2021-07-04 04:59:22,440 DEBUG    [line range] org/jsoup/nodes/Node.java nodelistChanged 403:405
