2021-07-03 07:30:47,974 INFO     Search BICs for /tmp/Cli-4b/
2021-07-03 07:30:47,974 DEBUG    Reading the coverage of org.apache.commons.cli.OptionsTest::testMissingOptionsException (failings)
2021-07-03 07:30:47,979 DEBUG    Reading the coverage of org.apache.commons.cli.OptionsTest::testMissingOptionException (failings)
2021-07-03 07:30:47,983 INFO     Loaded 2x127 Coverage Matrix
2021-07-03 07:30:47,983 INFO     The number of total commits: 277
2021-07-03 07:30:48,301 DEBUG    [line range] org/apache/commons/cli/CommandLine.java <init> 44:44
2021-07-03 07:30:48,315 DEBUG                  - depth 0, hash 9b2b803, HEAD~192
2021-07-03 07:30:48,320 DEBUG                  - depth 1, hash aae50c5, HEAD~275
2021-07-03 07:30:48,594 DEBUG    [line range] org/apache/commons/cli/MissingOptionException.java <init> 34:37
2021-07-03 07:30:48,606 DEBUG                  - depth 0, hash 9b2b803, HEAD~192
2021-07-03 07:30:48,611 DEBUG                  - depth 1, hash 745d1a5, HEAD~238
2021-07-03 07:30:48,615 DEBUG                  - depth 2, hash aae50c5, HEAD~275
2021-07-03 07:30:48,978 DEBUG    [line range] org/apache/commons/cli/Option.java <init> 90:94
2021-07-03 07:30:48,992 DEBUG                  - depth 0, hash 9b2b803, HEAD~192
2021-07-03 07:30:48,998 DEBUG                  - depth 1, hash 04490af, HEAD~240
2021-07-03 07:30:49,002 DEBUG                  - depth 2, hash 16b91ad, HEAD~248
2021-07-03 07:30:49,006 DEBUG    [line range] org/apache/commons/cli/Option.java <init> 55:55
2021-07-03 07:30:49,019 DEBUG                  - depth 0, hash beb276c, HEAD~197
2021-07-03 07:30:49,024 DEBUG                  - depth 1, hash 62670f5, HEAD~225
2021-07-03 07:30:49,029 DEBUG    [line range] org/apache/commons/cli/Option.java clearValues 642:644
2021-07-03 07:30:49,040 DEBUG                  - depth 0, hash c155ceb, HEAD~11
2021-07-03 07:30:49,045 DEBUG    [line range] org/apache/commons/cli/Option.java getKey 160:169
2021-07-03 07:30:49,058 DEBUG                  - depth 0, hash 9b2b803, HEAD~192
2021-07-03 07:30:49,063 DEBUG                  - depth 1, hash 347bbeb, HEAD~201
2021-07-03 07:30:49,067 DEBUG    [line range] org/apache/commons/cli/Option.java hasLongOpt 250:253
2021-07-03 07:30:49,082 DEBUG                  - depth 0, hash 9b2b803, HEAD~192
2021-07-03 07:30:49,087 DEBUG                  - depth 1, hash aae50c5, HEAD~275
2021-07-03 07:30:49,091 DEBUG    [line range] org/apache/commons/cli/Option.java isRequired 290:293
2021-07-03 07:30:49,106 DEBUG                  - depth 0, hash 9b2b803, HEAD~192
2021-07-03 07:30:49,111 DEBUG                  - depth 1, hash 5470bca, HEAD~196
2021-07-03 07:30:49,115 DEBUG                  - depth 2, hash 347bbeb, HEAD~201
2021-07-03 07:30:49,120 DEBUG                  - depth 3, hash 43a3545, HEAD~219
2021-07-03 07:30:49,124 DEBUG                  - depth 4, hash 62670f5, HEAD~225
2021-07-03 07:30:49,128 DEBUG                  - depth 5, hash 04490af, HEAD~240
2021-07-03 07:30:49,132 DEBUG                  - depth 6, hash 1060ee7, HEAD~246
2021-07-03 07:30:49,136 DEBUG                  - depth 7, hash 16b91ad, HEAD~248
2021-07-03 07:30:49,140 DEBUG                  - depth 8, hash 7f90b98, HEAD~251
2021-07-03 07:30:49,144 DEBUG                  - depth 9, hash aae50c5, HEAD~275
2021-07-03 07:30:49,148 DEBUG    [line range] org/apache/commons/cli/Option.java setArgName 310:313
2021-07-03 07:30:49,163 DEBUG                  - depth 0, hash 9b2b803, HEAD~192
2021-07-03 07:30:49,168 DEBUG                  - depth 1, hash 5470bca, HEAD~196
2021-07-03 07:30:49,173 DEBUG                  - depth 2, hash 347bbeb, HEAD~201
2021-07-03 07:30:49,177 DEBUG                  - depth 3, hash 43a3545, HEAD~219
2021-07-03 07:30:49,181 DEBUG                  - depth 4, hash 62670f5, HEAD~225
2021-07-03 07:30:49,185 DEBUG                  - depth 5, hash 04490af, HEAD~240
2021-07-03 07:30:49,189 DEBUG                  - depth 6, hash 1060ee7, HEAD~246
2021-07-03 07:30:49,193 DEBUG                  - depth 7, hash 16b91ad, HEAD~248
2021-07-03 07:30:49,197 DEBUG                  - depth 8, hash 7f90b98, HEAD~251
2021-07-03 07:30:49,201 DEBUG                  - depth 9, hash aae50c5, HEAD~275
2021-07-03 07:30:49,205 DEBUG    [line range] org/apache/commons/cli/Option.java setArgs 353:356
2021-07-03 07:30:49,220 DEBUG                  - depth 0, hash 9b2b803, HEAD~192
2021-07-03 07:30:49,226 DEBUG                  - depth 1, hash 5470bca, HEAD~196
2021-07-03 07:30:49,230 DEBUG                  - depth 2, hash 347bbeb, HEAD~201
2021-07-03 07:30:49,234 DEBUG                  - depth 3, hash 43a3545, HEAD~219
2021-07-03 07:30:49,238 DEBUG                  - depth 4, hash 62670f5, HEAD~225
2021-07-03 07:30:49,242 DEBUG                  - depth 5, hash 04490af, HEAD~240
