2021-07-03 20:26:40,087 INFO     Search BICs for /tmp/Compress-5b/
2021-07-03 20:26:40,087 DEBUG    Reading the coverage of org.apache.commons.compress.archivers.zip.Maven221MultiVolumeTest::testRead7ZipMultiVolumeArchiveForStream (failings)
2021-07-03 20:26:40,095 INFO     Loaded 1x264 Coverage Matrix
2021-07-03 20:26:40,095 INFO     The number of total commits: 542
2021-07-03 20:26:40,397 DEBUG    [single line]   org/apache/commons/compress/archivers/ArchiveInputStream.java <init> 40
2021-07-03 20:26:40,416 DEBUG                  - depth 0, hash ca16539, HEAD~429
2021-07-03 20:26:40,422 DEBUG    [line range] org/apache/commons/compress/archivers/ArchiveInputStream.java <init> 42:42
2021-07-03 20:26:40,443 DEBUG                  - depth 0, hash 253196a, HEAD~193
2021-07-03 20:26:40,763 DEBUG    [line range] org/apache/commons/compress/archivers/zip/AbstractUnicodeExtraField.java <init> 34:35
2021-07-03 20:26:40,782 DEBUG                  - depth 0, hash 4e2380b, HEAD~370
2021-07-03 20:26:41,132 DEBUG    [line range] org/apache/commons/compress/archivers/zip/AsiExtraField.java <clinit> 55:55
2021-07-03 20:26:41,155 DEBUG                  - depth 0, hash ab9ebfc, HEAD~408
2021-07-03 20:26:41,160 DEBUG    [line range] org/apache/commons/compress/archivers/zip/AsiExtraField.java <init> 60:60
2021-07-03 20:26:41,183 DEBUG                  - depth 0, hash ab9ebfc, HEAD~408
2021-07-03 20:26:41,189 DEBUG                  - depth 1, hash 8822084, HEAD~500
2021-07-03 20:26:41,193 DEBUG    [line range] org/apache/commons/compress/archivers/zip/AsiExtraField.java getHeaderId 93:95
2021-07-03 20:26:41,216 DEBUG                  - depth 0, hash ab9ebfc, HEAD~408
2021-07-03 20:26:41,222 DEBUG                  - depth 1, hash 8822084, HEAD~500
2021-07-03 20:26:41,561 DEBUG    [single line]   org/apache/commons/compress/archivers/zip/ExtraFieldUtils.java <clinit> 41
2021-07-03 20:26:41,584 DEBUG                  - depth 0, hash 2ae5e28, HEAD~403
2021-07-03 20:26:41,590 DEBUG                  - depth 1, hash ab9ebfc, HEAD~408
2021-07-03 20:26:41,594 DEBUG                  - depth 2, hash 8822084, HEAD~500
2021-07-03 20:26:41,598 DEBUG    [single line]   org/apache/commons/compress/archivers/zip/ExtraFieldUtils.java <clinit> 42
2021-07-03 20:26:41,621 DEBUG                  - depth 0, hash ab9ebfc, HEAD~408
2021-07-03 20:26:41,626 DEBUG                  - depth 1, hash 8822084, HEAD~500
2021-07-03 20:26:41,630 DEBUG    [single line]   org/apache/commons/compress/archivers/zip/ExtraFieldUtils.java <clinit> 43
2021-07-03 20:26:41,653 DEBUG                  - depth 0, hash ab9ebfc, HEAD~408
2021-07-03 20:26:41,658 DEBUG                  - depth 1, hash 8822084, HEAD~500
2021-07-03 20:26:41,663 DEBUG    [single line]   org/apache/commons/compress/archivers/zip/ExtraFieldUtils.java <clinit> 44
2021-07-03 20:26:41,685 DEBUG                  - depth 0, hash 4e2380b, HEAD~370
2021-07-03 20:26:41,691 DEBUG    [single line]   org/apache/commons/compress/archivers/zip/ExtraFieldUtils.java <clinit> 45
2021-07-03 20:26:41,713 DEBUG                  - depth 0, hash 4e2380b, HEAD~370
2021-07-03 20:26:41,719 DEBUG    [single line]   org/apache/commons/compress/archivers/zip/ExtraFieldUtils.java <clinit> 46
2021-07-03 20:26:41,741 DEBUG                  - depth 0, hash 8822084, HEAD~500
2021-07-03 20:26:41,747 DEBUG    [line range] org/apache/commons/compress/archivers/zip/ExtraFieldUtils.java mergeLocalFileDataData 144:161
2021-07-03 20:26:41,770 DEBUG                  - depth 0, hash ab9ebfc, HEAD~408
2021-07-03 20:26:41,775 DEBUG                  - depth 1, hash 8822084, HEAD~500
2021-07-03 20:26:41,779 DEBUG    [line range] org/apache/commons/compress/archivers/zip/ExtraFieldUtils.java parse 107:137
2021-07-03 20:26:41,802 DEBUG                  - depth 0, hash dfbdfee, HEAD~337
