2021-07-03 07:35:40,998 INFO     Search BICs for /tmp/Cli-25b/
2021-07-03 07:35:40,998 DEBUG    Reading the coverage of org.apache.commons.cli.bug.BugCLI162Test::testLongLineChunkingIndentIgnored (failings)
2021-07-03 07:35:41,002 INFO     Loaded 1x141 Coverage Matrix
2021-07-03 07:35:41,003 INFO     The number of total commits: 428
2021-07-03 07:35:41,389 DEBUG    [single line]   org/apache/commons/cli/HelpFormatter.java <init> 35
2021-07-03 07:35:41,409 DEBUG                  - depth 0, hash 147df44, HEAD~48
2021-07-03 07:35:41,414 DEBUG                  - depth 1, hash 9b2b803, HEAD~343
2021-07-03 07:35:41,418 DEBUG                  - depth 2, hash 6bcbf15, HEAD~349
2021-07-03 07:35:41,422 DEBUG                  - depth 3, hash 4c34483, HEAD~354
2021-07-03 07:35:41,426 DEBUG                  - depth 4, hash a021283, HEAD~374
2021-07-03 07:35:41,430 DEBUG                  - depth 5, hash 62670f5, HEAD~376
2021-07-03 07:35:41,434 DEBUG                  - depth 6, hash 821b85f, HEAD~381
2021-07-03 07:35:41,438 DEBUG                  - depth 7, hash c712732, HEAD~408
2021-07-03 07:35:41,442 DEBUG                  - depth 8, hash 4dcbfa6, HEAD~410
2021-07-03 07:35:41,446 DEBUG                  - depth 9, hash 4cca25d, HEAD~423
2021-07-03 07:35:41,450 DEBUG                  - depth 10, hash aae50c5, HEAD~426
2021-07-03 07:35:41,455 DEBUG    [line range] org/apache/commons/cli/HelpFormatter.java <init> 71:71
2021-07-03 07:35:41,474 DEBUG                  - depth 0, hash c29455d, HEAD~131
2021-07-03 07:35:41,479 DEBUG                  - depth 1, hash 9b2b803, HEAD~343
2021-07-03 07:35:41,483 DEBUG                  - depth 2, hash 6bcbf15, HEAD~349
2021-07-03 07:35:41,487 DEBUG                  - depth 3, hash 4c34483, HEAD~354
2021-07-03 07:35:41,491 DEBUG                  - depth 4, hash a021283, HEAD~374
2021-07-03 07:35:41,496 DEBUG                  - depth 5, hash 62670f5, HEAD~376
2021-07-03 07:35:41,500 DEBUG                  - depth 6, hash 821b85f, HEAD~381
2021-07-03 07:35:41,504 DEBUG                  - depth 7, hash c712732, HEAD~408
2021-07-03 07:35:41,508 DEBUG                  - depth 8, hash 4dcbfa6, HEAD~410
2021-07-03 07:35:41,512 DEBUG                  - depth 9, hash 4cca25d, HEAD~423
2021-07-03 07:35:41,516 DEBUG                  - depth 10, hash aae50c5, HEAD~426
2021-07-03 07:35:41,520 DEBUG    [line range] org/apache/commons/cli/HelpFormatter.java createPadding 919:929
