2021-07-04 05:02:04,067 INFO     Search BICs for /tmp/Jsoup-86b/
2021-07-04 05:02:04,067 DEBUG    Reading the coverage of org.jsoup.parser.XmlTreeBuilderTest::handlesLTinScript (failings)
2021-07-04 05:02:04,122 INFO     Loaded 1x734 Coverage Matrix
2021-07-04 05:02:04,122 INFO     The number of total commits: 1203
2021-07-04 05:02:04,443 DEBUG    [line range] org/jsoup/Jsoup.java parse 44:46
2021-07-04 05:02:04,479 DEBUG                  - depth 0, hash 433d2f1, HEAD~747
2021-07-04 05:02:04,771 DEBUG    [line range] org/jsoup/helper/ChangeNotifyingArrayList.java <init> 10:12
2021-07-04 05:02:04,807 DEBUG                  - depth 0, hash 38049ce, HEAD~204
2021-07-04 05:02:04,812 DEBUG    [line range] org/jsoup/helper/ChangeNotifyingArrayList.java add 22:26
2021-07-04 05:02:04,847 DEBUG                  - depth 0, hash 38049ce, HEAD~204
2021-07-04 05:02:05,164 DEBUG    [line range] org/jsoup/helper/Validate.java isFalse 52:55
2021-07-04 05:02:05,199 DEBUG                  - depth 0, hash 8749726, HEAD~806
2021-07-04 05:02:05,205 DEBUG    [line range] org/jsoup/helper/Validate.java isFalse 62:65
2021-07-04 05:02:05,240 DEBUG                  - depth 0, hash 8749726, HEAD~806
2021-07-04 05:02:05,246 DEBUG    [line range] org/jsoup/helper/Validate.java isTrue 33:36
2021-07-04 05:02:05,281 DEBUG                  - depth 0, hash 18e9a8f, HEAD~945
2021-07-04 05:02:05,286 DEBUG    [line range] org/jsoup/helper/Validate.java isTrue 43:46
2021-07-04 05:02:05,321 DEBUG                  - depth 0, hash 18e9a8f, HEAD~945
2021-07-04 05:02:05,327 DEBUG    [line range] org/jsoup/helper/Validate.java notEmpty 90:93
2021-07-04 05:02:05,362 DEBUG                  - depth 0, hash 18e9a8f, HEAD~945
2021-07-04 05:02:05,367 DEBUG    [line range] org/jsoup/helper/Validate.java notNull 14:17
2021-07-04 05:02:05,403 DEBUG                  - depth 0, hash 18e9a8f, HEAD~945
2021-07-04 05:02:05,408 DEBUG    [line range] org/jsoup/helper/Validate.java notNull 24:27
2021-07-04 05:02:05,444 DEBUG                  - depth 0, hash 18e9a8f, HEAD~945
2021-07-04 05:02:05,721 DEBUG    [line range] org/jsoup/internal/Normalizer.java lowerCase 10:12
2021-07-04 05:02:05,755 DEBUG                  - depth 0, hash 8808e3f, HEAD~82
2021-07-04 05:02:05,761 DEBUG                  - depth 1, hash 42c0a0e, HEAD~182
2021-07-04 05:02:05,765 DEBUG                  - depth 2, hash 8121d8c, HEAD~208
2021-07-04 05:02:06,133 DEBUG    [line range] org/jsoup/nodes/Attributes.java <clinit> 39:39
2021-07-04 05:02:06,170 DEBUG                  - depth 0, hash ea1fb65, HEAD~158
2021-07-04 05:02:06,175 DEBUG    [line range] org/jsoup/nodes/Attributes.java <init> 43:43
2021-07-04 05:02:06,211 DEBUG                  - depth 0, hash ea1fb65, HEAD~158
2021-07-04 05:02:06,216 DEBUG    [single line]   org/jsoup/nodes/Attributes.java access$400 33
2021-07-04 05:02:06,254 DEBUG                  - depth 0, hash 5ca6b40, HEAD~887
2021-07-04 05:02:06,259 DEBUG                  - depth 1, hash 2f0a7bf, HEAD~1174
2021-07-04 05:02:06,263 DEBUG                  - depth 2, hash a657d09, HEAD~1190
2021-07-04 05:02:06,575 DEBUG    [line range] org/jsoup/nodes/Comment.java <init> 19:21
2021-07-04 05:02:06,611 DEBUG                  - depth 0, hash f71712b, HEAD~162
2021-07-04 05:02:06,616 DEBUG                  - depth 1, hash 28418f8, HEAD~1075
2021-07-04 05:02:06,620 DEBUG    [line range] org/jsoup/nodes/Comment.java asXmlDeclaration 74:84
2021-07-04 05:02:06,655 DEBUG                  - depth 0, hash f1b885d, HEAD~23
2021-07-04 05:02:06,660 DEBUG                  - depth 1, hash e38dfd4, HEAD~25
2021-07-04 05:02:06,664 DEBUG    [single line]   org/jsoup/nodes/Comment.java attr 12
2021-07-04 05:02:06,701 DEBUG                  - depth 0, hash f71712b, HEAD~162
2021-07-04 05:02:06,706 DEBUG                  - depth 1, hash a657d09, HEAD~1190
2021-07-04 05:02:06,710 DEBUG    [line range] org/jsoup/nodes/Comment.java getData 41:43
2021-07-04 05:02:06,747 DEBUG                  - depth 0, hash f71712b, HEAD~162
2021-07-04 05:02:06,752 DEBUG                  - depth 1, hash c95216a, HEAD~1184
2021-07-04 05:02:06,756 DEBUG                  - depth 2, hash a657d09, HEAD~1190
2021-07-04 05:02:06,760 DEBUG    [line range] org/jsoup/nodes/Comment.java isXmlDeclaration 65:68
2021-07-04 05:02:06,796 DEBUG                  - depth 0, hash e38dfd4, HEAD~25
2021-07-04 05:02:06,801 DEBUG    [line range] org/jsoup/nodes/Comment.java nodeName 33:35
2021-07-04 05:02:06,837 DEBUG                  - depth 0, hash b04c541, HEAD~1183
2021-07-04 05:02:06,842 DEBUG                  - depth 1, hash a657d09, HEAD~1190
2021-07-04 05:02:07,216 DEBUG    [line range] org/jsoup/nodes/Document.java <init> 20:20
2021-07-04 05:02:07,255 DEBUG                  - depth 0, hash 57bce6d, HEAD~956
2021-07-04 05:02:07,260 DEBUG    [line range] org/jsoup/nodes/Document.java outputSettings 552:554
2021-07-04 05:02:07,299 DEBUG                  - depth 0, hash 57bce6d, HEAD~956
2021-07-04 05:02:07,304 DEBUG                  - depth 1, hash f8841ed, HEAD~958
2021-07-04 05:02:07,308 DEBUG    [line range] org/jsoup/nodes/Document.java parser 594:597
2021-07-04 05:02:07,345 DEBUG                  - depth 0, hash 850a9cc, HEAD~26
2021-07-04 05:02:07,350 DEBUG    [line range] org/jsoup/nodes/Document.java <init> 375:375
2021-07-04 05:02:07,388 DEBUG                  - depth 0, hash f8841ed, HEAD~958
2021-07-04 05:02:07,394 DEBUG    [line range] org/jsoup/nodes/Document.java charset 429:432
2021-07-04 05:02:07,433 DEBUG                  - depth 0, hash ea1fb65, HEAD~158
2021-07-04 05:02:07,438 DEBUG                  - depth 1, hash 7c8df4c, HEAD~160
2021-07-04 05:02:07,442 DEBUG                  - depth 2, hash 5e386d5, HEAD~163
2021-07-04 05:02:07,446 DEBUG                  - depth 3, hash 3b2440a, HEAD~266
2021-07-04 05:02:07,451 DEBUG                  - depth 4, hash 85c8356, HEAD~438
2021-07-04 05:02:07,455 DEBUG                  - depth 5, hash 57bce6d, HEAD~956
2021-07-04 05:02:07,459 DEBUG                  - depth 6, hash f8841ed, HEAD~958
