2021-07-03 07:31:45,640 INFO     Search BICs for /tmp/Cli-9b/
2021-07-03 07:31:45,640 DEBUG    Reading the coverage of org.apache.commons.cli.ParseRequiredTest::testMissingRequiredOptions (failings)
2021-07-03 07:31:45,646 DEBUG    Reading the coverage of org.apache.commons.cli.OptionsTest::testMissingOptionsException (failings)
2021-07-03 07:31:45,651 INFO     Loaded 2x199 Coverage Matrix
2021-07-03 07:31:45,651 INFO     The number of total commits: 321
2021-07-03 07:31:45,981 DEBUG    [line range] org/apache/commons/cli/CommandLine.java <init> 47:47
2021-07-03 07:31:45,995 DEBUG                  - depth 0, hash 9b2b803, HEAD~236
2021-07-03 07:31:46,001 DEBUG                  - depth 1, hash aae50c5, HEAD~319
2021-07-03 07:31:46,005 DEBUG    [line range] org/apache/commons/cli/CommandLine.java addOption 290:293
2021-07-03 07:31:46,019 DEBUG                  - depth 0, hash b0e1b80, HEAD~57
2021-07-03 07:31:46,024 DEBUG                  - depth 1, hash 9b2b803, HEAD~236
2021-07-03 07:31:46,028 DEBUG                  - depth 2, hash 0f52eff, HEAD~244
2021-07-03 07:31:46,033 DEBUG                  - depth 3, hash 347bbeb, HEAD~245
2021-07-03 07:31:46,037 DEBUG                  - depth 4, hash 0c281fb, HEAD~248
2021-07-03 07:31:46,041 DEBUG                  - depth 5, hash 872f1d5, HEAD~268
2021-07-03 07:31:46,045 DEBUG                  - depth 6, hash c08f738, HEAD~271
2021-07-03 07:31:46,049 DEBUG                  - depth 7, hash 04490af, HEAD~284
2021-07-03 07:31:46,053 DEBUG                  - depth 8, hash f9df518, HEAD~288
2021-07-03 07:31:46,057 DEBUG                  - depth 9, hash 5aa47b7, HEAD~293
2021-07-03 07:31:46,061 DEBUG                  - depth 10, hash 4cca25d, HEAD~316
2021-07-03 07:31:46,065 DEBUG                  - depth 11, hash aae50c5, HEAD~319
2021-07-03 07:31:46,335 DEBUG    [line range] org/apache/commons/cli/MissingOptionException.java <init> 34:37
2021-07-03 07:31:46,348 DEBUG                  - depth 0, hash 9b2b803, HEAD~236
2021-07-03 07:31:46,353 DEBUG                  - depth 1, hash 745d1a5, HEAD~282
2021-07-03 07:31:46,357 DEBUG                  - depth 2, hash aae50c5, HEAD~319
2021-07-03 07:31:46,731 DEBUG    [line range] org/apache/commons/cli/Option.java <init> 90:94
2021-07-03 07:31:46,747 DEBUG                  - depth 0, hash 9b2b803, HEAD~236
2021-07-03 07:31:46,753 DEBUG                  - depth 1, hash 04490af, HEAD~284
2021-07-03 07:31:46,757 DEBUG                  - depth 2, hash 16b91ad, HEAD~292
2021-07-03 07:31:46,761 DEBUG    [line range] org/apache/commons/cli/Option.java <init> 55:55
2021-07-03 07:31:46,776 DEBUG                  - depth 0, hash beb276c, HEAD~241
2021-07-03 07:31:46,781 DEBUG                  - depth 1, hash 62670f5, HEAD~269
2021-07-03 07:31:46,785 DEBUG    [line range] org/apache/commons/cli/Option.java clearValues 663:665
2021-07-03 07:31:46,798 DEBUG                  - depth 0, hash c155ceb, HEAD~55
2021-07-03 07:31:46,804 DEBUG    [line range] org/apache/commons/cli/Option.java equals 602:626
2021-07-03 07:31:46,817 DEBUG                  - depth 0, hash b0e1b80, HEAD~57
2021-07-03 07:31:46,822 DEBUG    [line range] org/apache/commons/cli/Option.java getKey 159:168
