2021-07-03 20:58:23,793 INFO     Search BICs for /tmp/Gson-10b/
2021-07-03 20:58:23,793 DEBUG    Reading the coverage of com.google.gson.functional.JsonAdapterAnnotationOnFieldsTest::testPrimitiveFieldAnnotationTakesPrecedenceOverDefault (failings)
2021-07-03 20:58:23,829 INFO     Loaded 1x605 Coverage Matrix
2021-07-03 20:58:23,830 INFO     The number of total commits: 1263
2021-07-03 20:58:24,131 DEBUG    [single line]   com/google/gson/FieldNamingPolicy.java <clinit> 31
2021-07-03 20:58:24,179 DEBUG                  - depth 0, hash f89e92a, HEAD~514
2021-07-03 20:58:24,185 DEBUG                  - depth 1, hash 57d1f32, HEAD~1262
2021-07-03 20:58:24,189 DEBUG    [single line]   com/google/gson/FieldNamingPolicy.java <clinit> 37
2021-07-03 20:58:24,238 DEBUG                  - depth 0, hash f89e92a, HEAD~514
2021-07-03 20:58:24,243 DEBUG                  - depth 1, hash 57d1f32, HEAD~1262
2021-07-03 20:58:24,247 DEBUG    [single line]   com/google/gson/FieldNamingPolicy.java <clinit> 53
2021-07-03 20:58:24,296 DEBUG                  - depth 0, hash f89e92a, HEAD~514
2021-07-03 20:58:24,302 DEBUG                  - depth 1, hash 57d1f32, HEAD~1262
2021-07-03 20:58:24,306 DEBUG    [single line]   com/google/gson/FieldNamingPolicy.java <clinit> 72
2021-07-03 20:58:24,354 DEBUG                  - depth 0, hash f89e92a, HEAD~514
2021-07-03 20:58:24,360 DEBUG                  - depth 1, hash ba01548, HEAD~979
2021-07-03 20:58:24,364 DEBUG    [single line]   com/google/gson/FieldNamingPolicy.java <clinit> 90
2021-07-03 20:58:24,414 DEBUG                  - depth 0, hash f89e92a, HEAD~514
2021-07-03 20:58:24,419 DEBUG                  - depth 1, hash ad4ff69, HEAD~1060
2021-07-03 20:58:24,423 DEBUG                  - depth 2, hash 57d1f32, HEAD~1262
2021-07-03 20:58:24,427 DEBUG    [single line]   com/google/gson/FieldNamingPolicy.java <clinit> 113
2021-07-03 20:58:24,476 DEBUG                  - depth 0, hash f89e92a, HEAD~514
2021-07-03 20:58:24,482 DEBUG                  - depth 1, hash ad4ff69, HEAD~1060
2021-07-03 20:58:24,486 DEBUG                  - depth 2, hash 57d1f32, HEAD~1262
2021-07-03 20:58:24,490 DEBUG    [single line]   com/google/gson/FieldNamingPolicy.java <init> 37
2021-07-03 20:58:24,539 DEBUG                  - depth 0, hash f89e92a, HEAD~514
2021-07-03 20:58:24,545 DEBUG                  - depth 1, hash 57d1f32, HEAD~1262
2021-07-03 20:58:24,549 DEBUG    [line range] com/google/gson/FieldNamingPolicy.java translateName 38:40
2021-07-03 20:58:24,597 DEBUG                  - depth 0, hash e5b3f63, HEAD~145
2021-07-03 20:58:24,602 DEBUG                  - depth 1, hash f89e92a, HEAD~514
2021-07-03 20:58:24,607 DEBUG                  - depth 2, hash 57d1f32, HEAD~1262
2021-07-03 20:58:24,611 DEBUG    [single line]   com/google/gson/FieldNamingPolicy.java <init> 53
2021-07-03 20:58:24,660 DEBUG                  - depth 0, hash f89e92a, HEAD~514
