2021-07-04 09:52:04,348 INFO     Search BICs for /tmp/Mockito-35b/
2021-07-04 09:52:04,348 DEBUG    Reading the coverage of org.mockitousage.bugs.NPEWithCertainMatchersTest::shouldNotThrowNPEWhenIntegerPassedToEq (failings)
2021-07-04 09:52:04,367 DEBUG    Reading the coverage of org.mockitousage.bugs.NPEWithCertainMatchersTest::shouldNotThrowNPEWhenIntegerPassed (failings)
2021-07-04 09:52:04,385 DEBUG    Reading the coverage of org.mockitousage.bugs.NPEWithCertainMatchersTest::shouldNotThrowNPEWhenIntPassed (failings)
2021-07-04 09:52:04,402 DEBUG    Reading the coverage of org.mockitousage.bugs.NPEWithCertainMatchersTest::shouldNotThrowNPEWhenIntegerPassedToSame (failings)
2021-07-04 09:52:04,421 INFO     Loaded 4x436 Coverage Matrix
2021-07-04 09:52:04,421 INFO     The number of total commits: 1202
2021-07-04 09:52:04,707 DEBUG    [single line]   org/mockito/ArgumentMatcher.java <init> 62
2021-07-04 09:52:04,783 DEBUG                  - depth 0, hash cbc530c, HEAD~36
2021-07-04 09:52:04,789 DEBUG                  - depth 1, hash bf4eec3, HEAD~874
2021-07-04 09:52:05,161 DEBUG    [line range] org/mockito/Matchers.java <clinit> 95:95
2021-07-04 09:52:05,249 DEBUG                  - depth 0, hash d94c8c1, HEAD~338
2021-07-04 09:52:05,254 DEBUG                  - depth 1, hash 7035637, HEAD~395
2021-07-04 09:52:05,258 DEBUG                  - depth 2, hash 863efe6, HEAD~414
2021-07-04 09:52:05,262 DEBUG                  - depth 3, hash 6d73019, HEAD~434
2021-07-04 09:52:05,266 DEBUG                  - depth 4, hash affa89d, HEAD~435
2021-07-04 09:52:05,270 DEBUG                  - depth 5, hash e6759cc, HEAD~516
2021-07-04 09:52:05,275 DEBUG                  - depth 6, hash 63fbcc7, HEAD~517
2021-07-04 09:52:05,279 DEBUG                  - depth 7, hash 9d1a555, HEAD~558
2021-07-04 09:52:05,283 DEBUG                  - depth 8, hash 97194a6, HEAD~588
2021-07-04 09:52:05,287 DEBUG                  - depth 9, hash eb1110e, HEAD~615
2021-07-04 09:52:05,291 DEBUG                  - depth 10, hash b0c3487, HEAD~645
2021-07-04 09:52:05,295 DEBUG                  - depth 11, hash e71e3d3, HEAD~676
2021-07-04 09:52:05,299 DEBUG                  - depth 12, hash b29cc4b, HEAD~681
2021-07-04 09:52:05,303 DEBUG                  - depth 13, hash a56149b, HEAD~689
2021-07-04 09:52:05,307 DEBUG                  - depth 14, hash 56b3503, HEAD~693
2021-07-04 09:52:05,311 DEBUG                  - depth 15, hash a0e3112, HEAD~784
