2021-07-03 20:27:40,862 INFO     Search BICs for /tmp/Compress-9b/
2021-07-03 20:27:40,862 DEBUG    Reading the coverage of org.apache.commons.compress.archivers.tar.TarArchiveOutputStreamTest::testCount (failings)
2021-07-03 20:27:40,883 INFO     Loaded 1x210 Coverage Matrix
2021-07-03 20:27:40,883 INFO     The number of total commits: 895
2021-07-03 20:27:41,195 DEBUG    [single line]   org/apache/commons/compress/archivers/ArchiveOutputStream.java <init> 49
2021-07-03 20:27:41,225 DEBUG                  - depth 0, hash c30b588, HEAD~738
2021-07-03 20:27:41,231 DEBUG                  - depth 1, hash f77e1f1, HEAD~746
2021-07-03 20:27:41,235 DEBUG                  - depth 2, hash ca16539, HEAD~782
2021-07-03 20:27:41,239 DEBUG    [line range] org/apache/commons/compress/archivers/ArchiveOutputStream.java <init> 52:52
2021-07-03 20:27:41,270 DEBUG                  - depth 0, hash 52fcfa0, HEAD~550
2021-07-03 20:27:41,276 DEBUG    [line range] org/apache/commons/compress/archivers/ArchiveOutputStream.java count 122:124
2021-07-03 20:27:41,306 DEBUG                  - depth 0, hash 58568f4, HEAD~324
2021-07-03 20:27:41,311 DEBUG                  - depth 1, hash 2dca661, HEAD~326
2021-07-03 20:27:41,315 DEBUG                  - depth 2, hash ab26943, HEAD~412
2021-07-03 20:27:41,319 DEBUG    [line range] org/apache/commons/compress/archivers/ArchiveOutputStream.java count 133:137
2021-07-03 20:27:41,350 DEBUG                  - depth 0, hash 2dca661, HEAD~326
2021-07-03 20:27:41,355 DEBUG                  - depth 1, hash ab26943, HEAD~412
2021-07-03 20:27:41,359 DEBUG    [line range] org/apache/commons/compress/archivers/ArchiveOutputStream.java getBytesWritten 155:157
2021-07-03 20:27:41,390 DEBUG                  - depth 0, hash 2dca661, HEAD~326
2021-07-03 20:27:41,395 DEBUG                  - depth 1, hash ab26943, HEAD~412
2021-07-03 20:27:41,729 DEBUG    [single line]   org/apache/commons/compress/archivers/ArchiveStreamFactory.java <init> 74
2021-07-03 20:27:41,760 DEBUG                  - depth 0, hash 6a70323, HEAD~772
2021-07-03 20:27:41,766 DEBUG                  - depth 1, hash ca16539, HEAD~782
2021-07-03 20:27:41,770 DEBUG    [line range] org/apache/commons/compress/archivers/ArchiveStreamFactory.java createArchiveOutputStream 159:185
2021-07-03 20:27:41,803 DEBUG                  - depth 0, hash c640fab, HEAD~307
2021-07-03 20:27:41,808 DEBUG                  - depth 1, hash bed564b, HEAD~330
2021-07-03 20:27:41,812 DEBUG                  - depth 2, hash ae0f984, HEAD~336
2021-07-03 20:27:41,816 DEBUG                  - depth 3, hash e7517b8, HEAD~345
2021-07-03 20:27:41,820 DEBUG                  - depth 4, hash c4a65f0, HEAD~671
2021-07-03 20:27:41,824 DEBUG                  - depth 5, hash 55c78f6, HEAD~736
2021-07-03 20:27:41,828 DEBUG                  - depth 6, hash 0ba4e2a, HEAD~737
2021-07-03 20:27:41,833 DEBUG                  - depth 7, hash 6284d8d, HEAD~745
2021-07-03 20:27:41,837 DEBUG                  - depth 8, hash f77e1f1, HEAD~746
2021-07-03 20:27:41,841 DEBUG                  - depth 9, hash b7bc8c7, HEAD~752
2021-07-03 20:27:41,845 DEBUG                  - depth 10, hash 70c8320, HEAD~762
2021-07-03 20:27:41,849 DEBUG                  - depth 11, hash 6a70323, HEAD~772
2021-07-03 20:27:41,853 DEBUG                  - depth 12, hash ca16539, HEAD~782
2021-07-03 20:27:42,287 DEBUG    [line range] org/apache/commons/compress/archivers/tar/TarArchiveEntry.java <init> 175:192
2021-07-03 20:27:42,322 DEBUG                  - depth 0, hash 8118f82, HEAD~500
2021-07-03 20:27:42,328 DEBUG                  - depth 1, hash 1d55670, HEAD~503
2021-07-03 20:27:42,332 DEBUG                  - depth 2, hash 24f9c9b, HEAD~505
2021-07-03 20:27:42,336 DEBUG                  - depth 3, hash 46ad24d, HEAD~768
2021-07-03 20:27:42,340 DEBUG                  - depth 4, hash 8822084, HEAD~853
2021-07-03 20:27:42,344 DEBUG    [line range] org/apache/commons/compress/archivers/tar/TarArchiveEntry.java <init> 259:261
2021-07-03 20:27:42,377 DEBUG                  - depth 0, hash 3e2ddad, HEAD~355
2021-07-03 20:27:42,383 DEBUG                  - depth 1, hash fec51a1, HEAD~539
2021-07-03 20:27:42,387 DEBUG                  - depth 2, hash 46ad24d, HEAD~768
2021-07-03 20:27:42,391 DEBUG                  - depth 3, hash ca16539, HEAD~782
2021-07-03 20:27:42,395 DEBUG    [line range] org/apache/commons/compress/archivers/tar/TarArchiveEntry.java <init> 270:298
2021-07-03 20:27:42,429 DEBUG                  - depth 0, hash aa9d0bc, HEAD~178
2021-07-03 20:27:42,435 DEBUG                  - depth 1, hash 3bb9282, HEAD~392
2021-07-03 20:27:42,439 DEBUG                  - depth 2, hash 1d55670, HEAD~503
2021-07-03 20:27:42,443 DEBUG                  - depth 3, hash fec51a1, HEAD~539
