2021-07-04 05:01:44,958 INFO     Search BICs for /tmp/Jsoup-85b/
2021-07-04 05:01:44,958 DEBUG    Reading the coverage of org.jsoup.nodes.AttributeTest::validatesKeysNotEmpty (failings)
2021-07-04 05:01:44,959 INFO     Loaded 1x14 Coverage Matrix
2021-07-04 05:01:44,960 INFO     The number of total commits: 1201
2021-07-04 05:01:45,265 DEBUG    [line range] org/jsoup/helper/Validate.java notEmpty 90:93
2021-07-04 05:01:45,301 DEBUG                  - depth 0, hash 18e9a8f, HEAD~943
2021-07-04 05:01:45,306 DEBUG    [line range] org/jsoup/helper/Validate.java notNull 14:17
2021-07-04 05:01:45,341 DEBUG                  - depth 0, hash 18e9a8f, HEAD~943
2021-07-04 05:01:45,684 DEBUG    [line range] org/jsoup/nodes/Attribute.java <clinit> 15:20
2021-07-04 05:01:45,720 DEBUG                  - depth 0, hash 6c4f16f, HEAD~571
2021-07-04 05:01:45,725 DEBUG    [line range] org/jsoup/nodes/Attribute.java <init> 32:34
2021-07-04 05:01:45,761 DEBUG                  - depth 0, hash ea1fb65, HEAD~156
2021-07-04 05:01:45,766 DEBUG                  - depth 1, hash a29e8b5, HEAD~1185
2021-07-04 05:01:45,770 DEBUG    [line range] org/jsoup/nodes/Attribute.java <init> 42:48
2021-07-04 05:01:45,808 DEBUG                  - depth 0, hash ea1fb65, HEAD~156
2021-07-04 05:01:45,813 DEBUG                  - depth 1, hash a623db7, HEAD~218
2021-07-04 05:01:45,817 DEBUG                  - depth 2, hash 6569bb7, HEAD~278
2021-07-04 05:01:45,821 DEBUG                  - depth 3, hash 6b0dd15, HEAD~984
2021-07-04 05:01:45,825 DEBUG                  - depth 4, hash 40a3cda, HEAD~988
2021-07-04 05:01:45,829 DEBUG                  - depth 5, hash 5b40706, HEAD~1097
2021-07-04 05:01:45,833 DEBUG                  - depth 6, hash a29e8b5, HEAD~1185
2021-07-04 05:01:45,837 INFO     The number of BIC candidates: 9
