2021-07-03 20:52:56,352 INFO     Search BICs for /tmp/Csv-14b/
2021-07-03 20:52:56,352 DEBUG    Reading the coverage of org.apache.commons.csv.CSVPrinterTest::testEscapeBackslash1 (failings)
2021-07-03 20:52:56,357 DEBUG    Reading the coverage of org.apache.commons.csv.CSVPrinterTest::testEscapeBackslash5 (failings)
2021-07-03 20:52:56,362 DEBUG    Reading the coverage of org.apache.commons.csv.CSVPrinterTest::testEscapeNull4 (failings)
2021-07-03 20:52:56,367 DEBUG    Reading the coverage of org.apache.commons.csv.CSVPrinterTest::testEscapeBackslash4 (failings)
2021-07-03 20:52:56,372 DEBUG    Reading the coverage of org.apache.commons.csv.CSVPrinterTest::testEscapeNull1 (failings)
2021-07-03 20:52:56,376 DEBUG    Reading the coverage of org.apache.commons.csv.CSVPrinterTest::testEscapeNull5 (failings)
2021-07-03 20:52:56,381 INFO     Loaded 6x122 Coverage Matrix
2021-07-03 20:52:56,382 INFO     The number of total commits: 1127
2021-07-03 20:52:56,661 DEBUG    [line range] org/apache/commons/csv/Assertions.java notNull 33:37
2021-07-03 20:52:56,693 DEBUG                  - depth 0, hash 5941149, HEAD~387
2021-07-03 20:52:56,699 DEBUG                  - depth 1, hash 724c88d, HEAD~428
2021-07-03 20:52:56,703 DEBUG                  - depth 2, hash a2fef00, HEAD~430
2021-07-03 20:52:57,158 DEBUG    [line range] org/apache/commons/csv/CSVFormat.java <clinit> 233:234
2021-07-03 20:52:57,220 DEBUG                  - depth 0, hash 16b9e2c, HEAD~98
2021-07-03 20:52:57,225 DEBUG                  - depth 1, hash d54b339, HEAD~132
2021-07-03 20:52:57,229 DEBUG                  - depth 2, hash 4471e9d, HEAD~193
2021-07-03 20:52:57,233 DEBUG                  - depth 3, hash a4f7371, HEAD~237
2021-07-03 20:52:57,237 DEBUG                  - depth 4, hash 99c3819, HEAD~320
2021-07-03 20:52:57,241 DEBUG                  - depth 5, hash 5db1a2c, HEAD~437
2021-07-03 20:52:57,245 DEBUG                  - depth 6, hash 97d3457, HEAD~492
2021-07-03 20:52:57,249 DEBUG                  - depth 7, hash 75f39a8, HEAD~504
2021-07-03 20:52:57,253 DEBUG                  - depth 8, hash 60cc83a, HEAD~557
