2021-07-03 20:13:06,348 INFO     Search BICs for /tmp/Codec-3b/
2021-07-03 20:13:06,348 DEBUG    Reading the coverage of org.apache.commons.codec.language.DoubleMetaphone2Test::testDoubleMetaphoneAlternate (failings)
2021-07-03 20:13:06,354 INFO     Loaded 1x185 Coverage Matrix
2021-07-03 20:13:06,354 INFO     The number of total commits: 557
2021-07-03 20:13:06,821 DEBUG    [line range] org/apache/commons/codec/language/DoubleMetaphone.java <clinit> 47:48
2021-07-03 20:13:06,878 DEBUG                  - depth 0, hash 727432f, HEAD~524
2021-07-03 20:13:06,885 DEBUG    [line range] org/apache/commons/codec/language/DoubleMetaphone.java <init> 59:59
2021-07-03 20:13:06,907 DEBUG                  - depth 0, hash 5612674, HEAD~507
2021-07-03 20:13:06,912 DEBUG                  - depth 1, hash 727432f, HEAD~524
2021-07-03 20:13:06,917 DEBUG    [line range] org/apache/commons/codec/language/DoubleMetaphone.java charAt 934:939
2021-07-03 20:13:06,938 DEBUG                  - depth 0, hash 3ac0571, HEAD~307
2021-07-03 20:13:06,943 DEBUG                  - depth 1, hash 727432f, HEAD~524
2021-07-03 20:13:06,948 DEBUG    [line range] org/apache/commons/codec/language/DoubleMetaphone.java cleanInput 918:927
2021-07-03 20:13:06,969 DEBUG                  - depth 0, hash d911f5f, HEAD~138
2021-07-03 20:13:06,975 DEBUG                  - depth 1, hash 52d82d1, HEAD~143
2021-07-03 20:13:06,979 DEBUG                  - depth 2, hash 3ac0571, HEAD~307
2021-07-03 20:13:06,983 DEBUG                  - depth 3, hash 727432f, HEAD~524
2021-07-03 20:13:06,987 DEBUG    [line range] org/apache/commons/codec/language/DoubleMetaphone.java conditionC0 809:823
2021-07-03 20:13:07,009 DEBUG                  - depth 0, hash d911f5f, HEAD~138
2021-07-03 20:13:07,014 DEBUG                  - depth 1, hash de10106, HEAD~155
2021-07-03 20:13:07,018 DEBUG                  - depth 2, hash a175e52, HEAD~308
2021-07-03 20:13:07,022 DEBUG                  - depth 3, hash 727432f, HEAD~524
2021-07-03 20:13:07,026 DEBUG    [line range] org/apache/commons/codec/language/DoubleMetaphone.java conditionL0 856:867
