2021-07-03 20:42:38,287 INFO     Search BICs for /tmp/Compress-40b/
2021-07-03 20:42:38,287 DEBUG    Reading the coverage of org.apache.commons.compress.utils.BitInputStreamTest::littleEndianWithOverflow (failings)
2021-07-03 20:42:38,288 DEBUG    Reading the coverage of org.apache.commons.compress.utils.BitInputStreamTest::bigEndianWithOverflow (failings)
2021-07-03 20:42:38,288 INFO     Loaded 2x26 Coverage Matrix
2021-07-03 20:42:38,289 INFO     The number of total commits: 1909
2021-07-03 20:42:38,604 DEBUG    [line range] org/apache/commons/compress/utils/BitInputStream.java <clinit> 33:33
2021-07-03 20:42:38,668 DEBUG                  - depth 0, hash 1053ec1, HEAD~239
2021-07-03 20:42:38,674 DEBUG                  - depth 1, hash 840a20e, HEAD~314
2021-07-03 20:42:38,678 DEBUG    [line range] org/apache/commons/compress/utils/BitInputStream.java <init> 43:43
2021-07-03 20:42:38,741 DEBUG                  - depth 0, hash 1053ec1, HEAD~239
2021-07-03 20:42:38,746 DEBUG                  - depth 1, hash d241f50, HEAD~321
2021-07-03 20:42:38,750 DEBUG    [line range] org/apache/commons/compress/utils/BitInputStream.java readBits 81:108
2021-07-03 20:42:38,814 DEBUG                  - depth 0, hash 1053ec1, HEAD~239
2021-07-03 20:42:38,819 DEBUG                  - depth 1, hash b543381, HEAD~310
2021-07-03 20:42:38,823 DEBUG                  - depth 2, hash f233537, HEAD~313
2021-07-03 20:42:38,827 DEBUG                  - depth 3, hash 840a20e, HEAD~314
2021-07-03 20:42:38,831 DEBUG                  - depth 4, hash cb4b6e0, HEAD~315
2021-07-03 20:42:38,835 DEBUG                  - depth 5, hash e68f44a, HEAD~318
2021-07-03 20:42:38,839 DEBUG                  - depth 6, hash d241f50, HEAD~321
2021-07-03 20:42:38,844 INFO     The number of BIC candidates: 7
