2021-07-03 20:50:34,098 INFO     Search BICs for /tmp/Csv-7b/
2021-07-03 20:50:34,098 DEBUG    Reading the coverage of org.apache.commons.csv.CSVParserTest::testDuplicateHeaderEntries (failings)
2021-07-03 20:50:34,104 INFO     Loaded 1x185 Coverage Matrix
2021-07-03 20:50:34,105 INFO     The number of total commits: 780
2021-07-03 20:50:34,391 DEBUG    [line range] org/apache/commons/csv/Assertions.java notNull 31:35
2021-07-03 20:50:34,418 DEBUG                  - depth 0, hash 5941149, HEAD~40
2021-07-03 20:50:34,424 DEBUG                  - depth 1, hash 724c88d, HEAD~81
2021-07-03 20:50:34,428 DEBUG                  - depth 2, hash a2fef00, HEAD~83
2021-07-03 20:50:34,847 DEBUG    [line range] org/apache/commons/csv/CSVFormat.java <clinit> 174:175
2021-07-03 20:50:34,885 DEBUG                  - depth 0, hash 5db1a2c, HEAD~90
2021-07-03 20:50:34,891 DEBUG                  - depth 1, hash 97d3457, HEAD~145
2021-07-03 20:50:34,895 DEBUG                  - depth 2, hash 75f39a8, HEAD~157
2021-07-03 20:50:34,899 DEBUG                  - depth 3, hash 60cc83a, HEAD~210
2021-07-03 20:50:34,903 DEBUG                  - depth 4, hash 50e2719, HEAD~401
2021-07-03 20:50:34,907 DEBUG                  - depth 5, hash 42476f4, HEAD~642
2021-07-03 20:50:34,911 DEBUG                  - depth 6, hash 1166ca6, HEAD~653
2021-07-03 20:50:34,915 DEBUG                  - depth 7, hash eac54a2, HEAD~758
2021-07-03 20:50:34,919 DEBUG    [line range] org/apache/commons/csv/CSVFormat.java <init> 297:316
2021-07-03 20:50:34,954 DEBUG                  - depth 0, hash 5941149, HEAD~40
2021-07-03 20:50:34,959 DEBUG                  - depth 1, hash 97d3457, HEAD~145
2021-07-03 20:50:34,963 DEBUG                  - depth 2, hash 5a0894f, HEAD~169
2021-07-03 20:50:34,967 DEBUG                  - depth 3, hash ab2e7eb, HEAD~173
2021-07-03 20:50:34,971 DEBUG                  - depth 4, hash 75b9a4b, HEAD~209
2021-07-03 20:50:34,975 DEBUG                  - depth 5, hash 60cc83a, HEAD~210
2021-07-03 20:50:34,979 DEBUG                  - depth 6, hash db11c04, HEAD~300
2021-07-03 20:50:34,984 DEBUG                  - depth 7, hash 6a34b82, HEAD~310
2021-07-03 20:50:34,988 DEBUG                  - depth 8, hash 0030e1a, HEAD~362
2021-07-03 20:50:34,992 DEBUG    [line range] org/apache/commons/csv/CSVFormat.java getCommentStart 400:402
2021-07-03 20:50:35,025 DEBUG                  - depth 0, hash 60cc83a, HEAD~210
2021-07-03 20:50:35,031 DEBUG                  - depth 1, hash 9bafed6, HEAD~263
2021-07-03 20:50:35,035 DEBUG                  - depth 2, hash e28d4e9, HEAD~268
2021-07-03 20:50:35,039 DEBUG                  - depth 3, hash 2018c0c, HEAD~277
2021-07-03 20:50:35,043 DEBUG                  - depth 4, hash 5e0e770, HEAD~278
2021-07-03 20:50:35,047 DEBUG                  - depth 5, hash 71a6570, HEAD~294
2021-07-03 20:50:35,051 DEBUG                  - depth 6, hash 713e9c5, HEAD~298
2021-07-03 20:50:35,055 DEBUG                  - depth 7, hash db11c04, HEAD~300
2021-07-03 20:50:35,059 DEBUG                  - depth 8, hash 0383fd5, HEAD~306
2021-07-03 20:50:35,063 DEBUG                  - depth 9, hash 68352ee, HEAD~307
2021-07-03 20:50:35,067 DEBUG                  - depth 10, hash 6a34b82, HEAD~310
2021-07-03 20:50:35,072 DEBUG    [line range] org/apache/commons/csv/CSVFormat.java getDelimiter 409:411
2021-07-03 20:50:35,105 DEBUG                  - depth 0, hash 60cc83a, HEAD~210
2021-07-03 20:50:35,110 DEBUG                  - depth 1, hash 759596a, HEAD~221
2021-07-03 20:50:35,114 DEBUG                  - depth 2, hash d10442b, HEAD~231
2021-07-03 20:50:35,118 DEBUG                  - depth 3, hash df08aca, HEAD~239
2021-07-03 20:50:35,122 DEBUG                  - depth 4, hash 6a34b82, HEAD~310
2021-07-03 20:50:35,127 DEBUG    [line range] org/apache/commons/csv/CSVFormat.java getEscape 418:420
2021-07-03 20:50:35,160 DEBUG                  - depth 0, hash 60cc83a, HEAD~210
2021-07-03 20:50:35,166 DEBUG                  - depth 1, hash df08aca, HEAD~239
2021-07-03 20:50:35,170 DEBUG                  - depth 2, hash 961cce2, HEAD~275
2021-07-03 20:50:35,174 DEBUG                  - depth 3, hash db11c04, HEAD~300
2021-07-03 20:50:35,178 DEBUG                  - depth 4, hash 6a34b82, HEAD~310
2021-07-03 20:50:35,182 DEBUG    [line range] org/apache/commons/csv/CSVFormat.java getHeader 427:429
2021-07-03 20:50:35,215 DEBUG                  - depth 0, hash 390800f, HEAD~150
2021-07-03 20:50:35,220 DEBUG                  - depth 1, hash 60cc83a, HEAD~210
2021-07-03 20:50:35,224 DEBUG                  - depth 2, hash 961cce2, HEAD~275
2021-07-03 20:50:35,228 DEBUG                  - depth 3, hash 6a34b82, HEAD~310
2021-07-03 20:50:35,232 DEBUG    [line range] org/apache/commons/csv/CSVFormat.java getIgnoreEmptyLines 437:439
2021-07-03 20:50:35,265 DEBUG                  - depth 0, hash 60cc83a, HEAD~210
2021-07-03 20:50:35,270 DEBUG                  - depth 1, hash 961cce2, HEAD~275
2021-07-03 20:50:35,274 DEBUG                  - depth 2, hash db11c04, HEAD~300
2021-07-03 20:50:35,278 DEBUG                  - depth 3, hash 6a34b82, HEAD~310
2021-07-03 20:50:35,283 DEBUG    [line range] org/apache/commons/csv/CSVFormat.java getIgnoreSurroundingSpaces 447:449
2021-07-03 20:50:35,315 DEBUG                  - depth 0, hash 60cc83a, HEAD~210
2021-07-03 20:50:35,321 DEBUG                  - depth 1, hash 961cce2, HEAD~275
2021-07-03 20:50:35,325 DEBUG                  - depth 2, hash db11c04, HEAD~300
2021-07-03 20:50:35,329 DEBUG                  - depth 3, hash 6a34b82, HEAD~310
2021-07-03 20:50:35,333 DEBUG    [line range] org/apache/commons/csv/CSVFormat.java getNullString 464:466
2021-07-03 20:50:35,361 DEBUG                  - depth 0, hash 5a0894f, HEAD~169
2021-07-03 20:50:35,366 DEBUG                  - depth 1, hash 75b9a4b, HEAD~209
2021-07-03 20:50:35,371 DEBUG    [line range] org/apache/commons/csv/CSVFormat.java getQuoteChar 473:475
2021-07-03 20:50:35,403 DEBUG                  - depth 0, hash 60cc83a, HEAD~210
2021-07-03 20:50:35,408 DEBUG                  - depth 1, hash 961cce2, HEAD~275
2021-07-03 20:50:35,413 DEBUG                  - depth 2, hash 6a34b82, HEAD~310
2021-07-03 20:50:35,417 DEBUG    [line range] org/apache/commons/csv/CSVFormat.java isLineBreak 242:244
2021-07-03 20:50:35,456 DEBUG                  - depth 0, hash 9631efe, HEAD~99
2021-07-03 20:50:35,461 DEBUG                  - depth 1, hash 60cc83a, HEAD~210
2021-07-03 20:50:35,466 DEBUG                  - depth 2, hash 6a34b82, HEAD~310
2021-07-03 20:50:35,470 DEBUG                  - depth 3, hash 73ec29f, HEAD~316
2021-07-03 20:50:35,474 DEBUG                  - depth 4, hash 53f15f4, HEAD~356
2021-07-03 20:50:35,478 DEBUG                  - depth 5, hash 6e57364, HEAD~361
2021-07-03 20:50:35,482 DEBUG                  - depth 6, hash 0030e1a, HEAD~362
2021-07-03 20:50:35,486 DEBUG                  - depth 7, hash 53fd86d, HEAD~409
2021-07-03 20:50:35,490 DEBUG                  - depth 8, hash 6ab9b46, HEAD~418
2021-07-03 20:50:35,494 DEBUG                  - depth 9, hash 67bbc35, HEAD~421
2021-07-03 20:50:35,498 DEBUG                  - depth 10, hash 6c1b0fa, HEAD~436
2021-07-03 20:50:35,502 DEBUG                  - depth 11, hash 93fc1f9, HEAD~438
2021-07-03 20:50:35,507 DEBUG                  - depth 12, hash bf06bed, HEAD~441
2021-07-03 20:50:35,511 DEBUG                  - depth 13, hash 38741a4, HEAD~526
2021-07-03 20:50:35,515 DEBUG                  - depth 14, hash c9dedff, HEAD~561
2021-07-03 20:50:35,519 DEBUG                  - depth 15, hash aee6c50, HEAD~567
2021-07-03 20:50:35,523 DEBUG                  - depth 16, hash bbb2da1, HEAD~576
2021-07-03 20:50:35,527 DEBUG                  - depth 17, hash 740a1b6, HEAD~592
2021-07-03 20:50:35,531 DEBUG                  - depth 18, hash 194e21c, HEAD~610
2021-07-03 20:50:35,535 DEBUG                  - depth 19, hash 70337be, HEAD~631
2021-07-03 20:50:35,539 DEBUG                  - depth 20, hash cb99634, HEAD~641
2021-07-03 20:50:35,544 DEBUG                  - depth 21, hash 42476f4, HEAD~642
2021-07-03 20:50:35,548 DEBUG                  - depth 22, hash 43b777b, HEAD~647
