2021-07-03 20:42:12,230 INFO     Search BICs for /tmp/Compress-39b/
2021-07-03 20:42:12,230 DEBUG    Reading the coverage of org.apache.commons.compress.ArchiveUtilsTest::sanitizeShortensString (failings)
2021-07-03 20:42:12,250 INFO     Loaded 1x18 Coverage Matrix
2021-07-03 20:42:12,251 INFO     The number of total commits: 1876
2021-07-03 20:42:12,592 DEBUG    [line range] org/apache/commons/compress/archivers/ArchiveStreamFactory.java <init> 135:137
2021-07-03 20:42:12,659 DEBUG                  - depth 0, hash 0b33b14, HEAD~174
2021-07-03 20:42:12,665 DEBUG                  - depth 1, hash 2ab43b0, HEAD~811
2021-07-03 20:42:12,669 DEBUG    [line range] org/apache/commons/compress/archivers/ArchiveStreamFactory.java <init> 130:130
2021-07-03 20:42:12,738 DEBUG                  - depth 0, hash 0b33b14, HEAD~174
2021-07-03 20:42:12,744 DEBUG                  - depth 1, hash 2ab43b0, HEAD~811
2021-07-03 20:42:13,096 DEBUG    [line range] org/apache/commons/compress/utils/ArchiveUtils.java sanitize 269:285
2021-07-03 20:42:13,158 DEBUG                  - depth 0, hash 318de9a, HEAD~17
2021-07-03 20:42:13,164 INFO     The number of BIC candidates: 3
