2021-07-03 21:02:29,060 INFO     Search BICs for /tmp/Gson-18b/
2021-07-03 21:02:29,060 DEBUG    Reading the coverage of com.google.gson.functional.CollectionTest::testIssue1107 (failings)
2021-07-03 21:02:29,107 INFO     Loaded 1x792 Coverage Matrix
2021-07-03 21:02:29,108 INFO     The number of total commits: 1376
2021-07-03 21:02:29,416 DEBUG    [single line]   com/google/gson/FieldNamingPolicy.java <clinit> 31
2021-07-03 21:02:29,468 DEBUG                  - depth 0, hash f89e92a, HEAD~627
2021-07-03 21:02:29,474 DEBUG                  - depth 1, hash 57d1f32, HEAD~1375
2021-07-03 21:02:29,478 DEBUG    [single line]   com/google/gson/FieldNamingPolicy.java <clinit> 37
2021-07-03 21:02:29,529 DEBUG                  - depth 0, hash f89e92a, HEAD~627
2021-07-03 21:02:29,535 DEBUG                  - depth 1, hash 57d1f32, HEAD~1375
2021-07-03 21:02:29,539 DEBUG    [single line]   com/google/gson/FieldNamingPolicy.java <clinit> 53
2021-07-03 21:02:29,591 DEBUG                  - depth 0, hash f89e92a, HEAD~627
2021-07-03 21:02:29,596 DEBUG                  - depth 1, hash 57d1f32, HEAD~1375
2021-07-03 21:02:29,601 DEBUG    [single line]   com/google/gson/FieldNamingPolicy.java <clinit> 72
2021-07-03 21:02:29,652 DEBUG                  - depth 0, hash f89e92a, HEAD~627
2021-07-03 21:02:29,657 DEBUG                  - depth 1, hash ba01548, HEAD~1092
2021-07-03 21:02:29,661 DEBUG    [single line]   com/google/gson/FieldNamingPolicy.java <clinit> 90
2021-07-03 21:02:29,712 DEBUG                  - depth 0, hash f89e92a, HEAD~627
2021-07-03 21:02:29,718 DEBUG                  - depth 1, hash ad4ff69, HEAD~1173
2021-07-03 21:02:29,722 DEBUG                  - depth 2, hash 57d1f32, HEAD~1375
2021-07-03 21:02:29,726 DEBUG    [single line]   com/google/gson/FieldNamingPolicy.java <clinit> 113
2021-07-03 21:02:29,778 DEBUG                  - depth 0, hash f89e92a, HEAD~627
2021-07-03 21:02:29,783 DEBUG                  - depth 1, hash ad4ff69, HEAD~1173
2021-07-03 21:02:29,787 DEBUG                  - depth 2, hash 57d1f32, HEAD~1375
2021-07-03 21:02:29,791 DEBUG    [single line]   com/google/gson/FieldNamingPolicy.java <init> 37
2021-07-03 21:02:29,843 DEBUG                  - depth 0, hash f89e92a, HEAD~627
2021-07-03 21:02:29,849 DEBUG                  - depth 1, hash 57d1f32, HEAD~1375
2021-07-03 21:02:29,853 DEBUG    [line range] com/google/gson/FieldNamingPolicy.java translateName 38:40
2021-07-03 21:02:29,906 DEBUG                  - depth 0, hash e5b3f63, HEAD~258
2021-07-03 21:02:29,911 DEBUG                  - depth 1, hash f89e92a, HEAD~627
2021-07-03 21:02:29,915 DEBUG                  - depth 2, hash 57d1f32, HEAD~1375
2021-07-03 21:02:29,919 DEBUG    [single line]   com/google/gson/FieldNamingPolicy.java <init> 53
2021-07-03 21:02:29,970 DEBUG                  - depth 0, hash f89e92a, HEAD~627
2021-07-03 21:02:29,976 DEBUG                  - depth 1, hash 57d1f32, HEAD~1375
2021-07-03 21:02:29,980 DEBUG    [single line]   com/google/gson/FieldNamingPolicy.java <init> 72
2021-07-03 21:02:30,031 DEBUG                  - depth 0, hash f89e92a, HEAD~627
2021-07-03 21:02:30,036 DEBUG                  - depth 1, hash ba01548, HEAD~1092
2021-07-03 21:02:30,040 DEBUG    [single line]   com/google/gson/FieldNamingPolicy.java <init> 90
2021-07-03 21:02:30,092 DEBUG                  - depth 0, hash f89e92a, HEAD~627
2021-07-03 21:02:30,098 DEBUG                  - depth 1, hash ad4ff69, HEAD~1173
