2021-07-04 09:00:28,303 INFO     Search BICs for /tmp/Mockito-11b/
2021-07-04 09:00:28,304 DEBUG    Reading the coverage of org.mockito.internal.creation.DelegatingMethodTest::equals_should_return_true_when_equal (failings)
2021-07-04 09:00:28,315 DEBUG    Reading the coverage of org.mockito.internal.creation.DelegatingMethodTest::equals_should_return_true_when_self (failings)
2021-07-04 09:00:28,325 INFO     Loaded 2x252 Coverage Matrix
2021-07-04 09:00:28,326 INFO     The number of total commits: 2191
2021-07-04 09:00:28,632 DEBUG    [line range] org/mockito/MockitoAnnotations.java initMocks 89:109
2021-07-04 09:00:28,749 DEBUG                  - depth 0, hash f920e3a, HEAD~651
2021-07-04 09:00:28,755 DEBUG                  - depth 1, hash f8f76a4, HEAD~701
2021-07-04 09:00:28,759 DEBUG                  - depth 2, hash feb23b0, HEAD~1847
2021-07-04 09:00:28,763 DEBUG                  - depth 3, hash ebcb3e7, HEAD~1849
2021-07-04 09:00:28,767 DEBUG                  - depth 4, hash 70eb8ea, HEAD~1897
2021-07-04 09:00:28,772 DEBUG    [line range] org/mockito/MockitoAnnotations.java processAnnotationDeprecatedWay 119:135
2021-07-04 09:00:28,888 DEBUG                  - depth 0, hash 038235e, HEAD~868
2021-07-04 09:00:28,894 DEBUG                  - depth 1, hash 3275500, HEAD~875
2021-07-04 09:00:28,898 DEBUG                  - depth 2, hash 896c61e, HEAD~878
2021-07-04 09:00:28,902 DEBUG                  - depth 3, hash 2a256b3, HEAD~1375
2021-07-04 09:00:28,906 DEBUG                  - depth 4, hash 2dc4ebd, HEAD~1598
2021-07-04 09:00:28,910 DEBUG                  - depth 5, hash 2aed41e, HEAD~1741
2021-07-04 09:00:28,914 DEBUG                  - depth 6, hash 83fcd71, HEAD~1848
2021-07-04 09:00:28,918 DEBUG                  - depth 7, hash 70eb8ea, HEAD~1897
2021-07-04 09:00:28,922 DEBUG    [line range] org/mockito/MockitoAnnotations.java scanDeprecatedWay 111:117
2021-07-04 09:00:29,040 DEBUG                  - depth 0, hash f8f76a4, HEAD~701
2021-07-04 09:00:29,045 DEBUG                  - depth 1, hash 75e15e4, HEAD~809
2021-07-04 09:00:29,049 DEBUG                  - depth 2, hash 3275500, HEAD~875
2021-07-04 09:00:29,053 DEBUG                  - depth 3, hash 896c61e, HEAD~878
2021-07-04 09:00:29,057 DEBUG                  - depth 4, hash 2a256b3, HEAD~1375
2021-07-04 09:00:29,062 DEBUG                  - depth 5, hash 2dc4ebd, HEAD~1598
2021-07-04 09:00:29,066 DEBUG                  - depth 6, hash 2aed41e, HEAD~1741
2021-07-04 09:00:29,070 DEBUG                  - depth 7, hash 83fcd71, HEAD~1848
2021-07-04 09:00:29,074 DEBUG                  - depth 8, hash ebcb3e7, HEAD~1849
2021-07-04 09:00:29,078 DEBUG                  - depth 9, hash 70eb8ea, HEAD~1897
2021-07-04 09:00:29,379 DEBUG    [single line]   org/mockito/configuration/DefaultMockitoConfiguration.java <init> 20
2021-07-04 09:00:29,497 DEBUG                  - depth 0, hash 2d152ee, HEAD~1404
2021-07-04 09:00:29,503 DEBUG    [line range] org/mockito/configuration/DefaultMockitoConfiguration.java getAnnotationEngine 38:40
2021-07-04 09:00:29,618 DEBUG                  - depth 0, hash 3275500, HEAD~875
2021-07-04 09:00:29,623 DEBUG                  - depth 1, hash 7a6d0db, HEAD~1374
2021-07-04 09:00:29,627 DEBUG                  - depth 2, hash 2a256b3, HEAD~1375
2021-07-04 09:00:30,014 DEBUG    [single line]   org/mockito/exceptions/Reporter.java <init> 49
2021-07-04 09:00:30,143 DEBUG                  - depth 0, hash bcc618a, HEAD~2007
2021-07-04 09:00:30,148 DEBUG                  - depth 1, hash ce722d1, HEAD~2125
2021-07-04 09:00:30,440 DEBUG    [single line]   org/mockito/internal/configuration/CaptorAnnotationProcessor.java process 17
2021-07-04 09:00:30,556 DEBUG                  - depth 0, hash 5ea5f32, HEAD~525
2021-07-04 09:00:30,889 DEBUG    [line range] org/mockito/internal/configuration/ClassPathLoader.java <clinit> 63:63
