2021-07-03 20:17:54,646 INFO     Search BICs for /tmp/Codec-17b/
2021-07-03 20:17:54,647 DEBUG    Reading the coverage of org.apache.commons.codec.binary.StringUtilsTest::testNewStringNullInput_CODEC229 (failings)
2021-07-03 20:17:54,647 INFO     Loaded 1x9 Coverage Matrix
2021-07-03 20:17:54,648 INFO     The number of total commits: 1619
2021-07-03 20:17:54,931 DEBUG    [line range] org/apache/commons/codec/Charsets.java <clinit> 101:101
2021-07-03 20:17:54,980 DEBUG                  - depth 0, hash 0dedfd9, HEAD~527
2021-07-03 20:17:54,986 DEBUG                  - depth 1, hash 53db319, HEAD~544
2021-07-03 20:17:54,990 DEBUG                  - depth 2, hash b66d41a, HEAD~566
2021-07-03 20:17:54,994 DEBUG                  - depth 3, hash e4bded9, HEAD~571
2021-07-03 20:17:54,998 DEBUG                  - depth 4, hash 03d62b6, HEAD~582
2021-07-03 20:17:55,002 DEBUG                  - depth 5, hash 1ade8d5, HEAD~604
2021-07-03 20:17:55,006 DEBUG                  - depth 6, hash 5cd45cc, HEAD~605
2021-07-03 20:17:55,010 DEBUG                  - depth 7, hash 0a7bbe2, HEAD~606
2021-07-03 20:17:55,014 DEBUG                  - depth 8, hash 778eb54, HEAD~608
2021-07-03 20:17:55,018 DEBUG                  - depth 9, hash 453c56c, HEAD~628
2021-07-03 20:17:55,346 DEBUG    [line range] org/apache/commons/codec/binary/StringUtils.java newString 292:294
2021-07-03 20:17:55,404 DEBUG                  - depth 0, hash ab1ee1b, HEAD~434
2021-07-03 20:17:55,410 DEBUG                  - depth 1, hash 453c56c, HEAD~628
2021-07-03 20:17:55,414 DEBUG                  - depth 2, hash b3607d8, HEAD~1055
2021-07-03 20:17:55,418 DEBUG                  - depth 3, hash e17d5c5, HEAD~1071
2021-07-03 20:17:55,422 DEBUG                  - depth 4, hash 20a88d9, HEAD~1087
2021-07-03 20:17:55,426 DEBUG                  - depth 5, hash d6ce22b, HEAD~1124
2021-07-03 20:17:55,430 DEBUG                  - depth 6, hash 4d67ff2, HEAD~1125
2021-07-03 20:17:55,435 DEBUG    [line range] org/apache/commons/codec/binary/StringUtils.java newStringIso8859_1 338:340
2021-07-03 20:17:55,492 DEBUG                  - depth 0, hash ab1ee1b, HEAD~434
2021-07-03 20:17:55,498 DEBUG                  - depth 1, hash 453c56c, HEAD~628
2021-07-03 20:17:55,502 DEBUG                  - depth 2, hash 20a88d9, HEAD~1087
2021-07-03 20:17:55,506 DEBUG                  - depth 3, hash a952f09, HEAD~1090
2021-07-03 20:17:55,510 DEBUG                  - depth 4, hash d6ce22b, HEAD~1124
2021-07-03 20:17:55,514 DEBUG                  - depth 5, hash 4d67ff2, HEAD~1125
2021-07-03 20:17:55,518 DEBUG    [line range] org/apache/commons/codec/binary/StringUtils.java newStringUtf8 418:420
2021-07-03 20:17:55,578 DEBUG                  - depth 0, hash ab1ee1b, HEAD~434
2021-07-03 20:17:55,583 DEBUG                  - depth 1, hash 453c56c, HEAD~628
2021-07-03 20:17:55,587 DEBUG                  - depth 2, hash 20a88d9, HEAD~1087
2021-07-03 20:17:55,591 DEBUG                  - depth 3, hash a952f09, HEAD~1090
2021-07-03 20:17:55,595 DEBUG                  - depth 4, hash d6ce22b, HEAD~1124
2021-07-03 20:17:55,599 DEBUG                  - depth 5, hash 4d67ff2, HEAD~1125
2021-07-03 20:17:55,603 INFO     The number of BIC candidates: 17
