2021-07-04 04:56:28,478 INFO     Search BICs for /tmp/JacksonXml-5b/
2021-07-04 04:56:28,478 DEBUG    Reading the coverage of com.fasterxml.jackson.dataformat.xml.MapperCopyTest::testCopyWith (failings)
2021-07-04 04:56:28,500 INFO     Loaded 1x385 Coverage Matrix
2021-07-04 04:56:28,500 INFO     The number of total commits: 762
2021-07-04 04:56:28,830 DEBUG    [line range] com/fasterxml/jackson/dataformat/xml/JacksonXmlAnnotationIntrospector.java <init> 34:36
2021-07-04 04:56:28,855 DEBUG                  - depth 0, hash 4b5c9b7, HEAD~601
2021-07-04 04:56:28,861 DEBUG    [line range] com/fasterxml/jackson/dataformat/xml/JacksonXmlAnnotationIntrospector.java _findXmlName 198:205
2021-07-04 04:56:28,885 DEBUG                  - depth 0, hash ff0bf89, HEAD~606
2021-07-04 04:56:28,890 DEBUG    [line range] com/fasterxml/jackson/dataformat/xml/JacksonXmlAnnotationIntrospector.java findNameForSerialization 147:160
2021-07-04 04:56:28,915 DEBUG                  - depth 0, hash ae52d11, HEAD~498
2021-07-04 04:56:28,921 DEBUG                  - depth 1, hash ff0bf89, HEAD~606
2021-07-04 04:56:28,925 DEBUG                  - depth 2, hash ac97422, HEAD~757
2021-07-04 04:56:28,929 DEBUG    [line range] com/fasterxml/jackson/dataformat/xml/JacksonXmlAnnotationIntrospector.java findNamespace 91:99
2021-07-04 04:56:28,954 DEBUG                  - depth 0, hash 754187e, HEAD~659
2021-07-04 04:56:28,959 DEBUG                  - depth 1, hash 09eec81, HEAD~755
2021-07-04 04:56:28,963 DEBUG                  - depth 2, hash ac97422, HEAD~757
2021-07-04 04:56:28,967 DEBUG    [line range] com/fasterxml/jackson/dataformat/xml/JacksonXmlAnnotationIntrospector.java findRootName 69:83
2021-07-04 04:56:28,992 DEBUG                  - depth 0, hash c95e6bf, HEAD~608
2021-07-04 04:56:28,997 DEBUG                  - depth 1, hash 7343f94, HEAD~609
2021-07-04 04:56:29,001 DEBUG    [line range] com/fasterxml/jackson/dataformat/xml/JacksonXmlAnnotationIntrospector.java findWrapperName 44:67
2021-07-04 04:56:29,026 DEBUG                  - depth 0, hash 09f05a5, HEAD~600
2021-07-04 04:56:29,031 DEBUG                  - depth 1, hash 4b5c9b7, HEAD~601
2021-07-04 04:56:29,035 DEBUG                  - depth 2, hash c95e6bf, HEAD~608
2021-07-04 04:56:29,039 DEBUG                  - depth 3, hash 7343f94, HEAD~609
2021-07-04 04:56:29,043 DEBUG    [line range] com/fasterxml/jackson/dataformat/xml/JacksonXmlAnnotationIntrospector.java isOutputAsAttribute 107:115
2021-07-04 04:56:29,068 DEBUG                  - depth 0, hash 754187e, HEAD~659
2021-07-04 04:56:29,073 DEBUG    [line range] com/fasterxml/jackson/dataformat/xml/JacksonXmlAnnotationIntrospector.java isOutputAsCData 127:134
2021-07-04 04:56:29,097 DEBUG                  - depth 0, hash edf7a8b, HEAD~347
2021-07-04 04:56:29,102 DEBUG    [line range] com/fasterxml/jackson/dataformat/xml/JacksonXmlAnnotationIntrospector.java isOutputAsText 117:125
2021-07-04 04:56:29,127 DEBUG                  - depth 0, hash 2b21a9e, HEAD~526
2021-07-04 04:56:29,133 DEBUG                  - depth 1, hash 754187e, HEAD~659
2021-07-04 04:56:29,431 DEBUG    [line range] com/fasterxml/jackson/dataformat/xml/JacksonXmlModule.java <init> 31:31
2021-07-04 04:56:29,455 DEBUG                  - depth 0, hash 75e1bac, HEAD~597
2021-07-04 04:56:29,460 DEBUG                  - depth 1, hash 4b5c9b7, HEAD~601
2021-07-04 04:56:29,464 DEBUG                  - depth 2, hash 76f1154, HEAD~700
2021-07-04 04:56:29,468 DEBUG                  - depth 3, hash 6e8939a, HEAD~747
2021-07-04 04:56:29,473 DEBUG    [line range] com/fasterxml/jackson/dataformat/xml/JacksonXmlModule.java _constructIntrospector 125:127
2021-07-04 04:56:29,496 DEBUG                  - depth 0, hash faa84af, HEAD~350
2021-07-04 04:56:29,501 DEBUG                  - depth 1, hash 75e1bac, HEAD~597
2021-07-04 04:56:29,505 DEBUG    [line range] com/fasterxml/jackson/dataformat/xml/JacksonXmlModule.java setupModule 57:76
2021-07-04 04:56:29,529 DEBUG                  - depth 0, hash 656e965, HEAD~17
2021-07-04 04:56:29,535 DEBUG                  - depth 1, hash a118918, HEAD~561
2021-07-04 04:56:29,539 DEBUG                  - depth 2, hash 3bb8b8a, HEAD~574
2021-07-04 04:56:29,543 DEBUG                  - depth 3, hash 75e1bac, HEAD~597
2021-07-04 04:56:29,547 DEBUG                  - depth 4, hash e88829a, HEAD~669
2021-07-04 04:56:29,551 DEBUG                  - depth 5, hash 3800d1a, HEAD~739
2021-07-04 04:56:29,555 DEBUG                  - depth 6, hash eb0d220, HEAD~742
2021-07-04 04:56:29,559 DEBUG                  - depth 7, hash 6e8939a, HEAD~747
2021-07-04 04:56:29,835 DEBUG    [line range] com/fasterxml/jackson/dataformat/xml/PackageVersion.java <clinit> 13:14
2021-07-04 04:56:30,265 DEBUG    [line range] com/fasterxml/jackson/dataformat/xml/XmlFactory.java <clinit> 43:43
2021-07-04 04:56:30,293 DEBUG                  - depth 0, hash ac97422, HEAD~757
2021-07-04 04:56:30,298 DEBUG    [line range] com/fasterxml/jackson/dataformat/xml/XmlFactory.java <init> 84:84
2021-07-04 04:56:30,326 DEBUG                  - depth 0, hash bf64350, HEAD~375
2021-07-04 04:56:30,332 DEBUG                  - depth 1, hash ac97422, HEAD~757
