2021-07-03 20:49:26,646 INFO     Search BICs for /tmp/Csv-3b/
2021-07-03 20:49:26,646 DEBUG    Reading the coverage of org.apache.commons.csv.CSVParserTest::testBackslashEscaping (failings)
2021-07-03 20:49:26,653 DEBUG    Reading the coverage of org.apache.commons.csv.CSVLexerTest::testEscapedMySqlNullValue (failings)
2021-07-03 20:49:26,658 DEBUG    Reading the coverage of org.apache.commons.csv.CSVLexerTest::testEscapedCharacter (failings)
2021-07-03 20:49:26,663 INFO     Loaded 3x221 Coverage Matrix
2021-07-03 20:49:26,663 INFO     The number of total commits: 586
2021-07-03 20:49:27,065 DEBUG    [line range] org/apache/commons/csv/CSVFormat.java <clinit> 468:471
2021-07-03 20:49:27,095 DEBUG                  - depth 0, hash 60cc83a, HEAD~16
2021-07-03 20:49:27,101 DEBUG                  - depth 1, hash 50e2719, HEAD~207
2021-07-03 20:49:27,105 DEBUG                  - depth 2, hash 42476f4, HEAD~448
2021-07-03 20:49:27,109 DEBUG                  - depth 3, hash 1166ca6, HEAD~459
2021-07-03 20:49:27,113 DEBUG                  - depth 4, hash eac54a2, HEAD~564
2021-07-03 20:49:27,118 DEBUG    [line range] org/apache/commons/csv/CSVFormat.java <init> 598:616
2021-07-03 20:49:27,143 DEBUG                  - depth 0, hash 75b9a4b, HEAD~15
2021-07-03 20:49:27,148 DEBUG                  - depth 1, hash 60cc83a, HEAD~16
2021-07-03 20:49:27,153 DEBUG                  - depth 2, hash db11c04, HEAD~106
2021-07-03 20:49:27,157 DEBUG                  - depth 3, hash 6a34b82, HEAD~116
2021-07-03 20:49:27,161 DEBUG                  - depth 4, hash 0030e1a, HEAD~168
2021-07-03 20:49:27,165 DEBUG    [line range] org/apache/commons/csv/CSVFormat.java getCommentStart 700:702
2021-07-03 20:49:27,189 DEBUG                  - depth 0, hash 60cc83a, HEAD~16
2021-07-03 20:49:27,194 DEBUG                  - depth 1, hash 9bafed6, HEAD~69
2021-07-03 20:49:27,198 DEBUG                  - depth 2, hash e28d4e9, HEAD~74
2021-07-03 20:49:27,203 DEBUG                  - depth 3, hash 2018c0c, HEAD~83
2021-07-03 20:49:27,207 DEBUG                  - depth 4, hash 5e0e770, HEAD~84
2021-07-03 20:49:27,211 DEBUG                  - depth 5, hash 71a6570, HEAD~100
2021-07-03 20:49:27,215 DEBUG                  - depth 6, hash 713e9c5, HEAD~104
2021-07-03 20:49:27,219 DEBUG                  - depth 7, hash db11c04, HEAD~106
2021-07-03 20:49:27,223 DEBUG                  - depth 8, hash 0383fd5, HEAD~112
2021-07-03 20:49:27,227 DEBUG                  - depth 9, hash 68352ee, HEAD~113
2021-07-03 20:49:27,231 DEBUG                  - depth 10, hash 6a34b82, HEAD~116
2021-07-03 20:49:27,235 DEBUG    [line range] org/apache/commons/csv/CSVFormat.java getDelimiter 709:711
2021-07-03 20:49:27,259 DEBUG                  - depth 0, hash 60cc83a, HEAD~16
2021-07-03 20:49:27,264 DEBUG                  - depth 1, hash 759596a, HEAD~27
2021-07-03 20:49:27,268 DEBUG                  - depth 2, hash d10442b, HEAD~37
2021-07-03 20:49:27,272 DEBUG                  - depth 3, hash df08aca, HEAD~45
2021-07-03 20:49:27,276 DEBUG                  - depth 4, hash 6a34b82, HEAD~116
2021-07-03 20:49:27,281 DEBUG    [line range] org/apache/commons/csv/CSVFormat.java getEscape 718:720
2021-07-03 20:49:27,305 DEBUG                  - depth 0, hash 60cc83a, HEAD~16
2021-07-03 20:49:27,310 DEBUG                  - depth 1, hash df08aca, HEAD~45
2021-07-03 20:49:27,314 DEBUG                  - depth 2, hash 961cce2, HEAD~81
2021-07-03 20:49:27,318 DEBUG                  - depth 3, hash db11c04, HEAD~106
2021-07-03 20:49:27,322 DEBUG                  - depth 4, hash 6a34b82, HEAD~116
2021-07-03 20:49:27,326 DEBUG    [line range] org/apache/commons/csv/CSVFormat.java getHeader 722:724
2021-07-03 20:49:27,350 DEBUG                  - depth 0, hash 60cc83a, HEAD~16
2021-07-03 20:49:27,356 DEBUG                  - depth 1, hash 961cce2, HEAD~81
2021-07-03 20:49:27,360 DEBUG                  - depth 2, hash 6a34b82, HEAD~116
2021-07-03 20:49:27,364 DEBUG    [line range] org/apache/commons/csv/CSVFormat.java getIgnoreEmptyLines 732:734
2021-07-03 20:49:27,388 DEBUG                  - depth 0, hash 60cc83a, HEAD~16
2021-07-03 20:49:27,393 DEBUG                  - depth 1, hash 961cce2, HEAD~81
2021-07-03 20:49:27,398 DEBUG                  - depth 2, hash db11c04, HEAD~106
2021-07-03 20:49:27,402 DEBUG                  - depth 3, hash 6a34b82, HEAD~116
2021-07-03 20:49:27,406 DEBUG    [line range] org/apache/commons/csv/CSVFormat.java getIgnoreSurroundingSpaces 742:744
2021-07-03 20:49:27,431 DEBUG                  - depth 0, hash 60cc83a, HEAD~16
2021-07-03 20:49:27,436 DEBUG                  - depth 1, hash 961cce2, HEAD~81
2021-07-03 20:49:27,440 DEBUG                  - depth 2, hash db11c04, HEAD~106
2021-07-03 20:49:27,444 DEBUG                  - depth 3, hash 6a34b82, HEAD~116
2021-07-03 20:49:27,448 DEBUG    [line range] org/apache/commons/csv/CSVFormat.java getQuoteChar 760:762
2021-07-03 20:49:27,473 DEBUG                  - depth 0, hash 60cc83a, HEAD~16
2021-07-03 20:49:27,478 DEBUG                  - depth 1, hash 961cce2, HEAD~81
2021-07-03 20:49:27,482 DEBUG                  - depth 2, hash 6a34b82, HEAD~116
2021-07-03 20:49:27,486 DEBUG    [line range] org/apache/commons/csv/CSVFormat.java isLineBreak 545:547
2021-07-03 20:49:27,517 DEBUG                  - depth 0, hash 60cc83a, HEAD~16
2021-07-03 20:49:27,522 DEBUG                  - depth 1, hash 6a34b82, HEAD~116
2021-07-03 20:49:27,526 DEBUG                  - depth 2, hash 73ec29f, HEAD~122
2021-07-03 20:49:27,530 DEBUG                  - depth 3, hash 53f15f4, HEAD~162
2021-07-03 20:49:27,534 DEBUG                  - depth 4, hash 6e57364, HEAD~167
