2021-07-03 20:51:55,078 INFO     Search BICs for /tmp/Csv-12b/
2021-07-03 20:51:55,078 DEBUG    Reading the coverage of org.apache.commons.csv.CSVParserTest::testExcelHeaderCountLessThanData (failings)
2021-07-03 20:51:55,085 INFO     Loaded 1x194 Coverage Matrix
2021-07-03 20:51:55,085 INFO     The number of total commits: 885
2021-07-03 20:51:55,373 DEBUG    [line range] org/apache/commons/csv/Assertions.java notNull 31:35
2021-07-03 20:51:55,398 DEBUG                  - depth 0, hash 5941149, HEAD~145
2021-07-03 20:51:55,404 DEBUG                  - depth 1, hash 724c88d, HEAD~186
2021-07-03 20:51:55,408 DEBUG                  - depth 2, hash a2fef00, HEAD~188
2021-07-03 20:51:55,804 DEBUG    [line range] org/apache/commons/csv/CSVFormat.java <clinit> 175:176
2021-07-03 20:51:55,849 DEBUG                  - depth 0, hash 99c3819, HEAD~78
2021-07-03 20:51:55,854 DEBUG                  - depth 1, hash 5db1a2c, HEAD~195
2021-07-03 20:51:55,858 DEBUG                  - depth 2, hash 97d3457, HEAD~250
2021-07-03 20:51:55,862 DEBUG                  - depth 3, hash 75f39a8, HEAD~262
2021-07-03 20:51:55,866 DEBUG                  - depth 4, hash 60cc83a, HEAD~315
2021-07-03 20:51:55,870 DEBUG                  - depth 5, hash 50e2719, HEAD~506
2021-07-03 20:51:55,874 DEBUG                  - depth 6, hash 42476f4, HEAD~747
2021-07-03 20:51:55,879 DEBUG                  - depth 7, hash 1166ca6, HEAD~758
2021-07-03 20:51:55,883 DEBUG                  - depth 8, hash eac54a2, HEAD~863
2021-07-03 20:51:55,887 DEBUG    [line range] org/apache/commons/csv/CSVFormat.java <init> 339:372
2021-07-03 20:51:55,929 DEBUG                  - depth 0, hash 67d150a, HEAD~21
2021-07-03 20:51:55,934 DEBUG                  - depth 1, hash f9a3162, HEAD~22
2021-07-03 20:51:55,938 DEBUG                  - depth 2, hash a72c71f, HEAD~23
2021-07-03 20:51:55,942 DEBUG                  - depth 3, hash aa0762d, HEAD~25
2021-07-03 20:51:55,946 DEBUG                  - depth 4, hash 3cd5067, HEAD~59
2021-07-03 20:51:55,950 DEBUG                  - depth 5, hash c1049b5, HEAD~67
2021-07-03 20:51:55,955 DEBUG                  - depth 6, hash cdbb1cd, HEAD~71
2021-07-03 20:51:55,959 DEBUG                  - depth 7, hash fa116dd, HEAD~72
2021-07-03 20:51:55,963 DEBUG                  - depth 8, hash 1fa12a6, HEAD~73
2021-07-03 20:51:55,967 DEBUG                  - depth 9, hash 4b2a4ca, HEAD~74
2021-07-03 20:51:55,971 DEBUG                  - depth 10, hash 99c3819, HEAD~78
2021-07-03 20:51:55,975 DEBUG                  - depth 11, hash 16b175b, HEAD~86
2021-07-03 20:51:55,979 DEBUG                  - depth 12, hash 35d101c, HEAD~88
2021-07-03 20:51:55,983 DEBUG                  - depth 13, hash 692a1e3, HEAD~89
2021-07-03 20:51:55,987 DEBUG                  - depth 14, hash 5941149, HEAD~145
2021-07-03 20:51:55,991 DEBUG                  - depth 15, hash 97d3457, HEAD~250
2021-07-03 20:51:55,996 DEBUG                  - depth 16, hash 5a0894f, HEAD~274
2021-07-03 20:51:56,000 DEBUG                  - depth 17, hash ab2e7eb, HEAD~278
2021-07-03 20:51:56,004 DEBUG                  - depth 18, hash 75b9a4b, HEAD~314
2021-07-03 20:51:56,008 DEBUG                  - depth 19, hash 60cc83a, HEAD~315
2021-07-03 20:51:56,012 DEBUG                  - depth 20, hash db11c04, HEAD~405
2021-07-03 20:51:56,016 DEBUG                  - depth 21, hash 6a34b82, HEAD~415
2021-07-03 20:51:56,020 DEBUG                  - depth 22, hash 0030e1a, HEAD~467
2021-07-03 20:51:56,025 DEBUG    [line range] org/apache/commons/csv/CSVFormat.java getAllowMissingColumnNames 503:505
2021-07-03 20:51:56,055 DEBUG                  - depth 0, hash 4695d73, HEAD~24
2021-07-03 20:51:56,061 DEBUG                  - depth 1, hash aa0762d, HEAD~25
2021-07-03 20:51:56,065 DEBUG                  - depth 2, hash f51f898, HEAD~41
2021-07-03 20:51:56,069 DEBUG                  - depth 3, hash 99c3819, HEAD~78
2021-07-03 20:51:56,073 DEBUG    [line range] org/apache/commons/csv/CSVFormat.java getCommentMarker 466:468
2021-07-03 20:51:56,114 DEBUG                  - depth 0, hash 67d150a, HEAD~21
2021-07-03 20:51:56,119 DEBUG                  - depth 1, hash f9a3162, HEAD~22
2021-07-03 20:51:56,123 DEBUG                  - depth 2, hash 60cc83a, HEAD~315
2021-07-03 20:51:56,127 DEBUG                  - depth 3, hash 9bafed6, HEAD~368
2021-07-03 20:51:56,132 DEBUG                  - depth 4, hash e28d4e9, HEAD~373
2021-07-03 20:51:56,136 DEBUG                  - depth 5, hash 2018c0c, HEAD~382
2021-07-03 20:51:56,140 DEBUG                  - depth 6, hash 5e0e770, HEAD~383
2021-07-03 20:51:56,144 DEBUG                  - depth 7, hash 71a6570, HEAD~399
2021-07-03 20:51:56,148 DEBUG                  - depth 8, hash 713e9c5, HEAD~403
2021-07-03 20:51:56,152 DEBUG                  - depth 9, hash db11c04, HEAD~405
2021-07-03 20:51:56,156 DEBUG                  - depth 10, hash 0383fd5, HEAD~411
2021-07-03 20:51:56,160 DEBUG                  - depth 11, hash 68352ee, HEAD~412
2021-07-03 20:51:56,164 DEBUG                  - depth 12, hash 6a34b82, HEAD~415
2021-07-03 20:51:56,169 DEBUG    [line range] org/apache/commons/csv/CSVFormat.java getDelimiter 475:477
2021-07-03 20:51:56,208 DEBUG                  - depth 0, hash 60cc83a, HEAD~315
2021-07-03 20:51:56,214 DEBUG                  - depth 1, hash 759596a, HEAD~326
2021-07-03 20:51:56,218 DEBUG                  - depth 2, hash d10442b, HEAD~336
2021-07-03 20:51:56,222 DEBUG                  - depth 3, hash df08aca, HEAD~344
2021-07-03 20:51:56,226 DEBUG                  - depth 4, hash 6a34b82, HEAD~415
2021-07-03 20:51:56,230 DEBUG    [line range] org/apache/commons/csv/CSVFormat.java getEscapeCharacter 484:486
2021-07-03 20:51:56,270 DEBUG                  - depth 0, hash f9a3162, HEAD~22
2021-07-03 20:51:56,275 DEBUG                  - depth 1, hash 60cc83a, HEAD~315
2021-07-03 20:51:56,279 DEBUG                  - depth 2, hash df08aca, HEAD~344
2021-07-03 20:51:56,284 DEBUG                  - depth 3, hash 961cce2, HEAD~380
2021-07-03 20:51:56,288 DEBUG                  - depth 4, hash db11c04, HEAD~405
2021-07-03 20:51:56,292 DEBUG                  - depth 5, hash 6a34b82, HEAD~415
2021-07-03 20:51:56,296 DEBUG    [line range] org/apache/commons/csv/CSVFormat.java getHeader 493:495
2021-07-03 20:51:56,336 DEBUG                  - depth 0, hash 390800f, HEAD~255
2021-07-03 20:51:56,341 DEBUG                  - depth 1, hash 60cc83a, HEAD~315
2021-07-03 20:51:56,345 DEBUG                  - depth 2, hash 961cce2, HEAD~380
2021-07-03 20:51:56,349 DEBUG                  - depth 3, hash 6a34b82, HEAD~415
2021-07-03 20:51:56,353 DEBUG    [line range] org/apache/commons/csv/CSVFormat.java getIgnoreEmptyLines 513:515
2021-07-03 20:51:56,393 DEBUG                  - depth 0, hash 4695d73, HEAD~24
2021-07-03 20:51:56,398 DEBUG                  - depth 1, hash f51f898, HEAD~41
2021-07-03 20:51:56,403 DEBUG                  - depth 2, hash 60cc83a, HEAD~315
2021-07-03 20:51:56,407 DEBUG                  - depth 3, hash 961cce2, HEAD~380
2021-07-03 20:51:56,411 DEBUG                  - depth 4, hash db11c04, HEAD~405
