2021-07-04 09:35:05,352 INFO     Search BICs for /tmp/Mockito-24b/
2021-07-04 09:35:05,352 DEBUG    Reading the coverage of org.mockitousage.bugs.ShouldMocksCompareToBeConsistentWithEqualsTest::should_compare_to_be_consistent_with_equals_when_comparing_the_same_reference (failings)
2021-07-04 09:35:05,383 DEBUG    Reading the coverage of org.mockito.internal.stubbing.defaultanswers.ReturnsEmptyValuesTest::should_return_zero_if_mock_is_compared_to_itself (failings)
2021-07-04 09:35:05,415 INFO     Loaded 2x679 Coverage Matrix
2021-07-04 09:35:05,415 INFO     The number of total commits: 1939
2021-07-04 09:35:05,701 DEBUG    [single line]   org/mockito/Answers.java <clinit> 25
2021-07-04 09:35:05,811 DEBUG                  - depth 0, hash 77fea3d, HEAD~582
2021-07-04 09:35:05,817 DEBUG    [single line]   org/mockito/Answers.java <clinit> 34
2021-07-04 09:35:05,931 DEBUG                  - depth 0, hash 77fea3d, HEAD~582
2021-07-04 09:35:05,936 DEBUG    [single line]   org/mockito/Answers.java <clinit> 43
2021-07-04 09:35:06,046 DEBUG                  - depth 0, hash 77fea3d, HEAD~582
2021-07-04 09:35:06,051 DEBUG    [single line]   org/mockito/Answers.java <clinit> 52
2021-07-04 09:35:06,164 DEBUG                  - depth 0, hash 77fea3d, HEAD~582
2021-07-04 09:35:06,170 DEBUG    [single line]   org/mockito/Answers.java <clinit> 62
2021-07-04 09:35:06,279 DEBUG                  - depth 0, hash 77fea3d, HEAD~582
2021-07-04 09:35:06,284 DEBUG    [single line]   org/mockito/Answers.java <clinit> 71
2021-07-04 09:35:06,394 DEBUG                  - depth 0, hash 77fea3d, HEAD~582
2021-07-04 09:35:06,400 DEBUG    [line range] org/mockito/Answers.java <init> 76:78
2021-07-04 09:35:06,511 DEBUG                  - depth 0, hash 77fea3d, HEAD~582
2021-07-04 09:35:06,516 DEBUG    [line range] org/mockito/Answers.java get 80:82
2021-07-04 09:35:06,626 DEBUG                  - depth 0, hash 77fea3d, HEAD~582
2021-07-04 09:35:06,912 DEBUG    [single line]   org/mockito/ArgumentMatcher.java <init> 60
2021-07-04 09:35:07,024 DEBUG                  - depth 0, hash 1532827, HEAD~684
2021-07-04 09:35:07,029 DEBUG                  - depth 1, hash cbc530c, HEAD~773
2021-07-04 09:35:07,034 DEBUG                  - depth 2, hash bf4eec3, HEAD~1611
2021-07-04 09:35:07,428 DEBUG    [line range] org/mockito/Matchers.java <clinit> 107:107
2021-07-04 09:35:07,552 DEBUG                  - depth 0, hash d94c8c1, HEAD~1075
2021-07-04 09:35:07,557 DEBUG                  - depth 1, hash 7035637, HEAD~1132
2021-07-04 09:35:07,561 DEBUG                  - depth 2, hash 863efe6, HEAD~1151
2021-07-04 09:35:07,565 DEBUG                  - depth 3, hash 6d73019, HEAD~1171
2021-07-04 09:35:07,569 DEBUG                  - depth 4, hash affa89d, HEAD~1172
2021-07-04 09:35:07,573 DEBUG                  - depth 5, hash e6759cc, HEAD~1253
2021-07-04 09:35:07,577 DEBUG                  - depth 6, hash 63fbcc7, HEAD~1254
2021-07-04 09:35:07,582 DEBUG                  - depth 7, hash 9d1a555, HEAD~1295
2021-07-04 09:35:07,586 DEBUG                  - depth 8, hash 97194a6, HEAD~1325
2021-07-04 09:35:07,590 DEBUG                  - depth 9, hash eb1110e, HEAD~1352
2021-07-04 09:35:07,594 DEBUG                  - depth 10, hash b0c3487, HEAD~1382
2021-07-04 09:35:07,598 DEBUG                  - depth 11, hash e71e3d3, HEAD~1413
2021-07-04 09:35:07,602 DEBUG                  - depth 12, hash b29cc4b, HEAD~1418
2021-07-04 09:35:07,606 DEBUG                  - depth 13, hash a56149b, HEAD~1426
2021-07-04 09:35:07,610 DEBUG                  - depth 14, hash 56b3503, HEAD~1430
2021-07-04 09:35:07,614 DEBUG                  - depth 15, hash a0e3112, HEAD~1521
2021-07-04 09:35:07,618 DEBUG                  - depth 16, hash f123fe1, HEAD~1529
2021-07-04 09:35:07,623 DEBUG                  - depth 17, hash 03444ce, HEAD~1536
2021-07-04 09:35:07,627 DEBUG                  - depth 18, hash 4f7f2f1, HEAD~1538
