2021-07-03 20:56:30,758 INFO     Search BICs for /tmp/Gson-6b/
2021-07-03 20:56:30,758 DEBUG    Reading the coverage of com.google.gson.regression.JsonAdapterNullSafeTest::testNullSafeBugDeserialize (failings)
2021-07-03 20:56:30,788 DEBUG    Reading the coverage of com.google.gson.regression.JsonAdapterNullSafeTest::testNullSafeBugSerialize (failings)
2021-07-03 20:56:30,819 INFO     Loaded 2x459 Coverage Matrix
2021-07-03 20:56:30,819 INFO     The number of total commits: 1208
2021-07-03 20:56:31,118 DEBUG    [single line]   com/google/gson/FieldNamingPolicy.java <clinit> 31
2021-07-03 20:56:31,167 DEBUG                  - depth 0, hash f89e92a, HEAD~459
2021-07-03 20:56:31,172 DEBUG                  - depth 1, hash 57d1f32, HEAD~1207
2021-07-03 20:56:31,177 DEBUG    [single line]   com/google/gson/FieldNamingPolicy.java <clinit> 37
2021-07-03 20:56:31,224 DEBUG                  - depth 0, hash f89e92a, HEAD~459
2021-07-03 20:56:31,229 DEBUG                  - depth 1, hash 57d1f32, HEAD~1207
2021-07-03 20:56:31,233 DEBUG    [single line]   com/google/gson/FieldNamingPolicy.java <clinit> 53
2021-07-03 20:56:31,282 DEBUG                  - depth 0, hash f89e92a, HEAD~459
2021-07-03 20:56:31,287 DEBUG                  - depth 1, hash 57d1f32, HEAD~1207
2021-07-03 20:56:31,291 DEBUG    [single line]   com/google/gson/FieldNamingPolicy.java <clinit> 72
2021-07-03 20:56:31,340 DEBUG                  - depth 0, hash f89e92a, HEAD~459
2021-07-03 20:56:31,345 DEBUG                  - depth 1, hash ba01548, HEAD~924
2021-07-03 20:56:31,349 DEBUG    [single line]   com/google/gson/FieldNamingPolicy.java <clinit> 90
2021-07-03 20:56:31,398 DEBUG                  - depth 0, hash f89e92a, HEAD~459
2021-07-03 20:56:31,404 DEBUG                  - depth 1, hash ad4ff69, HEAD~1005
2021-07-03 20:56:31,408 DEBUG                  - depth 2, hash 57d1f32, HEAD~1207
2021-07-03 20:56:31,412 DEBUG    [single line]   com/google/gson/FieldNamingPolicy.java <clinit> 113
2021-07-03 20:56:31,461 DEBUG                  - depth 0, hash f89e92a, HEAD~459
2021-07-03 20:56:31,466 DEBUG                  - depth 1, hash ad4ff69, HEAD~1005
2021-07-03 20:56:31,470 DEBUG                  - depth 2, hash 57d1f32, HEAD~1207
2021-07-03 20:56:31,475 DEBUG    [single line]   com/google/gson/FieldNamingPolicy.java <init> 37
2021-07-03 20:56:31,522 DEBUG                  - depth 0, hash f89e92a, HEAD~459
2021-07-03 20:56:31,528 DEBUG                  - depth 1, hash 57d1f32, HEAD~1207
2021-07-03 20:56:31,532 DEBUG    [single line]   com/google/gson/FieldNamingPolicy.java <init> 53
2021-07-03 20:56:31,581 DEBUG                  - depth 0, hash f89e92a, HEAD~459
2021-07-03 20:56:31,586 DEBUG                  - depth 1, hash 57d1f32, HEAD~1207
2021-07-03 20:56:31,590 DEBUG    [single line]   com/google/gson/FieldNamingPolicy.java <init> 72
2021-07-03 20:56:31,639 DEBUG                  - depth 0, hash f89e92a, HEAD~459
2021-07-03 20:56:31,644 DEBUG                  - depth 1, hash ba01548, HEAD~924
2021-07-03 20:56:31,648 DEBUG    [single line]   com/google/gson/FieldNamingPolicy.java <init> 90
2021-07-03 20:56:31,697 DEBUG                  - depth 0, hash f89e92a, HEAD~459
2021-07-03 20:56:31,702 DEBUG                  - depth 1, hash ad4ff69, HEAD~1005
2021-07-03 20:56:31,706 DEBUG                  - depth 2, hash 57d1f32, HEAD~1207
2021-07-03 20:56:31,711 DEBUG    [single line]   com/google/gson/FieldNamingPolicy.java <init> 113
2021-07-03 20:56:31,758 DEBUG                  - depth 0, hash f89e92a, HEAD~459
2021-07-03 20:56:31,763 DEBUG                  - depth 1, hash ad4ff69, HEAD~1005
2021-07-03 20:56:31,767 DEBUG                  - depth 2, hash 57d1f32, HEAD~1207
2021-07-03 20:56:32,195 DEBUG    [line range] com/google/gson/Gson.java <init> 185:191
2021-07-03 20:56:32,263 DEBUG                  - depth 0, hash 3360c93, HEAD~26
2021-07-03 20:56:32,268 DEBUG                  - depth 1, hash d7fbac0, HEAD~398
2021-07-03 20:56:32,272 DEBUG                  - depth 2, hash 1794182, HEAD~448
2021-07-03 20:56:32,277 DEBUG                  - depth 3, hash aa2f61b, HEAD~452
2021-07-03 20:56:32,281 DEBUG                  - depth 4, hash f89e92a, HEAD~459
2021-07-03 20:56:32,285 DEBUG                  - depth 5, hash d3f927e, HEAD~510
2021-07-03 20:56:32,289 DEBUG                  - depth 6, hash 46e65a7, HEAD~526
2021-07-03 20:56:32,293 DEBUG                  - depth 7, hash c71e61c, HEAD~544
2021-07-03 20:56:32,297 DEBUG                  - depth 8, hash a98d6ea, HEAD~550
2021-07-03 20:56:32,301 DEBUG                  - depth 9, hash 25c6ae1, HEAD~552
2021-07-03 20:56:32,306 DEBUG                  - depth 10, hash aa06705, HEAD~595
2021-07-03 20:56:32,310 DEBUG                  - depth 11, hash 114633f, HEAD~763
2021-07-03 20:56:32,314 DEBUG                  - depth 12, hash b883f8f, HEAD~771
2021-07-03 20:56:32,318 DEBUG                  - depth 13, hash 2b9f81e, HEAD~772
2021-07-03 20:56:32,322 DEBUG                  - depth 14, hash dea7ab8, HEAD~850
2021-07-03 20:56:32,326 DEBUG                  - depth 15, hash 2b1f3ee, HEAD~879
2021-07-03 20:56:32,330 DEBUG                  - depth 16, hash 747e3c3, HEAD~885
2021-07-03 20:56:32,334 DEBUG                  - depth 17, hash 839b0c2, HEAD~980
2021-07-03 20:56:32,339 DEBUG                  - depth 18, hash 6d50bce, HEAD~1033
2021-07-03 20:56:32,343 DEBUG                  - depth 19, hash b2b2e5d, HEAD~1059
2021-07-03 20:56:32,347 DEBUG                  - depth 20, hash 764e4d9, HEAD~1076
2021-07-03 20:56:32,351 DEBUG                  - depth 21, hash 458f2ba, HEAD~1099
2021-07-03 20:56:32,355 DEBUG                  - depth 22, hash 51881c7, HEAD~1106
2021-07-03 20:56:32,359 DEBUG                  - depth 23, hash cf2a457, HEAD~1150
2021-07-03 20:56:32,364 DEBUG                  - depth 24, hash cc90a68, HEAD~1165
2021-07-03 20:56:32,368 DEBUG                  - depth 25, hash 9dfa454, HEAD~1171
2021-07-03 20:56:32,372 DEBUG                  - depth 26, hash 57d1f32, HEAD~1207
2021-07-03 20:56:32,376 DEBUG    [line range] com/google/gson/Gson.java <init> 120:121
2021-07-03 20:56:32,430 DEBUG                  - depth 0, hash 1e18dce, HEAD~282
2021-07-03 20:56:32,436 DEBUG                  - depth 1, hash 7e76014, HEAD~467
2021-07-03 20:56:32,441 DEBUG    [line range] com/google/gson/Gson.java atomicLongAdapter 345:355
2021-07-03 20:56:32,488 DEBUG                  - depth 0, hash cc54e4d, HEAD~84
2021-07-03 20:56:32,494 DEBUG                  - depth 1, hash 7821b73, HEAD~85
2021-07-03 20:56:32,498 DEBUG    [line range] com/google/gson/Gson.java atomicLongArrayAdapter 357:382
2021-07-03 20:56:32,546 DEBUG                  - depth 0, hash 11b26b5, HEAD~82
2021-07-03 20:56:32,551 DEBUG    [line range] com/google/gson/Gson.java doubleAdapter 267:289
2021-07-03 20:56:32,611 DEBUG                  - depth 0, hash f602bce, HEAD~433
2021-07-03 20:56:32,616 DEBUG                  - depth 1, hash bc68d72, HEAD~444
