2021-07-03 20:35:40,783 INFO     Search BICs for /tmp/Compress-28b/
2021-07-03 20:35:40,784 DEBUG    Reading the coverage of org.apache.commons.compress.archivers.tar.TarArchiveInputStreamTest::shouldThrowAnExceptionOnTruncatedEntries (failings)
2021-07-03 20:35:40,793 INFO     Loaded 1x271 Coverage Matrix
2021-07-03 20:35:40,794 INFO     The number of total commits: 1523
2021-07-03 20:35:41,099 DEBUG    [single line]   org/apache/commons/compress/archivers/ArchiveInputStream.java <init> 40
2021-07-03 20:35:41,177 DEBUG                  - depth 0, hash ca16539, HEAD~1410
2021-07-03 20:35:41,183 DEBUG    [line range] org/apache/commons/compress/archivers/ArchiveInputStream.java <init> 42:42
2021-07-03 20:35:41,234 DEBUG                  - depth 0, hash 2a207ec, HEAD~392
2021-07-03 20:35:41,240 DEBUG                  - depth 1, hash 253196a, HEAD~1174
2021-07-03 20:35:41,244 DEBUG    [line range] org/apache/commons/compress/archivers/ArchiveInputStream.java count 91:93
2021-07-03 20:35:41,295 DEBUG                  - depth 0, hash 2dca661, HEAD~954
2021-07-03 20:35:41,300 DEBUG                  - depth 1, hash 4bce1fb, HEAD~1108
2021-07-03 20:35:41,305 DEBUG    [line range] org/apache/commons/compress/archivers/ArchiveInputStream.java count 102:106
2021-07-03 20:35:41,356 DEBUG                  - depth 0, hash 2dca661, HEAD~954
2021-07-03 20:35:41,361 DEBUG                  - depth 1, hash 4bce1fb, HEAD~1108
2021-07-03 20:35:41,792 DEBUG    [line range] org/apache/commons/compress/archivers/tar/TarArchiveEntry.java <init> 185:194
2021-07-03 20:35:41,852 DEBUG                  - depth 0, hash c0a9923, HEAD~426
2021-07-03 20:35:41,858 DEBUG                  - depth 1, hash 69ceb4e, HEAD~538
2021-07-03 20:35:41,862 DEBUG                  - depth 2, hash 8118f82, HEAD~1128
2021-07-03 20:35:41,866 DEBUG                  - depth 3, hash 1d55670, HEAD~1131
2021-07-03 20:35:41,870 DEBUG                  - depth 4, hash 24f9c9b, HEAD~1133
