2021-07-03 20:14:34,077 INFO     Search BICs for /tmp/Codec-9b/
2021-07-03 20:14:34,077 DEBUG    Reading the coverage of org.apache.commons.codec.binary.Base64Test::testCodec112 (failings)
2021-07-03 20:14:34,080 INFO     Loaded 1x88 Coverage Matrix
2021-07-03 20:14:34,080 INFO     The number of total commits: 657
2021-07-03 20:14:34,512 DEBUG    [line range] org/apache/commons/codec/binary/Base64.java <clinit> 91:91
2021-07-03 20:14:34,542 DEBUG                  - depth 0, hash 9333313, HEAD~165
2021-07-03 20:14:34,547 DEBUG                  - depth 1, hash a8502b5, HEAD~220
2021-07-03 20:14:34,551 DEBUG                  - depth 2, hash 01ca214, HEAD~450
2021-07-03 20:14:34,556 DEBUG                  - depth 3, hash 0e0d475, HEAD~641
2021-07-03 20:14:34,560 DEBUG                  - depth 4, hash 71205dd, HEAD~655
2021-07-03 20:14:34,564 DEBUG    [line range] org/apache/commons/codec/binary/Base64.java <init> 332:351
2021-07-03 20:14:34,594 DEBUG                  - depth 0, hash ffd08a4, HEAD~103
2021-07-03 20:14:34,599 DEBUG                  - depth 1, hash 20a88d9, HEAD~125
2021-07-03 20:14:34,603 DEBUG                  - depth 2, hash 4d67ff2, HEAD~163
2021-07-03 20:14:34,607 DEBUG                  - depth 3, hash 2f7454a, HEAD~196
2021-07-03 20:14:34,611 DEBUG                  - depth 4, hash cad6644, HEAD~211
2021-07-03 20:14:34,615 DEBUG                  - depth 5, hash d3dee54, HEAD~224
2021-07-03 20:14:34,620 DEBUG                  - depth 6, hash ce8a31b, HEAD~233
2021-07-03 20:14:34,624 DEBUG                  - depth 7, hash fa0f64d, HEAD~234
2021-07-03 20:14:34,628 DEBUG                  - depth 8, hash e2df850, HEAD~235
2021-07-03 20:14:34,632 DEBUG                  - depth 9, hash f064899, HEAD~281
2021-07-03 20:14:34,636 DEBUG                  - depth 10, hash 0e0d475, HEAD~641
2021-07-03 20:14:34,640 DEBUG                  - depth 11, hash 71205dd, HEAD~655
2021-07-03 20:14:34,644 DEBUG    [line range] org/apache/commons/codec/binary/Base64.java avail 377:379
2021-07-03 20:14:34,674 DEBUG                  - depth 0, hash 9333313, HEAD~165
2021-07-03 20:14:34,679 DEBUG                  - depth 1, hash 2f7454a, HEAD~196
2021-07-03 20:14:34,683 DEBUG                  - depth 2, hash e2df850, HEAD~235
2021-07-03 20:14:34,687 DEBUG                  - depth 3, hash 0e0d475, HEAD~641
2021-07-03 20:14:34,691 DEBUG                  - depth 4, hash 71205dd, HEAD~655
2021-07-03 20:14:34,695 DEBUG    [line range] org/apache/commons/codec/binary/Base64.java containsBase64Byte 650:657
2021-07-03 20:14:34,721 DEBUG                  - depth 0, hash d3dee54, HEAD~224
2021-07-03 20:14:34,727 DEBUG    [line range] org/apache/commons/codec/binary/Base64.java encode 946:956
2021-07-03 20:14:34,757 DEBUG                  - depth 0, hash 2c13032, HEAD~29
2021-07-03 20:14:34,762 DEBUG                  - depth 1, hash e17d5c5, HEAD~109
2021-07-03 20:14:34,766 DEBUG                  - depth 2, hash 20a88d9, HEAD~125
2021-07-03 20:14:34,770 DEBUG                  - depth 3, hash 2f7454a, HEAD~196
2021-07-03 20:14:34,774 DEBUG                  - depth 4, hash c6812d6, HEAD~462
2021-07-03 20:14:34,778 DEBUG                  - depth 5, hash efed057, HEAD~550
2021-07-03 20:14:34,782 DEBUG                  - depth 6, hash 0e0d475, HEAD~641
2021-07-03 20:14:34,787 DEBUG                  - depth 7, hash 71205dd, HEAD~655
2021-07-03 20:14:34,791 DEBUG    [line range] org/apache/commons/codec/binary/Base64.java encode 437:501
2021-07-03 20:14:34,821 DEBUG                  - depth 0, hash 2c13032, HEAD~29
2021-07-03 20:14:34,826 DEBUG                  - depth 1, hash 9333313, HEAD~165
2021-07-03 20:14:34,830 DEBUG                  - depth 2, hash b8c2d9d, HEAD~195
2021-07-03 20:14:34,834 DEBUG                  - depth 3, hash 2f7454a, HEAD~196
2021-07-03 20:14:34,838 DEBUG                  - depth 4, hash a8502b5, HEAD~220
2021-07-03 20:14:34,842 DEBUG                  - depth 5, hash e2df850, HEAD~235
2021-07-03 20:14:34,847 DEBUG                  - depth 6, hash 0e0d475, HEAD~641
2021-07-03 20:14:34,851 DEBUG                  - depth 7, hash 71205dd, HEAD~655
2021-07-03 20:14:34,855 DEBUG    [line range] org/apache/commons/codec/binary/Base64.java encodeBase64 666:668
2021-07-03 20:14:34,885 DEBUG                  - depth 0, hash c6812d6, HEAD~462
2021-07-03 20:14:34,890 DEBUG                  - depth 1, hash 0e0d475, HEAD~641
2021-07-03 20:14:34,894 DEBUG                  - depth 2, hash 71205dd, HEAD~655
2021-07-03 20:14:34,898 DEBUG    [line range] org/apache/commons/codec/binary/Base64.java encodeBase64 784:786
2021-07-03 20:14:34,928 DEBUG                  - depth 0, hash 2f7454a, HEAD~196
2021-07-03 20:14:34,933 DEBUG                  - depth 1, hash 0e0d475, HEAD~641
2021-07-03 20:14:34,937 DEBUG                  - depth 2, hash 71205dd, HEAD~655
2021-07-03 20:14:34,942 DEBUG    [line range] org/apache/commons/codec/binary/Base64.java encodeBase64 802:804
2021-07-03 20:14:34,967 DEBUG                  - depth 0, hash 7028095, HEAD~147
2021-07-03 20:14:34,972 DEBUG                  - depth 1, hash 2f7454a, HEAD~196
2021-07-03 20:14:34,976 DEBUG    [line range] org/apache/commons/codec/binary/Base64.java encodeBase64 822:837
2021-07-03 20:14:35,006 DEBUG                  - depth 0, hash 00da592, HEAD~62
2021-07-03 20:14:35,011 DEBUG                  - depth 1, hash 20a88d9, HEAD~125
2021-07-03 20:14:35,016 DEBUG                  - depth 2, hash 372c15e, HEAD~141
2021-07-03 20:14:35,020 DEBUG                  - depth 3, hash 7028095, HEAD~147
2021-07-03 20:14:35,024 DEBUG                  - depth 4, hash 165d33f, HEAD~152
2021-07-03 20:14:35,028 DEBUG                  - depth 5, hash 4d67ff2, HEAD~163
2021-07-03 20:14:35,032 DEBUG                  - depth 6, hash 9333313, HEAD~165
2021-07-03 20:14:35,036 DEBUG                  - depth 7, hash 2f7454a, HEAD~196
2021-07-03 20:14:35,040 DEBUG                  - depth 8, hash e2df850, HEAD~235
2021-07-03 20:14:35,044 DEBUG                  - depth 9, hash f5185b0, HEAD~267
2021-07-03 20:14:35,049 DEBUG                  - depth 10, hash 1078329, HEAD~564
2021-07-03 20:14:35,053 DEBUG                  - depth 11, hash 7748f47, HEAD~627
2021-07-03 20:14:35,057 DEBUG                  - depth 12, hash 0e0d475, HEAD~641
2021-07-03 20:14:35,061 DEBUG                  - depth 13, hash 71205dd, HEAD~655
2021-07-03 20:14:35,065 DEBUG    [line range] org/apache/commons/codec/binary/Base64.java getEncodeLength 969:986
2021-07-03 20:14:35,095 DEBUG                  - depth 0, hash ffd08a4, HEAD~103
2021-07-03 20:14:35,100 DEBUG                  - depth 1, hash 20a88d9, HEAD~125
2021-07-03 20:14:35,105 DEBUG                  - depth 2, hash 2f7454a, HEAD~196
2021-07-03 20:14:35,109 DEBUG                  - depth 3, hash c6812d6, HEAD~462
2021-07-03 20:14:35,113 DEBUG                  - depth 4, hash 0e0d475, HEAD~641
2021-07-03 20:14:35,117 DEBUG                  - depth 5, hash 71205dd, HEAD~655
2021-07-03 20:14:35,121 DEBUG    [line range] org/apache/commons/codec/binary/Base64.java isBase64 592:594
2021-07-03 20:14:35,150 DEBUG                  - depth 0, hash 2f7454a, HEAD~196
2021-07-03 20:14:35,155 DEBUG                  - depth 1, hash 5e2c0d1, HEAD~222
2021-07-03 20:14:35,160 DEBUG                  - depth 2, hash d3dee54, HEAD~224
2021-07-03 20:14:35,164 DEBUG                  - depth 3, hash e2df850, HEAD~235
2021-07-03 20:14:35,168 DEBUG                  - depth 4, hash 3e7120c, HEAD~352
2021-07-03 20:14:35,172 DEBUG                  - depth 5, hash 7748f47, HEAD~627
2021-07-03 20:14:35,176 DEBUG                  - depth 6, hash 0e0d475, HEAD~641
2021-07-03 20:14:35,180 DEBUG                  - depth 7, hash 71205dd, HEAD~655
2021-07-03 20:14:35,184 DEBUG    [line range] org/apache/commons/codec/binary/Base64.java readResults 406:417
2021-07-03 20:14:35,214 DEBUG                  - depth 0, hash 2c13032, HEAD~29
2021-07-03 20:14:35,220 DEBUG                  - depth 1, hash 9333313, HEAD~165
2021-07-03 20:14:35,224 DEBUG                  - depth 2, hash 2f7454a, HEAD~196
2021-07-03 20:14:35,228 DEBUG                  - depth 3, hash e2df850, HEAD~235
2021-07-03 20:14:35,232 DEBUG                  - depth 4, hash 0e0d475, HEAD~641
2021-07-03 20:14:35,236 DEBUG                  - depth 5, hash 71205dd, HEAD~655
2021-07-03 20:14:35,240 DEBUG    [line range] org/apache/commons/codec/binary/Base64.java reset 1052:1059
2021-07-03 20:14:35,263 DEBUG                  - depth 0, hash e17d5c5, HEAD~109
2021-07-03 20:14:35,268 DEBUG    [line range] org/apache/commons/codec/binary/Base64.java resizeBuffer 382:392
2021-07-03 20:14:35,298 DEBUG                  - depth 0, hash 9333313, HEAD~165
2021-07-03 20:14:35,304 DEBUG                  - depth 1, hash e2df850, HEAD~235
2021-07-03 20:14:35,308 DEBUG                  - depth 2, hash 0e0d475, HEAD~641
2021-07-03 20:14:35,312 DEBUG                  - depth 3, hash 71205dd, HEAD~655
2021-07-03 20:14:35,316 INFO     The number of BIC candidates: 29
