2021-07-03 20:59:01,215 INFO     Search BICs for /tmp/Gson-11b/
2021-07-03 20:59:01,215 DEBUG    Reading the coverage of com.google.gson.functional.PrimitiveTest::testNumberAsStringDeserialization (failings)
2021-07-03 20:59:01,246 INFO     Loaded 1x390 Coverage Matrix
2021-07-03 20:59:01,246 INFO     The number of total commits: 1312
2021-07-03 20:59:01,568 DEBUG    [single line]   com/google/gson/FieldNamingPolicy.java <clinit> 31
2021-07-03 20:59:01,620 DEBUG                  - depth 0, hash f89e92a, HEAD~563
2021-07-03 20:59:01,625 DEBUG                  - depth 1, hash 57d1f32, HEAD~1311
2021-07-03 20:59:01,629 DEBUG    [single line]   com/google/gson/FieldNamingPolicy.java <clinit> 37
2021-07-03 20:59:01,679 DEBUG                  - depth 0, hash f89e92a, HEAD~563
2021-07-03 20:59:01,684 DEBUG                  - depth 1, hash 57d1f32, HEAD~1311
2021-07-03 20:59:01,688 DEBUG    [single line]   com/google/gson/FieldNamingPolicy.java <clinit> 53
2021-07-03 20:59:01,740 DEBUG                  - depth 0, hash f89e92a, HEAD~563
2021-07-03 20:59:01,745 DEBUG                  - depth 1, hash 57d1f32, HEAD~1311
2021-07-03 20:59:01,749 DEBUG    [single line]   com/google/gson/FieldNamingPolicy.java <clinit> 72
2021-07-03 20:59:01,798 DEBUG                  - depth 0, hash f89e92a, HEAD~563
2021-07-03 20:59:01,804 DEBUG                  - depth 1, hash ba01548, HEAD~1028
2021-07-03 20:59:01,808 DEBUG    [single line]   com/google/gson/FieldNamingPolicy.java <clinit> 90
2021-07-03 20:59:01,858 DEBUG                  - depth 0, hash f89e92a, HEAD~563
2021-07-03 20:59:01,863 DEBUG                  - depth 1, hash ad4ff69, HEAD~1109
2021-07-03 20:59:01,867 DEBUG                  - depth 2, hash 57d1f32, HEAD~1311
2021-07-03 20:59:01,871 DEBUG    [single line]   com/google/gson/FieldNamingPolicy.java <clinit> 113
2021-07-03 20:59:01,921 DEBUG                  - depth 0, hash f89e92a, HEAD~563
2021-07-03 20:59:01,926 DEBUG                  - depth 1, hash ad4ff69, HEAD~1109
2021-07-03 20:59:01,930 DEBUG                  - depth 2, hash 57d1f32, HEAD~1311
2021-07-03 20:59:01,934 DEBUG    [single line]   com/google/gson/FieldNamingPolicy.java <init> 37
2021-07-03 20:59:01,985 DEBUG                  - depth 0, hash f89e92a, HEAD~563
2021-07-03 20:59:01,990 DEBUG                  - depth 1, hash 57d1f32, HEAD~1311
2021-07-03 20:59:01,995 DEBUG    [single line]   com/google/gson/FieldNamingPolicy.java <init> 53
2021-07-03 20:59:02,045 DEBUG                  - depth 0, hash f89e92a, HEAD~563
2021-07-03 20:59:02,050 DEBUG                  - depth 1, hash 57d1f32, HEAD~1311
2021-07-03 20:59:02,054 DEBUG    [single line]   com/google/gson/FieldNamingPolicy.java <init> 72
2021-07-03 20:59:02,103 DEBUG                  - depth 0, hash f89e92a, HEAD~563
2021-07-03 20:59:02,109 DEBUG                  - depth 1, hash ba01548, HEAD~1028
2021-07-03 20:59:02,113 DEBUG    [single line]   com/google/gson/FieldNamingPolicy.java <init> 90
2021-07-03 20:59:02,162 DEBUG                  - depth 0, hash f89e92a, HEAD~563
2021-07-03 20:59:02,168 DEBUG                  - depth 1, hash ad4ff69, HEAD~1109
2021-07-03 20:59:02,172 DEBUG                  - depth 2, hash 57d1f32, HEAD~1311
2021-07-03 20:59:02,176 DEBUG    [single line]   com/google/gson/FieldNamingPolicy.java <init> 113
2021-07-03 20:59:02,226 DEBUG                  - depth 0, hash f89e92a, HEAD~563
2021-07-03 20:59:02,232 DEBUG                  - depth 1, hash ad4ff69, HEAD~1109
2021-07-03 20:59:02,236 DEBUG                  - depth 2, hash 57d1f32, HEAD~1311
2021-07-03 20:59:02,687 DEBUG    [line range] com/google/gson/Gson.java <clinit> 112:112
2021-07-03 20:59:02,738 DEBUG                  - depth 0, hash c561184, HEAD~86
2021-07-03 20:59:02,743 DEBUG    [line range] com/google/gson/Gson.java <init> 173:179
2021-07-03 20:59:02,812 DEBUG                  - depth 0, hash 3360c93, HEAD~130
2021-07-03 20:59:02,817 DEBUG                  - depth 1, hash d7fbac0, HEAD~502
2021-07-03 20:59:02,822 DEBUG                  - depth 2, hash 1794182, HEAD~552
2021-07-03 20:59:02,826 DEBUG                  - depth 3, hash aa2f61b, HEAD~556
2021-07-03 20:59:02,830 DEBUG                  - depth 4, hash f89e92a, HEAD~563
2021-07-03 20:59:02,834 DEBUG                  - depth 5, hash d3f927e, HEAD~614
2021-07-03 20:59:02,838 DEBUG                  - depth 6, hash 46e65a7, HEAD~630
2021-07-03 20:59:02,842 DEBUG                  - depth 7, hash c71e61c, HEAD~648
2021-07-03 20:59:02,846 DEBUG                  - depth 8, hash a98d6ea, HEAD~654
2021-07-03 20:59:02,850 DEBUG                  - depth 9, hash 25c6ae1, HEAD~656
2021-07-03 20:59:02,854 DEBUG                  - depth 10, hash aa06705, HEAD~699
2021-07-03 20:59:02,858 DEBUG                  - depth 11, hash 114633f, HEAD~867
2021-07-03 20:59:02,862 DEBUG                  - depth 12, hash b883f8f, HEAD~875
2021-07-03 20:59:02,866 DEBUG                  - depth 13, hash 2b9f81e, HEAD~876
2021-07-03 20:59:02,870 DEBUG                  - depth 14, hash dea7ab8, HEAD~954
2021-07-03 20:59:02,875 DEBUG                  - depth 15, hash 2b1f3ee, HEAD~983
2021-07-03 20:59:02,879 DEBUG                  - depth 16, hash 747e3c3, HEAD~989
2021-07-03 20:59:02,883 DEBUG                  - depth 17, hash 839b0c2, HEAD~1084
2021-07-03 20:59:02,887 DEBUG                  - depth 18, hash 6d50bce, HEAD~1137
2021-07-03 20:59:02,891 DEBUG                  - depth 19, hash b2b2e5d, HEAD~1163
2021-07-03 20:59:02,895 DEBUG                  - depth 20, hash 764e4d9, HEAD~1180
2021-07-03 20:59:02,899 DEBUG                  - depth 21, hash 458f2ba, HEAD~1203
2021-07-03 20:59:02,903 DEBUG                  - depth 22, hash 51881c7, HEAD~1210
2021-07-03 20:59:02,907 DEBUG                  - depth 23, hash cf2a457, HEAD~1254
2021-07-03 20:59:02,911 DEBUG                  - depth 24, hash cc90a68, HEAD~1269
2021-07-03 20:59:02,915 DEBUG                  - depth 25, hash 9dfa454, HEAD~1275
2021-07-03 20:59:02,919 DEBUG                  - depth 26, hash 57d1f32, HEAD~1311
2021-07-03 20:59:02,923 DEBUG    [line range] com/google/gson/Gson.java <init> 122:123
2021-07-03 20:59:02,982 DEBUG                  - depth 0, hash 1e18dce, HEAD~386
2021-07-03 20:59:02,988 DEBUG                  - depth 1, hash 7e76014, HEAD~571
2021-07-03 20:59:02,993 DEBUG    [line range] com/google/gson/Gson.java atomicLongAdapter 352:362
2021-07-03 20:59:03,044 DEBUG                  - depth 0, hash cc54e4d, HEAD~188
2021-07-03 20:59:03,049 DEBUG                  - depth 1, hash 7821b73, HEAD~189
2021-07-03 20:59:03,053 DEBUG    [line range] com/google/gson/Gson.java atomicLongArrayAdapter 364:389
2021-07-03 20:59:03,105 DEBUG                  - depth 0, hash 11b26b5, HEAD~186
2021-07-03 20:59:03,110 DEBUG    [line range] com/google/gson/Gson.java doubleAdapter 274:296
2021-07-03 20:59:03,173 DEBUG                  - depth 0, hash f602bce, HEAD~537
2021-07-03 20:59:03,178 DEBUG                  - depth 1, hash bc68d72, HEAD~548
2021-07-03 20:59:03,182 DEBUG                  - depth 2, hash 0e02cbb, HEAD~600
2021-07-03 20:59:03,186 DEBUG                  - depth 3, hash 25c6ae1, HEAD~656
2021-07-03 20:59:03,190 DEBUG                  - depth 4, hash 9db0c53, HEAD~674
2021-07-03 20:59:03,194 DEBUG                  - depth 5, hash 1885ba7, HEAD~697
2021-07-03 20:59:03,198 DEBUG    [line range] com/google/gson/Gson.java floatAdapter 298:320
