2021-07-03 20:22:48,690 INFO     Search BICs for /tmp/Collections-27b/
2021-07-03 20:22:48,690 DEBUG    Reading the coverage of org.apache.commons.collections4.map.MultiValueMapTest::testUnsafeDeSerialization (failings)
2021-07-03 20:22:48,691 INFO     Loaded 1x25 Coverage Matrix
2021-07-03 20:22:48,692 INFO     The number of total commits: 2812
2021-07-03 20:22:48,959 DEBUG    [single line]   org/apache/commons/collections4/map/AbstractIterableMap.java <init> 28
2021-07-03 20:22:49,081 DEBUG                  - depth 0, hash a2811d7, HEAD~1063
2021-07-03 20:22:49,399 DEBUG    [line range] org/apache/commons/collections4/map/AbstractMapDecorator.java <init> 50:52
2021-07-03 20:22:49,540 DEBUG                  - depth 0, hash c0b6818, HEAD~1650
2021-07-03 20:22:49,545 DEBUG                  - depth 1, hash 335945a, HEAD~1925
2021-07-03 20:22:49,549 DEBUG                  - depth 2, hash 6111202, HEAD~2195
2021-07-03 20:22:49,553 DEBUG    [line range] org/apache/commons/collections4/map/AbstractMapDecorator.java <init> 60:65
2021-07-03 20:22:49,693 DEBUG                  - depth 0, hash 68bbd2c, HEAD~17
2021-07-03 20:22:49,699 DEBUG                  - depth 1, hash 9aea104, HEAD~643
2021-07-03 20:22:49,703 DEBUG                  - depth 2, hash fdb0ea5, HEAD~1062
2021-07-03 20:22:49,707 DEBUG                  - depth 3, hash 335945a, HEAD~1925
2021-07-03 20:22:49,711 DEBUG                  - depth 4, hash cf4a476, HEAD~1985
2021-07-03 20:22:49,715 DEBUG                  - depth 5, hash 6111202, HEAD~2195
2021-07-03 20:22:49,719 DEBUG    [line range] org/apache/commons/collections4/map/AbstractMapDecorator.java decorated 72:74
2021-07-03 20:22:49,860 DEBUG                  - depth 0, hash fdb0ea5, HEAD~1062
2021-07-03 20:22:49,866 DEBUG                  - depth 1, hash 335945a, HEAD~1925
2021-07-03 20:22:49,870 DEBUG                  - depth 2, hash 6111202, HEAD~2195
2021-07-03 20:22:49,874 DEBUG    [line range] org/apache/commons/collections4/map/AbstractMapDecorator.java equals 125:131
2021-07-03 20:22:50,014 DEBUG                  - depth 0, hash 9aea104, HEAD~643
2021-07-03 20:22:50,020 DEBUG                  - depth 1, hash 5cabc0f, HEAD~940
2021-07-03 20:22:50,024 DEBUG                  - depth 2, hash fdb0ea5, HEAD~1062
2021-07-03 20:22:50,028 DEBUG                  - depth 3, hash 335945a, HEAD~1925
2021-07-03 20:22:50,032 DEBUG                  - depth 4, hash cf4a476, HEAD~1985
2021-07-03 20:22:50,036 DEBUG                  - depth 5, hash 3439cce, HEAD~2158
2021-07-03 20:22:50,041 DEBUG                  - depth 6, hash 6111202, HEAD~2195
2021-07-03 20:22:50,045 DEBUG    [line range] org/apache/commons/collections4/map/AbstractMapDecorator.java size 117:119
2021-07-03 20:22:50,191 DEBUG                  - depth 0, hash fdb0ea5, HEAD~1062
2021-07-03 20:22:50,196 DEBUG                  - depth 1, hash 335945a, HEAD~1925
2021-07-03 20:22:50,200 DEBUG                  - depth 2, hash cf4a476, HEAD~1985
2021-07-03 20:22:50,204 DEBUG                  - depth 3, hash 3439cce, HEAD~2158
2021-07-03 20:22:50,209 DEBUG                  - depth 4, hash 6111202, HEAD~2195
2021-07-03 20:22:50,580 DEBUG    [line range] org/apache/commons/collections4/map/MultiValueMap.java <init> 145:153
2021-07-03 20:22:50,709 DEBUG                  - depth 0, hash 1b9d8b4, HEAD~637
2021-07-03 20:22:50,715 DEBUG                  - depth 1, hash 9aea104, HEAD~643
2021-07-03 20:22:50,719 DEBUG                  - depth 2, hash fd3dc7c, HEAD~1052
2021-07-03 20:22:50,723 DEBUG                  - depth 3, hash c9a3090, HEAD~1406
2021-07-03 20:22:50,727 DEBUG                  - depth 4, hash 9072508, HEAD~1417
2021-07-03 20:22:50,731 DEBUG                  - depth 5, hash e297d23, HEAD~1422
2021-07-03 20:22:50,735 DEBUG    [line range] org/apache/commons/collections4/map/MultiValueMap.java multiValueMap 105:108
2021-07-03 20:22:50,866 DEBUG                  - depth 0, hash 9aea104, HEAD~643
2021-07-03 20:22:50,871 DEBUG                  - depth 1, hash 902ee25, HEAD~789
2021-07-03 20:22:50,875 DEBUG                  - depth 2, hash 5a2fc90, HEAD~842
