2021-07-03 07:30:26,988 INFO     Search BICs for /tmp/Cli-3b/
2021-07-03 07:30:26,988 DEBUG    Reading the coverage of org.apache.commons.cli.PatternOptionBuilderTest::testSimplePattern (failings)
2021-07-03 07:30:26,996 INFO     Loaded 1x298 Coverage Matrix
2021-07-03 07:30:26,997 INFO     The number of total commits: 267
2021-07-03 07:30:27,312 DEBUG    [line range] org/apache/commons/cli/CommandLine.java <init> 43:43
2021-07-03 07:30:27,325 DEBUG                  - depth 0, hash 9b2b803, HEAD~182
2021-07-03 07:30:27,330 DEBUG                  - depth 1, hash aae50c5, HEAD~265
2021-07-03 07:30:27,335 DEBUG    [line range] org/apache/commons/cli/CommandLine.java addOption 286:289
2021-07-03 07:30:27,347 DEBUG                  - depth 0, hash b0e1b80, HEAD~3
2021-07-03 07:30:27,353 DEBUG                  - depth 1, hash 9b2b803, HEAD~182
2021-07-03 07:30:27,357 DEBUG                  - depth 2, hash 0f52eff, HEAD~190
2021-07-03 07:30:27,361 DEBUG                  - depth 3, hash 347bbeb, HEAD~191
2021-07-03 07:30:27,365 DEBUG                  - depth 4, hash 0c281fb, HEAD~194
2021-07-03 07:30:27,369 DEBUG                  - depth 5, hash 872f1d5, HEAD~214
2021-07-03 07:30:27,373 DEBUG                  - depth 6, hash c08f738, HEAD~217
2021-07-03 07:30:27,377 DEBUG                  - depth 7, hash 04490af, HEAD~230
2021-07-03 07:30:27,381 DEBUG                  - depth 8, hash f9df518, HEAD~234
2021-07-03 07:30:27,385 DEBUG                  - depth 9, hash 5aa47b7, HEAD~239
2021-07-03 07:30:27,389 DEBUG                  - depth 10, hash 4cca25d, HEAD~262
2021-07-03 07:30:27,393 DEBUG                  - depth 11, hash aae50c5, HEAD~265
2021-07-03 07:30:27,397 DEBUG    [line range] org/apache/commons/cli/CommandLine.java getOptionObject 108:111
2021-07-03 07:30:27,410 DEBUG                  - depth 0, hash 9b2b803, HEAD~182
2021-07-03 07:30:27,415 DEBUG                  - depth 1, hash 1060ee7, HEAD~236
2021-07-03 07:30:27,419 DEBUG    [line range] org/apache/commons/cli/CommandLine.java getOptionObject 87:100
2021-07-03 07:30:27,432 DEBUG                  - depth 0, hash b0e1b80, HEAD~3
2021-07-03 07:30:27,437 DEBUG                  - depth 1, hash 9b2b803, HEAD~182
2021-07-03 07:30:27,441 DEBUG                  - depth 2, hash 5dae769, HEAD~189
2021-07-03 07:30:27,445 DEBUG                  - depth 3, hash 347bbeb, HEAD~191
2021-07-03 07:30:27,449 DEBUG                  - depth 4, hash f9df518, HEAD~234
2021-07-03 07:30:27,453 DEBUG                  - depth 5, hash 5aa47b7, HEAD~239
2021-07-03 07:30:27,457 DEBUG                  - depth 6, hash 7e3bcff, HEAD~250
2021-07-03 07:30:27,461 DEBUG                  - depth 7, hash 4cca25d, HEAD~262
2021-07-03 07:30:27,465 DEBUG                  - depth 8, hash aae50c5, HEAD~265
2021-07-03 07:30:27,470 DEBUG    [line range] org/apache/commons/cli/CommandLine.java getOptionValue 134:137
2021-07-03 07:30:27,482 DEBUG                  - depth 0, hash 9b2b803, HEAD~182
2021-07-03 07:30:27,487 DEBUG                  - depth 1, hash 1060ee7, HEAD~236
2021-07-03 07:30:27,491 DEBUG    [line range] org/apache/commons/cli/CommandLine.java getOptionValue 120:125
2021-07-03 07:30:27,504 DEBUG                  - depth 0, hash 9b2b803, HEAD~182
2021-07-03 07:30:27,509 DEBUG                  - depth 1, hash f9df518, HEAD~234
2021-07-03 07:30:27,513 DEBUG                  - depth 2, hash 5aa47b7, HEAD~239
2021-07-03 07:30:27,517 DEBUG                  - depth 3, hash 4cca25d, HEAD~262
2021-07-03 07:30:27,521 DEBUG                  - depth 4, hash aae50c5, HEAD~265
2021-07-03 07:30:27,525 DEBUG    [line range] org/apache/commons/cli/CommandLine.java getOptionValues 146:156
2021-07-03 07:30:27,538 DEBUG                  - depth 0, hash b0e1b80, HEAD~3
2021-07-03 07:30:27,543 DEBUG                  - depth 1, hash a8a8ec0, HEAD~99
2021-07-03 07:30:27,548 DEBUG                  - depth 2, hash 9b2b803, HEAD~182
2021-07-03 07:30:27,552 DEBUG                  - depth 3, hash 347bbeb, HEAD~191
2021-07-03 07:30:27,556 DEBUG                  - depth 4, hash 0c281fb, HEAD~194
2021-07-03 07:30:27,560 DEBUG                  - depth 5, hash 83b7ceb, HEAD~233
2021-07-03 07:30:27,564 DEBUG                  - depth 6, hash f9df518, HEAD~234
2021-07-03 07:30:27,568 DEBUG                  - depth 7, hash 5aa47b7, HEAD~239
2021-07-03 07:30:27,572 DEBUG                  - depth 8, hash 4cca25d, HEAD~262
