2021-07-04 05:01:00,710 INFO     Search BICs for /tmp/Jsoup-84b/
2021-07-04 05:01:00,710 DEBUG    Reading the coverage of org.jsoup.helper.W3CDomTest::treatsUndeclaredNamespaceAsLocalName (failings)
2021-07-04 05:01:00,791 INFO     Loaded 1x1032 Coverage Matrix
2021-07-04 05:01:00,791 INFO     The number of total commits: 1184
2021-07-04 05:01:01,111 DEBUG    [line range] org/jsoup/Jsoup.java parse 57:59
2021-07-04 05:01:01,147 DEBUG                  - depth 0, hash d23db47, HEAD~1132
2021-07-04 05:01:01,153 DEBUG                  - depth 1, hash 9d3ab85, HEAD~1156
2021-07-04 05:01:01,463 DEBUG    [line range] org/jsoup/helper/ChangeNotifyingArrayList.java <init> 10:12
2021-07-04 05:01:01,498 DEBUG                  - depth 0, hash 38049ce, HEAD~185
2021-07-04 05:01:01,504 DEBUG    [line range] org/jsoup/helper/ChangeNotifyingArrayList.java add 22:26
2021-07-04 05:01:01,538 DEBUG                  - depth 0, hash 38049ce, HEAD~185
2021-07-04 05:01:01,893 DEBUG    [line range] org/jsoup/helper/StringUtil.java <clinit> 14:16
2021-07-04 05:01:01,930 DEBUG                  - depth 0, hash ea1fb65, HEAD~139
2021-07-04 05:01:01,935 DEBUG                  - depth 1, hash 18e9a8f, HEAD~926
2021-07-04 05:01:01,939 DEBUG    [line range] org/jsoup/helper/StringUtil.java in 176:183
2021-07-04 05:01:01,975 DEBUG                  - depth 0, hash fb8b60b, HEAD~86
2021-07-04 05:01:01,981 DEBUG                  - depth 1, hash 8749726, HEAD~787
2021-07-04 05:01:01,985 DEBUG    [line range] org/jsoup/helper/StringUtil.java inSorted 185:187
2021-07-04 05:01:02,021 DEBUG                  - depth 0, hash 8c43a81, HEAD~333
2021-07-04 05:01:02,026 DEBUG    [line range] org/jsoup/helper/StringUtil.java isBlank 82:92
2021-07-04 05:01:02,063 DEBUG                  - depth 0, hash dd4b682, HEAD~724
2021-07-04 05:01:02,068 DEBUG                  - depth 1, hash 18e9a8f, HEAD~926
2021-07-04 05:01:02,072 DEBUG    [line range] org/jsoup/helper/StringUtil.java isWhitespace 117:119
2021-07-04 05:01:02,108 DEBUG                  - depth 0, hash 84ab3d3, HEAD~719
2021-07-04 05:01:02,114 DEBUG                  - depth 1, hash dd4b682, HEAD~724
2021-07-04 05:01:02,118 DEBUG    [line range] org/jsoup/helper/StringUtil.java initialValue 247:252
2021-07-04 05:01:02,154 DEBUG                  - depth 0, hash 5e386d5, HEAD~144
2021-07-04 05:01:02,160 DEBUG                  - depth 1, hash c63ccf8, HEAD~145
2021-07-04 05:01:02,164 DEBUG                  - depth 2, hash 1e09df6, HEAD~335
2021-07-04 05:01:02,469 DEBUG    [line range] org/jsoup/helper/Validate.java isFalse 52:55
2021-07-04 05:01:02,504 DEBUG                  - depth 0, hash 8749726, HEAD~787
2021-07-04 05:01:02,510 DEBUG    [line range] org/jsoup/helper/Validate.java isFalse 62:65
2021-07-04 05:01:02,544 DEBUG                  - depth 0, hash 8749726, HEAD~787
2021-07-04 05:01:02,549 DEBUG    [line range] org/jsoup/helper/Validate.java isTrue 33:36
2021-07-04 05:01:02,584 DEBUG                  - depth 0, hash 18e9a8f, HEAD~926
2021-07-04 05:01:02,590 DEBUG    [line range] org/jsoup/helper/Validate.java isTrue 43:46
2021-07-04 05:01:02,624 DEBUG                  - depth 0, hash 18e9a8f, HEAD~926
2021-07-04 05:01:02,630 DEBUG    [line range] org/jsoup/helper/Validate.java notEmpty 90:93
2021-07-04 05:01:02,665 DEBUG                  - depth 0, hash 18e9a8f, HEAD~926
2021-07-04 05:01:02,671 DEBUG    [line range] org/jsoup/helper/Validate.java notNull 14:17
2021-07-04 05:01:02,706 DEBUG                  - depth 0, hash 18e9a8f, HEAD~926
2021-07-04 05:01:02,711 DEBUG    [line range] org/jsoup/helper/Validate.java notNull 24:27
2021-07-04 05:01:02,747 DEBUG                  - depth 0, hash 18e9a8f, HEAD~926
2021-07-04 05:01:03,101 DEBUG    [single line]   org/jsoup/helper/W3CDom.java <init> 28
2021-07-04 05:01:03,136 DEBUG                  - depth 0, hash a4883a4, HEAD~464
2021-07-04 05:01:03,142 DEBUG    [line range] org/jsoup/helper/W3CDom.java <init> 29:29
2021-07-04 05:01:03,177 DEBUG                  - depth 0, hash a4883a4, HEAD~464
2021-07-04 05:01:03,182 DEBUG    [line range] org/jsoup/helper/W3CDom.java convert 58:64
2021-07-04 05:01:03,217 DEBUG                  - depth 0, hash 6652240, HEAD~111
2021-07-04 05:01:03,222 DEBUG                  - depth 1, hash a4883a4, HEAD~464
2021-07-04 05:01:03,227 DEBUG    [line range] org/jsoup/helper/W3CDom.java fromJsoup 36:49
2021-07-04 05:01:03,262 DEBUG                  - depth 0, hash 1dec69d, HEAD~315
2021-07-04 05:01:03,267 DEBUG                  - depth 1, hash a4883a4, HEAD~464
2021-07-04 05:01:03,271 DEBUG    [line range] org/jsoup/helper/W3CDom.java <init> 74:74
2021-07-04 05:01:03,306 DEBUG                  - depth 0, hash 3475dc8, HEAD~56
2021-07-04 05:01:03,312 DEBUG                  - depth 1, hash e2ff399, HEAD~161
2021-07-04 05:01:03,316 DEBUG                  - depth 2, hash 143ede6, HEAD~301
2021-07-04 05:01:03,320 DEBUG    [line range] org/jsoup/helper/W3CDom.java copyAttributes 122:129
2021-07-04 05:01:03,355 DEBUG                  - depth 0, hash 654bc6f, HEAD~158
2021-07-04 05:01:03,360 DEBUG                  - depth 1, hash f148f88, HEAD~255
2021-07-04 05:01:03,364 DEBUG                  - depth 2, hash a4883a4, HEAD~464
2021-07-04 05:01:03,369 DEBUG    [line range] org/jsoup/helper/W3CDom.java head 82:113
2021-07-04 05:01:03,405 DEBUG                  - depth 0, hash 3475dc8, HEAD~56
2021-07-04 05:01:03,410 DEBUG                  - depth 1, hash 143ede6, HEAD~301
2021-07-04 05:01:03,414 DEBUG                  - depth 2, hash 1dec69d, HEAD~315
2021-07-04 05:01:03,419 DEBUG                  - depth 3, hash a4883a4, HEAD~464
2021-07-04 05:01:03,423 DEBUG    [line range] org/jsoup/helper/W3CDom.java tail 115:120
2021-07-04 05:01:03,459 DEBUG                  - depth 0, hash 3475dc8, HEAD~56
2021-07-04 05:01:03,464 DEBUG                  - depth 1, hash a4883a4, HEAD~464
