2021-07-04 09:24:49,179 INFO     Search BICs for /tmp/Mockito-20b/
2021-07-04 09:24:49,180 DEBUG    Reading the coverage of org.mockitousage.constructor.CreatingMocksWithConstructorTest::can_mock_inner_classes (failings)
2021-07-04 09:24:49,214 DEBUG    Reading the coverage of org.mockitousage.constructor.CreatingMocksWithConstructorTest::can_mock_abstract_classes (failings)
2021-07-04 09:24:49,247 DEBUG    Reading the coverage of org.mockitousage.constructor.CreatingMocksWithConstructorTest::can_create_mock_with_constructor (failings)
2021-07-04 09:24:49,291 DEBUG    Reading the coverage of org.mockitousage.constructor.CreatingMocksWithConstructorTest::can_spy_abstract_classes (failings)
2021-07-04 09:24:49,325 DEBUG    Reading the coverage of org.mockitousage.annotation.SpyAnnotationTest::should_report_when_constructor_is_explosive (failings)
2021-07-04 09:24:49,361 DEBUG    Reading the coverage of org.mockitousage.constructor.CreatingMocksWithConstructorTest::exception_message_when_constructor_not_found (failings)
2021-07-04 09:24:49,402 DEBUG    Reading the coverage of org.mockitousage.annotation.SpyAnnotationTest::should_spy_inner_class (failings)
2021-07-04 09:24:49,453 DEBUG    Reading the coverage of org.mockitousage.constructor.CreatingMocksWithConstructorTest::mocking_inner_classes_with_wrong_outer_instance (failings)
2021-07-04 09:24:49,484 INFO     Loaded 8x981 Coverage Matrix
2021-07-04 09:24:49,485 INFO     The number of total commits: 2568
2021-07-04 09:24:49,766 DEBUG    [single line]   org/mockito/Answers.java <clinit> 26
2021-07-04 09:24:49,885 DEBUG                  - depth 0, hash 34f4436, HEAD~116
2021-07-04 09:24:49,891 DEBUG                  - depth 1, hash 1351511, HEAD~586
2021-07-04 09:24:49,895 DEBUG                  - depth 2, hash f7fc2e1, HEAD~961
2021-07-04 09:24:49,899 DEBUG                  - depth 3, hash b64e775, HEAD~969
2021-07-04 09:24:49,903 DEBUG                  - depth 4, hash 4bf949d, HEAD~998
2021-07-04 09:24:49,907 DEBUG                  - depth 5, hash af1b08c, HEAD~1077
2021-07-04 09:24:49,911 DEBUG                  - depth 6, hash 346dc99, HEAD~1210
2021-07-04 09:24:49,915 DEBUG                  - depth 7, hash 77fea3d, HEAD~1211
2021-07-04 09:24:49,919 DEBUG    [single line]   org/mockito/Answers.java <clinit> 34
2021-07-04 09:24:50,039 DEBUG                  - depth 0, hash 34f4436, HEAD~116
2021-07-04 09:24:50,045 DEBUG                  - depth 1, hash 1351511, HEAD~586
2021-07-04 09:24:50,049 DEBUG                  - depth 2, hash f7fc2e1, HEAD~961
2021-07-04 09:24:50,053 DEBUG                  - depth 3, hash b64e775, HEAD~969
2021-07-04 09:24:50,057 DEBUG                  - depth 4, hash 4bf949d, HEAD~998
2021-07-04 09:24:50,061 DEBUG                  - depth 5, hash af1b08c, HEAD~1077
2021-07-04 09:24:50,065 DEBUG                  - depth 6, hash 346dc99, HEAD~1210
2021-07-04 09:24:50,069 DEBUG                  - depth 7, hash 77fea3d, HEAD~1211
2021-07-04 09:24:50,073 DEBUG    [single line]   org/mockito/Answers.java <clinit> 43
2021-07-04 09:24:50,192 DEBUG                  - depth 0, hash 34f4436, HEAD~116
2021-07-04 09:24:50,197 DEBUG                  - depth 1, hash 1351511, HEAD~586
2021-07-04 09:24:50,201 DEBUG                  - depth 2, hash f7fc2e1, HEAD~961
2021-07-04 09:24:50,205 DEBUG                  - depth 3, hash b64e775, HEAD~969
2021-07-04 09:24:50,209 DEBUG                  - depth 4, hash 4bf949d, HEAD~998
2021-07-04 09:24:50,214 DEBUG                  - depth 5, hash af1b08c, HEAD~1077
2021-07-04 09:24:50,218 DEBUG                  - depth 6, hash 346dc99, HEAD~1210
2021-07-04 09:24:50,222 DEBUG                  - depth 7, hash 77fea3d, HEAD~1211
2021-07-04 09:24:50,226 DEBUG    [single line]   org/mockito/Answers.java <clinit> 52
2021-07-04 09:24:50,344 DEBUG                  - depth 0, hash 34f4436, HEAD~116
2021-07-04 09:24:50,349 DEBUG                  - depth 1, hash 1351511, HEAD~586
2021-07-04 09:24:50,353 DEBUG                  - depth 2, hash f7fc2e1, HEAD~961
2021-07-04 09:24:50,357 DEBUG                  - depth 3, hash b64e775, HEAD~969
2021-07-04 09:24:50,361 DEBUG                  - depth 4, hash 4bf949d, HEAD~998
2021-07-04 09:24:50,366 DEBUG                  - depth 5, hash af1b08c, HEAD~1077
2021-07-04 09:24:50,370 DEBUG                  - depth 6, hash 346dc99, HEAD~1210
2021-07-04 09:24:50,374 DEBUG                  - depth 7, hash 77fea3d, HEAD~1211
2021-07-04 09:24:50,378 DEBUG    [single line]   org/mockito/Answers.java <clinit> 62
2021-07-04 09:24:50,501 DEBUG                  - depth 0, hash 34f4436, HEAD~116
2021-07-04 09:24:50,506 DEBUG                  - depth 1, hash 1351511, HEAD~586
2021-07-04 09:24:50,510 DEBUG                  - depth 2, hash f7fc2e1, HEAD~961
2021-07-04 09:24:50,514 DEBUG                  - depth 3, hash b64e775, HEAD~969
2021-07-04 09:24:50,518 DEBUG                  - depth 4, hash 4bf949d, HEAD~998
2021-07-04 09:24:50,522 DEBUG                  - depth 5, hash af1b08c, HEAD~1077
2021-07-04 09:24:50,526 DEBUG                  - depth 6, hash 346dc99, HEAD~1210
2021-07-04 09:24:50,530 DEBUG                  - depth 7, hash 77fea3d, HEAD~1211
2021-07-04 09:24:50,534 DEBUG    [single line]   org/mockito/Answers.java <clinit> 71
2021-07-04 09:24:50,654 DEBUG                  - depth 0, hash 34f4436, HEAD~116
2021-07-04 09:24:50,659 DEBUG                  - depth 1, hash 1351511, HEAD~586
2021-07-04 09:24:50,663 DEBUG                  - depth 2, hash f7fc2e1, HEAD~961
2021-07-04 09:24:50,667 DEBUG                  - depth 3, hash b64e775, HEAD~969
2021-07-04 09:24:50,671 DEBUG                  - depth 4, hash 4bf949d, HEAD~998
2021-07-04 09:24:50,675 DEBUG                  - depth 5, hash af1b08c, HEAD~1077
2021-07-04 09:24:50,680 DEBUG                  - depth 6, hash 346dc99, HEAD~1210
2021-07-04 09:24:50,684 DEBUG                  - depth 7, hash 77fea3d, HEAD~1211
2021-07-04 09:24:50,688 DEBUG    [line range] org/mockito/Answers.java <init> 76:78
2021-07-04 09:24:50,806 DEBUG                  - depth 0, hash 34f4436, HEAD~116
2021-07-04 09:24:50,811 DEBUG                  - depth 1, hash 1351511, HEAD~586
2021-07-04 09:24:50,815 DEBUG                  - depth 2, hash f7fc2e1, HEAD~961
2021-07-04 09:24:50,819 DEBUG                  - depth 3, hash b64e775, HEAD~969
2021-07-04 09:24:50,823 DEBUG                  - depth 4, hash 4bf949d, HEAD~998
2021-07-04 09:24:50,827 DEBUG                  - depth 5, hash af1b08c, HEAD~1077
2021-07-04 09:24:50,831 DEBUG                  - depth 6, hash 346dc99, HEAD~1210
2021-07-04 09:24:50,835 DEBUG                  - depth 7, hash 77fea3d, HEAD~1211
2021-07-04 09:24:50,839 DEBUG    [line range] org/mockito/Answers.java answer 89:91
2021-07-04 09:24:50,957 DEBUG                  - depth 0, hash 34f4436, HEAD~116
2021-07-04 09:24:50,963 DEBUG                  - depth 1, hash 1351511, HEAD~586
2021-07-04 09:24:50,967 DEBUG                  - depth 2, hash f7fc2e1, HEAD~961
2021-07-04 09:24:50,971 DEBUG                  - depth 3, hash b64e775, HEAD~969
2021-07-04 09:24:50,975 DEBUG                  - depth 4, hash 4bf949d, HEAD~998
2021-07-04 09:24:50,979 DEBUG                  - depth 5, hash af1b08c, HEAD~1077
2021-07-04 09:24:50,983 DEBUG                  - depth 6, hash 346dc99, HEAD~1210
2021-07-04 09:24:50,987 DEBUG                  - depth 7, hash 77fea3d, HEAD~1211
2021-07-04 09:24:51,351 DEBUG    [line range] org/mockito/Matchers.java <clinit> 100:100
2021-07-04 09:24:51,492 DEBUG                  - depth 0, hash 1351511, HEAD~586
2021-07-04 09:24:51,498 DEBUG                  - depth 1, hash d94c8c1, HEAD~1704
2021-07-04 09:24:51,502 DEBUG                  - depth 2, hash 7035637, HEAD~1761
2021-07-04 09:24:51,506 DEBUG                  - depth 3, hash 863efe6, HEAD~1780
2021-07-04 09:24:51,510 DEBUG                  - depth 4, hash 6d73019, HEAD~1800
2021-07-04 09:24:51,514 DEBUG                  - depth 5, hash affa89d, HEAD~1801
2021-07-04 09:24:51,518 DEBUG                  - depth 6, hash e6759cc, HEAD~1882
2021-07-04 09:24:51,522 DEBUG                  - depth 7, hash 63fbcc7, HEAD~1883
2021-07-04 09:24:51,526 DEBUG                  - depth 8, hash 9d1a555, HEAD~1924
2021-07-04 09:24:51,530 DEBUG                  - depth 9, hash 97194a6, HEAD~1954
2021-07-04 09:24:51,535 DEBUG                  - depth 10, hash eb1110e, HEAD~1981
2021-07-04 09:24:51,539 DEBUG                  - depth 11, hash b0c3487, HEAD~2011
2021-07-04 09:24:51,543 DEBUG                  - depth 12, hash e71e3d3, HEAD~2042
2021-07-04 09:24:51,547 DEBUG                  - depth 13, hash b29cc4b, HEAD~2047
2021-07-04 09:24:51,551 DEBUG                  - depth 14, hash a56149b, HEAD~2055
2021-07-04 09:24:51,555 DEBUG                  - depth 15, hash 56b3503, HEAD~2059
2021-07-04 09:24:51,559 DEBUG                  - depth 16, hash a0e3112, HEAD~2150
2021-07-04 09:24:51,563 DEBUG                  - depth 17, hash f123fe1, HEAD~2158
2021-07-04 09:24:51,567 DEBUG                  - depth 18, hash 03444ce, HEAD~2165
2021-07-04 09:24:51,572 DEBUG                  - depth 19, hash 4f7f2f1, HEAD~2167
2021-07-04 09:24:51,576 DEBUG                  - depth 20, hash 868fcb0, HEAD~2170
2021-07-04 09:24:51,580 DEBUG                  - depth 21, hash 1b1c8f7, HEAD~2179
2021-07-04 09:24:51,584 DEBUG                  - depth 22, hash b866779, HEAD~2181
2021-07-04 09:24:51,588 DEBUG                  - depth 23, hash 05c8ca8, HEAD~2214
2021-07-04 09:24:51,592 DEBUG                  - depth 24, hash 5b494bf, HEAD~2216
2021-07-04 09:24:51,597 DEBUG                  - depth 25, hash 83e1a6d, HEAD~2219
2021-07-04 09:24:51,601 DEBUG                  - depth 26, hash 85cc060, HEAD~2221
2021-07-04 09:24:51,605 DEBUG                  - depth 27, hash 56d884c, HEAD~2222
2021-07-04 09:24:51,609 DEBUG                  - depth 28, hash feb23b0, HEAD~2224
2021-07-04 09:24:51,613 DEBUG                  - depth 29, hash bda14b0, HEAD~2237
2021-07-04 09:24:51,617 DEBUG                  - depth 30, hash bf4eec3, HEAD~2240
2021-07-04 09:24:51,621 DEBUG                  - depth 31, hash 71450e5, HEAD~2241
2021-07-04 09:24:51,626 DEBUG                  - depth 32, hash df23bd3, HEAD~2243
2021-07-04 09:24:51,630 DEBUG                  - depth 33, hash 824fbd7, HEAD~2256
2021-07-04 09:24:51,634 DEBUG                  - depth 34, hash 6127c09, HEAD~2291
2021-07-04 09:24:51,638 DEBUG                  - depth 35, hash bbd8d3c, HEAD~2292
2021-07-04 09:24:51,642 DEBUG                  - depth 36, hash 331f9b9, HEAD~2293
2021-07-04 09:24:51,646 DEBUG                  - depth 37, hash 8ddb75e, HEAD~2295
2021-07-04 09:24:51,650 DEBUG                  - depth 38, hash 057ebdd, HEAD~2296
2021-07-04 09:24:51,655 DEBUG                  - depth 39, hash 9f6cfd4, HEAD~2298
2021-07-04 09:24:51,659 DEBUG                  - depth 40, hash 1913433, HEAD~2299
2021-07-04 09:24:51,663 DEBUG                  - depth 41, hash 6a49c13, HEAD~2309
2021-07-04 09:24:51,667 DEBUG                  - depth 42, hash e056054, HEAD~2311
2021-07-04 09:24:51,671 DEBUG                  - depth 43, hash 389a09b, HEAD~2321
