2021-07-03 20:28:48,966 INFO     Search BICs for /tmp/Compress-12b/
2021-07-03 20:28:48,966 DEBUG    Reading the coverage of org.apache.commons.compress.archivers.TarTestCase::testCOMPRESS178 (failings)
2021-07-03 20:28:48,986 INFO     Loaded 1x124 Coverage Matrix
2021-07-03 20:28:48,987 INFO     The number of total commits: 965
2021-07-03 20:28:49,286 DEBUG    [single line]   org/apache/commons/compress/archivers/ArchiveInputStream.java <init> 40
2021-07-03 20:28:49,318 DEBUG                  - depth 0, hash ca16539, HEAD~852
2021-07-03 20:28:49,324 DEBUG    [line range] org/apache/commons/compress/archivers/ArchiveInputStream.java <init> 42:42
2021-07-03 20:28:49,356 DEBUG                  - depth 0, hash 253196a, HEAD~616
2021-07-03 20:28:49,691 DEBUG    [single line]   org/apache/commons/compress/archivers/ArchiveStreamFactory.java <init> 74
2021-07-03 20:28:49,725 DEBUG                  - depth 0, hash 6a70323, HEAD~842
2021-07-03 20:28:49,730 DEBUG                  - depth 1, hash ca16539, HEAD~852
2021-07-03 20:28:49,734 DEBUG    [line range] org/apache/commons/compress/archivers/ArchiveStreamFactory.java createArchiveInputStream 116:148
2021-07-03 20:28:49,769 DEBUG                  - depth 0, hash a932366, HEAD~118
2021-07-03 20:28:49,774 DEBUG                  - depth 1, hash c640fab, HEAD~377
2021-07-03 20:28:49,778 DEBUG                  - depth 2, hash bed564b, HEAD~400
2021-07-03 20:28:49,782 DEBUG                  - depth 3, hash ae0f984, HEAD~406
2021-07-03 20:28:49,786 DEBUG                  - depth 4, hash 2e3acfa, HEAD~409
2021-07-03 20:28:49,790 DEBUG                  - depth 5, hash e7517b8, HEAD~415
2021-07-03 20:28:49,794 DEBUG                  - depth 6, hash c4a65f0, HEAD~741
2021-07-03 20:28:49,798 DEBUG                  - depth 7, hash 55c78f6, HEAD~806
2021-07-03 20:28:49,802 DEBUG                  - depth 8, hash 0ba4e2a, HEAD~807
2021-07-03 20:28:49,806 DEBUG                  - depth 9, hash b7bc8c7, HEAD~822
2021-07-03 20:28:49,811 DEBUG                  - depth 10, hash 70c8320, HEAD~832
2021-07-03 20:28:49,815 DEBUG                  - depth 11, hash 6a70323, HEAD~842
2021-07-03 20:28:49,819 DEBUG                  - depth 12, hash ca16539, HEAD~852
2021-07-03 20:28:50,253 DEBUG    [line range] org/apache/commons/compress/archivers/tar/TarArchiveEntry.java <init> 180:197
2021-07-03 20:28:50,290 DEBUG                  - depth 0, hash 8118f82, HEAD~570
2021-07-03 20:28:50,295 DEBUG                  - depth 1, hash 1d55670, HEAD~573
2021-07-03 20:28:50,299 DEBUG                  - depth 2, hash 24f9c9b, HEAD~575
2021-07-03 20:28:50,303 DEBUG                  - depth 3, hash 46ad24d, HEAD~838
2021-07-03 20:28:50,307 DEBUG                  - depth 4, hash 8822084, HEAD~923
2021-07-03 20:28:50,311 DEBUG    [line range] org/apache/commons/compress/archivers/tar/TarArchiveEntry.java <init> 312:315
2021-07-03 20:28:50,347 DEBUG                  - depth 0, hash 46ad24d, HEAD~838
2021-07-03 20:28:50,353 DEBUG                  - depth 1, hash ca16539, HEAD~852
2021-07-03 20:28:50,357 DEBUG    [line range] org/apache/commons/compress/archivers/tar/TarArchiveEntry.java parseTarHeader 806:866
2021-07-03 20:28:50,393 DEBUG                  - depth 0, hash 7ee6b67, HEAD~3
2021-07-03 20:28:50,398 DEBUG                  - depth 1, hash 6846564, HEAD~23
2021-07-03 20:28:50,402 DEBUG                  - depth 2, hash aa9d0bc, HEAD~248
2021-07-03 20:28:50,406 DEBUG                  - depth 3, hash 5b25f6c, HEAD~325
2021-07-03 20:28:50,411 DEBUG                  - depth 4, hash 33cd35e, HEAD~328
2021-07-03 20:28:50,415 DEBUG                  - depth 5, hash 8118f82, HEAD~570
2021-07-03 20:28:50,419 DEBUG                  - depth 6, hash 46ad24d, HEAD~838
2021-07-03 20:28:50,423 DEBUG                  - depth 7, hash ca16539, HEAD~852
2021-07-03 20:28:50,800 DEBUG    [line range] org/apache/commons/compress/archivers/tar/TarArchiveInputStream.java <init> 60:62
2021-07-03 20:28:50,837 DEBUG                  - depth 0, hash 0a986c6, HEAD~802
2021-07-03 20:28:50,843 DEBUG                  - depth 1, hash a7049ab, HEAD~804
2021-07-03 20:28:50,847 DEBUG                  - depth 2, hash 55c78f6, HEAD~806
2021-07-03 20:28:50,851 DEBUG                  - depth 3, hash 0ba4e2a, HEAD~807
2021-07-03 20:28:50,855 DEBUG                  - depth 4, hash 3f9bcc6, HEAD~813
2021-07-03 20:28:50,859 DEBUG                  - depth 5, hash 5e5804c, HEAD~824
2021-07-03 20:28:50,863 DEBUG                  - depth 6, hash 46ad24d, HEAD~838
2021-07-03 20:28:50,867 DEBUG                  - depth 7, hash 726f6f2, HEAD~839
2021-07-03 20:28:50,871 DEBUG                  - depth 8, hash a8a9e64, HEAD~850
2021-07-03 20:28:50,875 DEBUG                  - depth 9, hash ca16539, HEAD~852
2021-07-03 20:28:50,879 DEBUG    [line range] org/apache/commons/compress/archivers/tar/TarArchiveInputStream.java <init> 79:83
2021-07-03 20:28:50,916 DEBUG                  - depth 0, hash 04c4921, HEAD~558
2021-07-03 20:28:50,922 DEBUG                  - depth 1, hash 6117cc1, HEAD~615
2021-07-03 20:28:50,926 DEBUG                  - depth 2, hash 41f4a20, HEAD~722
2021-07-03 20:28:50,930 DEBUG                  - depth 3, hash 0a986c6, HEAD~802
2021-07-03 20:28:50,934 DEBUG                  - depth 4, hash a7049ab, HEAD~804
2021-07-03 20:28:50,938 DEBUG                  - depth 5, hash 55c78f6, HEAD~806
2021-07-03 20:28:50,942 DEBUG                  - depth 6, hash 0ba4e2a, HEAD~807
2021-07-03 20:28:50,947 DEBUG                  - depth 7, hash 3f9bcc6, HEAD~813
2021-07-03 20:28:50,951 DEBUG                  - depth 8, hash 5e5804c, HEAD~824
2021-07-03 20:28:50,955 DEBUG                  - depth 9, hash 46ad24d, HEAD~838
2021-07-03 20:28:50,959 DEBUG                  - depth 10, hash 726f6f2, HEAD~839
2021-07-03 20:28:50,963 DEBUG                  - depth 11, hash a8a9e64, HEAD~850
2021-07-03 20:28:50,967 DEBUG                  - depth 12, hash ca16539, HEAD~852
2021-07-03 20:28:50,971 DEBUG    [line range] org/apache/commons/compress/archivers/tar/TarArchiveInputStream.java getNextEntry 393:396
2021-07-03 20:28:51,008 DEBUG                  - depth 0, hash 46628ef, HEAD~149
2021-07-03 20:28:51,014 DEBUG                  - depth 1, hash 0a986c6, HEAD~802
2021-07-03 20:28:51,018 DEBUG                  - depth 2, hash a7049ab, HEAD~804
2021-07-03 20:28:51,022 DEBUG                  - depth 3, hash 55c78f6, HEAD~806
2021-07-03 20:28:51,026 DEBUG                  - depth 4, hash 0ba4e2a, HEAD~807
2021-07-03 20:28:51,030 DEBUG                  - depth 5, hash 3f9bcc6, HEAD~813
2021-07-03 20:28:51,034 DEBUG                  - depth 6, hash 5e5804c, HEAD~824
2021-07-03 20:28:51,038 DEBUG                  - depth 7, hash 46ad24d, HEAD~838
2021-07-03 20:28:51,042 DEBUG                  - depth 8, hash 726f6f2, HEAD~839
2021-07-03 20:28:51,047 DEBUG                  - depth 9, hash a8a9e64, HEAD~850
2021-07-03 20:28:51,051 DEBUG                  - depth 10, hash ca16539, HEAD~852
2021-07-03 20:28:51,055 DEBUG    [line range] org/apache/commons/compress/archivers/tar/TarArchiveInputStream.java getNextTarEntry 172:238
2021-07-03 20:28:51,091 DEBUG                  - depth 0, hash 5dad112, HEAD~19
2021-07-03 20:28:51,097 DEBUG                  - depth 1, hash aa9d0bc, HEAD~248
2021-07-03 20:28:51,101 DEBUG                  - depth 2, hash 45fa6e0, HEAD~322
2021-07-03 20:28:51,105 DEBUG                  - depth 3, hash 4bce1fb, HEAD~550
2021-07-03 20:28:51,109 DEBUG                  - depth 4, hash 04c4921, HEAD~558
2021-07-03 20:28:51,113 DEBUG                  - depth 5, hash 0a986c6, HEAD~802
2021-07-03 20:28:51,117 DEBUG                  - depth 6, hash a7049ab, HEAD~804
2021-07-03 20:28:51,121 DEBUG                  - depth 7, hash 55c78f6, HEAD~806
2021-07-03 20:28:51,125 DEBUG                  - depth 8, hash 0ba4e2a, HEAD~807
2021-07-03 20:28:51,129 DEBUG                  - depth 9, hash 3f9bcc6, HEAD~813
2021-07-03 20:28:51,133 DEBUG                  - depth 10, hash 5e5804c, HEAD~824
2021-07-03 20:28:51,137 DEBUG                  - depth 11, hash 46ad24d, HEAD~838
2021-07-03 20:28:51,141 DEBUG                  - depth 12, hash 726f6f2, HEAD~839
2021-07-03 20:28:51,145 DEBUG                  - depth 13, hash a8a9e64, HEAD~850
2021-07-03 20:28:51,149 DEBUG                  - depth 14, hash ca16539, HEAD~852
2021-07-03 20:28:51,154 DEBUG    [line range] org/apache/commons/compress/archivers/tar/TarArchiveInputStream.java getRecord 252:266
2021-07-03 20:28:51,189 DEBUG                  - depth 0, hash aa9d0bc, HEAD~248
2021-07-03 20:28:51,547 DEBUG    [line range] org/apache/commons/compress/archivers/tar/TarBuffer.java <init> 79:84
2021-07-03 20:28:51,582 DEBUG                  - depth 0, hash 46ad24d, HEAD~838
2021-07-03 20:28:51,587 DEBUG                  - depth 1, hash 8822084, HEAD~923
2021-07-03 20:28:51,592 DEBUG    [line range] org/apache/commons/compress/archivers/tar/TarBuffer.java getRecordSize 146:148
2021-07-03 20:28:51,627 DEBUG                  - depth 0, hash 46ad24d, HEAD~838
2021-07-03 20:28:51,632 DEBUG    [line range] org/apache/commons/compress/archivers/tar/TarBuffer.java initialize 119:132
2021-07-03 20:28:51,668 DEBUG                  - depth 0, hash 04c4921, HEAD~558
2021-07-03 20:28:51,674 DEBUG                  - depth 1, hash 46ad24d, HEAD~838
2021-07-03 20:28:51,678 DEBUG                  - depth 2, hash 8822084, HEAD~923
2021-07-03 20:28:51,682 DEBUG    [line range] org/apache/commons/compress/archivers/tar/TarBuffer.java isEOFRecord 157:165
2021-07-03 20:28:51,717 DEBUG                  - depth 0, hash 46ad24d, HEAD~838
2021-07-03 20:28:51,723 DEBUG                  - depth 1, hash 8822084, HEAD~923
2021-07-03 20:28:51,727 DEBUG    [line range] org/apache/commons/compress/archivers/tar/TarBuffer.java readBlock 215:271
2021-07-03 20:28:51,763 DEBUG                  - depth 0, hash 04c4921, HEAD~558
2021-07-03 20:28:51,768 DEBUG                  - depth 1, hash 46ad24d, HEAD~838
2021-07-03 20:28:51,772 DEBUG                  - depth 2, hash 8822084, HEAD~923
2021-07-03 20:28:51,777 DEBUG    [line range] org/apache/commons/compress/archivers/tar/TarBuffer.java readRecord 189:210
2021-07-03 20:28:51,812 DEBUG                  - depth 0, hash 58c56fc, HEAD~245
2021-07-03 20:28:51,818 DEBUG                  - depth 1, hash 04c4921, HEAD~558
2021-07-03 20:28:51,822 DEBUG                  - depth 2, hash 41afc6c, HEAD~640
2021-07-03 20:28:51,826 DEBUG                  - depth 3, hash 46ad24d, HEAD~838
2021-07-03 20:28:51,830 DEBUG                  - depth 4, hash 8822084, HEAD~923
2021-07-03 20:28:52,193 DEBUG    [line range] org/apache/commons/compress/archivers/tar/TarUtils.java exceptionMessage 160:166
2021-07-03 20:28:52,228 DEBUG                  - depth 0, hash 35e4e4f, HEAD~298
2021-07-03 20:28:52,233 DEBUG    [line range] org/apache/commons/compress/archivers/tar/TarUtils.java parseName 178:191
2021-07-03 20:28:52,270 DEBUG                  - depth 0, hash 2d858d5, HEAD~309
2021-07-03 20:28:52,275 DEBUG                  - depth 1, hash 1d55670, HEAD~573
2021-07-03 20:28:52,280 DEBUG                  - depth 2, hash ae3c158, HEAD~596
2021-07-03 20:28:52,284 DEBUG                  - depth 3, hash 46ad24d, HEAD~838
2021-07-03 20:28:52,288 DEBUG                  - depth 4, hash 8822084, HEAD~923
2021-07-03 20:28:52,292 DEBUG    [line range] org/apache/commons/compress/archivers/tar/TarUtils.java parseOctal 51:107
2021-07-03 20:28:52,328 DEBUG                  - depth 0, hash 35e4e4f, HEAD~298
2021-07-03 20:28:52,334 DEBUG                  - depth 1, hash 1d55670, HEAD~573
2021-07-03 20:28:52,338 DEBUG                  - depth 2, hash ae3c158, HEAD~596
2021-07-03 20:28:52,342 DEBUG                  - depth 3, hash 46ad24d, HEAD~838
2021-07-03 20:28:52,346 DEBUG                  - depth 4, hash 8822084, HEAD~923
2021-07-03 20:28:52,351 DEBUG    [line range] org/apache/commons/compress/archivers/tar/TarUtils.java parseOctalOrBinary 126:143
2021-07-03 20:28:52,385 DEBUG                  - depth 0, hash 6846564, HEAD~23
2021-07-03 20:28:52,391 INFO     The number of BIC candidates: 42
