2021-07-03 20:16:41,327 INFO     Search BICs for /tmp/Codec-13b/
2021-07-03 20:16:41,328 DEBUG    Reading the coverage of org.apache.commons.codec.language.DoubleMetaphoneTest::testIsDoubleMetaphoneEqualBasic (failings)
2021-07-03 20:16:41,332 DEBUG    Reading the coverage of org.apache.commons.codec.language.DoubleMetaphoneTest::testCodec184 (failings)
2021-07-03 20:16:41,336 INFO     Loaded 2x15 Coverage Matrix
2021-07-03 20:16:41,336 INFO     The number of total commits: 1332
2021-07-03 20:16:41,773 DEBUG    [line range] org/apache/commons/codec/language/DoubleMetaphone.java <clinit> 47:48
2021-07-03 20:16:41,826 DEBUG                  - depth 0, hash 76c125c, HEAD~255
2021-07-03 20:16:41,831 DEBUG                  - depth 1, hash b66d41a, HEAD~279
2021-07-03 20:16:41,836 DEBUG                  - depth 2, hash 727432f, HEAD~1299
2021-07-03 20:16:41,840 DEBUG    [line range] org/apache/commons/codec/language/DoubleMetaphone.java <init> 59:59
2021-07-03 20:16:41,891 DEBUG                  - depth 0, hash fbdf624, HEAD~650
2021-07-03 20:16:41,897 DEBUG                  - depth 1, hash 5612674, HEAD~1282
2021-07-03 20:16:41,901 DEBUG                  - depth 2, hash 727432f, HEAD~1299
2021-07-03 20:16:41,905 DEBUG    [line range] org/apache/commons/codec/language/DoubleMetaphone.java cleanInput 887:896
2021-07-03 20:16:41,957 DEBUG                  - depth 0, hash d911f5f, HEAD~913
2021-07-03 20:16:41,963 DEBUG                  - depth 1, hash 52d82d1, HEAD~918
2021-07-03 20:16:41,967 DEBUG                  - depth 2, hash 3ac0571, HEAD~1082
2021-07-03 20:16:41,971 DEBUG                  - depth 3, hash 727432f, HEAD~1299
2021-07-03 20:16:41,975 DEBUG    [line range] org/apache/commons/codec/language/DoubleMetaphone.java doubleMetaphone 85:190
2021-07-03 20:16:42,028 DEBUG                  - depth 0, hash ab1ee1b, HEAD~147
2021-07-03 20:16:42,033 DEBUG                  - depth 1, hash b66d41a, HEAD~279
2021-07-03 20:16:42,037 DEBUG                  - depth 2, hash f8c987f, HEAD~636
2021-07-03 20:16:42,041 DEBUG                  - depth 3, hash 9a0aebb, HEAD~1215
2021-07-03 20:16:42,046 DEBUG                  - depth 4, hash 124b73f, HEAD~1238
2021-07-03 20:16:42,050 DEBUG                  - depth 5, hash e5afc85, HEAD~1296
2021-07-03 20:16:42,054 DEBUG                  - depth 6, hash f0ff6ed, HEAD~1297
2021-07-03 20:16:42,058 DEBUG                  - depth 7, hash 727432f, HEAD~1299
2021-07-03 20:16:42,062 DEBUG    [line range] org/apache/commons/codec/language/DoubleMetaphone.java isDoubleMetaphoneEqual 243:245
2021-07-03 20:16:42,116 DEBUG                  - depth 0, hash ab1ee1b, HEAD~147
2021-07-03 20:16:42,121 DEBUG                  - depth 1, hash 76c125c, HEAD~255
2021-07-03 20:16:42,125 DEBUG                  - depth 2, hash b66d41a, HEAD~279
2021-07-03 20:16:42,129 DEBUG                  - depth 3, hash e5afc85, HEAD~1296
2021-07-03 20:16:42,134 DEBUG                  - depth 4, hash 727432f, HEAD~1299
2021-07-03 20:16:42,138 INFO     The number of BIC candidates: 14
