2021-07-04 05:02:43,320 INFO     Search BICs for /tmp/Jsoup-87b/
2021-07-04 05:02:43,320 DEBUG    Reading the coverage of org.jsoup.parser.HtmlParserTest::preservedCaseLinksCantNest (failings)
2021-07-04 05:02:43,407 INFO     Loaded 1x1148 Coverage Matrix
2021-07-04 05:02:43,407 INFO     The number of total commits: 1204
2021-07-04 05:02:43,699 DEBUG    [line range] org/jsoup/helper/ChangeNotifyingArrayList.java <init> 10:12
2021-07-04 05:02:43,734 DEBUG                  - depth 0, hash 38049ce, HEAD~205
2021-07-04 05:02:43,740 DEBUG    [line range] org/jsoup/helper/ChangeNotifyingArrayList.java add 22:26
2021-07-04 05:02:43,775 DEBUG                  - depth 0, hash 38049ce, HEAD~205
2021-07-04 05:02:44,093 DEBUG    [line range] org/jsoup/helper/Validate.java isFalse 52:55
2021-07-04 05:02:44,130 DEBUG                  - depth 0, hash 8749726, HEAD~807
2021-07-04 05:02:44,135 DEBUG    [line range] org/jsoup/helper/Validate.java isFalse 62:65
2021-07-04 05:02:44,170 DEBUG                  - depth 0, hash 8749726, HEAD~807
2021-07-04 05:02:44,176 DEBUG    [line range] org/jsoup/helper/Validate.java isTrue 33:36
2021-07-04 05:02:44,212 DEBUG                  - depth 0, hash 18e9a8f, HEAD~946
2021-07-04 05:02:44,217 DEBUG    [line range] org/jsoup/helper/Validate.java isTrue 43:46
2021-07-04 05:02:44,253 DEBUG                  - depth 0, hash 18e9a8f, HEAD~946
2021-07-04 05:02:44,259 DEBUG    [line range] org/jsoup/helper/Validate.java notEmpty 90:93
2021-07-04 05:02:44,294 DEBUG                  - depth 0, hash 18e9a8f, HEAD~946
2021-07-04 05:02:44,299 DEBUG    [line range] org/jsoup/helper/Validate.java notNull 14:17
2021-07-04 05:02:44,335 DEBUG                  - depth 0, hash 18e9a8f, HEAD~946
2021-07-04 05:02:44,340 DEBUG    [line range] org/jsoup/helper/Validate.java notNull 24:27
2021-07-04 05:02:44,376 DEBUG                  - depth 0, hash 18e9a8f, HEAD~946
2021-07-04 05:02:44,671 DEBUG    [line range] org/jsoup/internal/Normalizer.java lowerCase 10:12
2021-07-04 05:02:44,706 DEBUG                  - depth 0, hash 8808e3f, HEAD~83
2021-07-04 05:02:44,712 DEBUG                  - depth 1, hash 42c0a0e, HEAD~183
2021-07-04 05:02:44,716 DEBUG                  - depth 2, hash 8121d8c, HEAD~209
2021-07-04 05:02:45,063 DEBUG    [line range] org/jsoup/internal/StringUtil.java <clinit> 17:19
2021-07-04 05:02:45,100 DEBUG                  - depth 0, hash ea1fb65, HEAD~159
2021-07-04 05:02:45,106 DEBUG                  - depth 1, hash 18e9a8f, HEAD~946
2021-07-04 05:02:45,110 DEBUG    [line range] org/jsoup/internal/StringUtil.java appendNormalisedWhitespace 157:177
2021-07-04 05:02:45,147 DEBUG                  - depth 0, hash c3f8caa, HEAD~75
2021-07-04 05:02:45,152 DEBUG                  - depth 1, hash d3f0240, HEAD~166
2021-07-04 05:02:45,156 DEBUG                  - depth 2, hash d6fd163, HEAD~579
2021-07-04 05:02:45,160 DEBUG                  - depth 3, hash 82f8683, HEAD~682
2021-07-04 05:02:45,164 DEBUG                  - depth 4, hash dd4b682, HEAD~744
2021-07-04 05:02:45,168 DEBUG                  - depth 5, hash e8e29ca, HEAD~945
2021-07-04 05:02:45,172 DEBUG    [line range] org/jsoup/internal/StringUtil.java borrowBuilder 242:248
2021-07-04 05:02:45,209 DEBUG                  - depth 0, hash c8c0569, HEAD~13
2021-07-04 05:02:45,215 DEBUG                  - depth 1, hash 5e386d5, HEAD~164
2021-07-04 05:02:45,219 DEBUG                  - depth 2, hash c63ccf8, HEAD~165
2021-07-04 05:02:45,223 DEBUG    [line range] org/jsoup/internal/StringUtil.java in 179:186
2021-07-04 05:02:45,259 DEBUG                  - depth 0, hash fb8b60b, HEAD~106
2021-07-04 05:02:45,265 DEBUG                  - depth 1, hash 8749726, HEAD~807
2021-07-04 05:02:45,269 DEBUG    [line range] org/jsoup/internal/StringUtil.java inSorted 188:190
2021-07-04 05:02:45,306 DEBUG                  - depth 0, hash 8c43a81, HEAD~353
2021-07-04 05:02:45,312 DEBUG    [line range] org/jsoup/internal/StringUtil.java isActuallyWhitespace 129:132
2021-07-04 05:02:45,350 DEBUG                  - depth 0, hash d3f0240, HEAD~166
2021-07-04 05:02:45,355 DEBUG    [line range] org/jsoup/internal/StringUtil.java isBlank 85:95
2021-07-04 05:02:45,393 DEBUG                  - depth 0, hash dd4b682, HEAD~744
2021-07-04 05:02:45,398 DEBUG                  - depth 1, hash 18e9a8f, HEAD~946
2021-07-04 05:02:45,402 DEBUG    [line range] org/jsoup/internal/StringUtil.java isInvisibleChar 134:137
2021-07-04 05:02:45,439 DEBUG                  - depth 0, hash c3f8caa, HEAD~75
2021-07-04 05:02:45,444 DEBUG    [line range] org/jsoup/internal/StringUtil.java isWhitespace 120:122
2021-07-04 05:02:45,481 DEBUG                  - depth 0, hash 84ab3d3, HEAD~739
2021-07-04 05:02:45,486 DEBUG                  - depth 1, hash dd4b682, HEAD~744
2021-07-04 05:02:45,490 DEBUG    [line range] org/jsoup/internal/StringUtil.java normaliseWhitespace 145:149
2021-07-04 05:02:45,527 DEBUG                  - depth 0, hash c8c0569, HEAD~13
2021-07-04 05:02:45,532 DEBUG                  - depth 1, hash 5e386d5, HEAD~164
2021-07-04 05:02:45,536 DEBUG                  - depth 2, hash d6fd163, HEAD~579
2021-07-04 05:02:45,540 DEBUG                  - depth 3, hash e8e29ca, HEAD~945
2021-07-04 05:02:45,544 DEBUG    [line range] org/jsoup/internal/StringUtil.java padding 68:78
2021-07-04 05:02:45,582 DEBUG                  - depth 0, hash ea1fb65, HEAD~159
2021-07-04 05:02:45,588 DEBUG                  - depth 1, hash 18e9a8f, HEAD~946
2021-07-04 05:02:45,592 DEBUG    [line range] org/jsoup/internal/StringUtil.java releaseBuilder 256:273
2021-07-04 05:02:45,629 DEBUG                  - depth 0, hash c8c0569, HEAD~13
2021-07-04 05:02:45,635 DEBUG                  - depth 1, hash 5e386d5, HEAD~164
2021-07-04 05:02:45,639 DEBUG                  - depth 2, hash c63ccf8, HEAD~165
2021-07-04 05:02:45,643 DEBUG                  - depth 3, hash 1e09df6, HEAD~355
2021-07-04 05:02:46,010 DEBUG    [line range] org/jsoup/nodes/Attributes.java <clinit> 39:39
2021-07-04 05:02:46,046 DEBUG                  - depth 0, hash ea1fb65, HEAD~159
2021-07-04 05:02:46,051 DEBUG    [line range] org/jsoup/nodes/Attributes.java <init> 43:43
2021-07-04 05:02:46,087 DEBUG                  - depth 0, hash ea1fb65, HEAD~159
2021-07-04 05:02:46,092 DEBUG    [single line]   org/jsoup/nodes/Attributes.java access$400 33
2021-07-04 05:02:46,130 DEBUG                  - depth 0, hash 5ca6b40, HEAD~888
2021-07-04 05:02:46,135 DEBUG                  - depth 1, hash 2f0a7bf, HEAD~1175
2021-07-04 05:02:46,139 DEBUG                  - depth 2, hash a657d09, HEAD~1191
2021-07-04 05:02:46,143 DEBUG    [line range] org/jsoup/nodes/Attributes.java equals 338:348
2021-07-04 05:02:46,182 DEBUG                  - depth 0, hash ea1fb65, HEAD~159
2021-07-04 05:02:46,187 DEBUG                  - depth 1, hash 6569bb7, HEAD~281
2021-07-04 05:02:46,191 DEBUG                  - depth 2, hash 288b76e, HEAD~476
2021-07-04 05:02:46,195 DEBUG                  - depth 3, hash d8dbde8, HEAD~1099
2021-07-04 05:02:46,199 DEBUG                  - depth 4, hash 1f3cfcf, HEAD~1168
2021-07-04 05:02:46,204 DEBUG                  - depth 5, hash a29e8b5, HEAD~1188
2021-07-04 05:02:46,208 DEBUG    [line range] org/jsoup/nodes/Attributes.java html 311:326
2021-07-04 05:02:46,247 DEBUG                  - depth 0, hash f627193, HEAD~58
2021-07-04 05:02:46,253 DEBUG                  - depth 1, hash ea1fb65, HEAD~159
2021-07-04 05:02:46,257 DEBUG                  - depth 2, hash 6569bb7, HEAD~281
2021-07-04 05:02:46,261 DEBUG                  - depth 3, hash c850608, HEAD~311
2021-07-04 05:02:46,265 DEBUG                  - depth 4, hash 43e17dc, HEAD~493
2021-07-04 05:02:46,269 DEBUG                  - depth 5, hash 8749726, HEAD~807
2021-07-04 05:02:46,273 DEBUG                  - depth 6, hash 7568b91, HEAD~944
2021-07-04 05:02:46,277 DEBUG                  - depth 7, hash 57bce6d, HEAD~957
2021-07-04 05:02:46,281 DEBUG                  - depth 8, hash 6b0dd15, HEAD~987
2021-07-04 05:02:46,286 DEBUG                  - depth 9, hash ac95e9f, HEAD~1171
2021-07-04 05:02:46,290 DEBUG                  - depth 10, hash 2f0a7bf, HEAD~1175
2021-07-04 05:02:46,294 DEBUG                  - depth 11, hash a29e8b5, HEAD~1188
2021-07-04 05:02:46,685 DEBUG    [line range] org/jsoup/nodes/Document.java <init> 20:20
2021-07-04 05:02:46,724 DEBUG                  - depth 0, hash 57bce6d, HEAD~957
2021-07-04 05:02:46,729 DEBUG    [line range] org/jsoup/nodes/Document.java body 75:77
