2021-07-03 21:13:57,039 INFO     Search BICs for /tmp/JacksonCore-22b/
2021-07-03 21:13:57,039 DEBUG    Reading the coverage of com.fasterxml.jackson.core.filter.BasicParserFilteringTest::testIndexMatchWithPath1 (failings)
2021-07-03 21:13:57,165 DEBUG    Reading the coverage of com.fasterxml.jackson.core.filter.BasicParserFilteringTest::testNotAllowMultipleMatchesWithoutPath1 (failings)
2021-07-03 21:13:57,284 DEBUG    Reading the coverage of com.fasterxml.jackson.core.filter.BasicParserFilteringTest::testMultipleMatchFilteringWithPath1 (failings)
2021-07-03 21:13:57,407 DEBUG    Reading the coverage of com.fasterxml.jackson.core.filter.BasicParserFilteringTest::testMultipleMatchFilteringWithPath3 (failings)
2021-07-03 21:13:57,537 DEBUG    Reading the coverage of com.fasterxml.jackson.core.filter.BasicParserFilteringTest::testSingleMatchFilteringWithoutPath (failings)
2021-07-03 21:13:57,670 DEBUG    Reading the coverage of com.fasterxml.jackson.core.filter.BasicParserFilteringTest::testMultipleMatchFilteringWithPath2 (failings)
2021-07-03 21:13:57,798 DEBUG    Reading the coverage of com.fasterxml.jackson.core.filter.BasicParserFilteringTest::testAllowMultipleMatchesWithPath1 (failings)
2021-07-03 21:13:57,930 DEBUG    Reading the coverage of com.fasterxml.jackson.core.filter.BasicParserFilteringTest::testAllowMultipleMatchesWithPath2 (failings)
2021-07-03 21:13:58,060 DEBUG    Reading the coverage of com.fasterxml.jackson.core.filter.BasicParserFilteringTest::testNotAllowMultipleMatchesWithoutPath2 (failings)
2021-07-03 21:13:58,179 DEBUG    Reading the coverage of com.fasterxml.jackson.core.filter.BasicParserFilteringTest::testAllowMultipleMatchesWithoutPath (failings)
2021-07-03 21:13:58,325 DEBUG    Reading the coverage of com.fasterxml.jackson.core.filter.BasicParserFilteringTest::testIndexMatchWithPath2 (failings)
2021-07-03 21:13:58,454 DEBUG    Reading the coverage of com.fasterxml.jackson.core.filter.BasicParserFilteringTest::testSingleMatchFilteringWithPath (failings)
2021-07-03 21:13:58,581 INFO     Loaded 12x1282 Coverage Matrix
2021-07-03 21:13:58,582 INFO     The number of total commits: 1286
2021-07-03 21:13:59,048 DEBUG    [line range] com/fasterxml/jackson/core/JsonFactory.java <clinit> 163:163
2021-07-03 21:13:59,102 DEBUG                  - depth 0, hash 7b796a8, HEAD~1043
2021-07-03 21:13:59,108 DEBUG                  - depth 1, hash 0735190, HEAD~1254
2021-07-03 21:13:59,112 DEBUG    [line range] com/fasterxml/jackson/core/JsonFactory.java <init> 285:285
2021-07-03 21:13:59,168 DEBUG                  - depth 0, hash 2bba5dd, HEAD~892
2021-07-03 21:13:59,173 DEBUG                  - depth 1, hash 7b796a8, HEAD~1043
2021-07-03 21:13:59,177 DEBUG                  - depth 2, hash f15531c, HEAD~1280
2021-07-03 21:13:59,181 DEBUG    [line range] com/fasterxml/jackson/core/JsonFactory.java <init> 198:198
2021-07-03 21:13:59,235 DEBUG                  - depth 0, hash 95f76a4, HEAD~1138
2021-07-03 21:13:59,240 DEBUG                  - depth 1, hash f15531c, HEAD~1280
2021-07-03 21:13:59,245 DEBUG    [line range] com/fasterxml/jackson/core/JsonFactory.java <init> 287:287
2021-07-03 21:13:59,298 DEBUG                  - depth 0, hash f15531c, HEAD~1280
2021-07-03 21:13:59,304 DEBUG    [line range] com/fasterxml/jackson/core/JsonFactory.java _createContext 1561:1563
2021-07-03 21:13:59,353 DEBUG                  - depth 0, hash 896000f, HEAD~863
2021-07-03 21:13:59,358 DEBUG    [line range] com/fasterxml/jackson/core/JsonFactory.java _createGenerator 1408:1420
2021-07-03 21:13:59,414 DEBUG                  - depth 0, hash efc2367, HEAD~912
2021-07-03 21:13:59,419 DEBUG                  - depth 1, hash 6819492, HEAD~1109
2021-07-03 21:13:59,423 DEBUG                  - depth 2, hash e6dfc69, HEAD~1147
2021-07-03 21:13:59,428 DEBUG                  - depth 3, hash ec30027, HEAD~1185
2021-07-03 21:13:59,432 DEBUG                  - depth 4, hash eeb2fbd, HEAD~1200
2021-07-03 21:13:59,436 DEBUG                  - depth 5, hash f15531c, HEAD~1280
2021-07-03 21:13:59,440 DEBUG    [line range] com/fasterxml/jackson/core/JsonFactory.java _createParser 1349:1354
2021-07-03 21:13:59,490 DEBUG                  - depth 0, hash 0541b3b, HEAD~777
2021-07-03 21:13:59,496 DEBUG                  - depth 1, hash 475a99b, HEAD~850
2021-07-03 21:13:59,500 DEBUG                  - depth 2, hash 64aa9d2, HEAD~865
2021-07-03 21:13:59,504 DEBUG    [line range] com/fasterxml/jackson/core/JsonFactory.java _decorate 1516:1524
2021-07-03 21:13:59,555 DEBUG                  - depth 0, hash 896000f, HEAD~863
2021-07-03 21:13:59,560 DEBUG    [line range] com/fasterxml/jackson/core/JsonFactory.java _getBufferRecycler 1538:1555
2021-07-03 21:13:59,617 DEBUG                  - depth 0, hash ddec51c, HEAD~98
2021-07-03 21:13:59,622 DEBUG                  - depth 1, hash 833de41, HEAD~209
2021-07-03 21:13:59,626 DEBUG                  - depth 2, hash 8891c0c, HEAD~514
