2021-07-03 20:48:52,747 INFO     Search BICs for /tmp/Csv-1b/
2021-07-03 20:48:52,747 DEBUG    Reading the coverage of org.apache.commons.csv.CSVParserTest::testGetLineNumberWithCR (failings)
2021-07-03 20:48:52,751 INFO     Loaded 1x146 Coverage Matrix
2021-07-03 20:48:52,751 INFO     The number of total commits: 261
2021-07-03 20:48:53,105 DEBUG    [line range] org/apache/commons/csv/CSVFormat.java <clinit> 56:56
2021-07-03 20:48:53,116 DEBUG                  - depth 0, hash e857ebf, HEAD~6
2021-07-03 20:48:53,122 DEBUG                  - depth 1, hash 38741a4, HEAD~7
2021-07-03 20:48:53,126 DEBUG                  - depth 2, hash 75bd702, HEAD~30
2021-07-03 20:48:53,131 DEBUG    [line range] org/apache/commons/csv/CSVFormat.java <init> 142:159
2021-07-03 20:48:53,144 DEBUG                  - depth 0, hash 38741a4, HEAD~7
2021-07-03 20:48:53,149 DEBUG                  - depth 1, hash c9dedff, HEAD~42
2021-07-03 20:48:53,153 DEBUG                  - depth 2, hash aee6c50, HEAD~48
2021-07-03 20:48:53,157 DEBUG                  - depth 3, hash 740a1b6, HEAD~73
2021-07-03 20:48:53,161 DEBUG                  - depth 4, hash 4f3ef66, HEAD~96
2021-07-03 20:48:53,165 DEBUG                  - depth 5, hash cb99634, HEAD~122
2021-07-03 20:48:53,169 DEBUG                  - depth 6, hash 42476f4, HEAD~123
2021-07-03 20:48:53,173 DEBUG                  - depth 7, hash be3cb01, HEAD~126
2021-07-03 20:48:53,178 DEBUG                  - depth 8, hash 43b777b, HEAD~128
2021-07-03 20:48:53,182 DEBUG                  - depth 9, hash 1166ca6, HEAD~134
2021-07-03 20:48:53,186 DEBUG                  - depth 10, hash 9acb622, HEAD~163
2021-07-03 20:48:53,190 DEBUG                  - depth 11, hash 086f434, HEAD~167
2021-07-03 20:48:53,194 DEBUG                  - depth 12, hash b55fb21, HEAD~168
2021-07-03 20:48:53,198 DEBUG                  - depth 13, hash eac54a2, HEAD~239
2021-07-03 20:48:53,202 DEBUG    [line range] org/apache/commons/csv/CSVFormat.java getCommentStart 254:256
2021-07-03 20:48:53,215 DEBUG                  - depth 0, hash 42476f4, HEAD~123
2021-07-03 20:48:53,220 DEBUG                  - depth 1, hash 1166ca6, HEAD~134
2021-07-03 20:48:53,224 DEBUG                  - depth 2, hash eac54a2, HEAD~239
2021-07-03 20:48:53,228 DEBUG    [line range] org/apache/commons/csv/CSVFormat.java getDelimiter 202:204
2021-07-03 20:48:53,240 DEBUG                  - depth 0, hash 42476f4, HEAD~123
2021-07-03 20:48:53,246 DEBUG                  - depth 1, hash 1166ca6, HEAD~134
2021-07-03 20:48:53,250 DEBUG                  - depth 2, hash 9acb622, HEAD~163
2021-07-03 20:48:53,254 DEBUG                  - depth 3, hash 086f434, HEAD~167
2021-07-03 20:48:53,258 DEBUG                  - depth 4, hash b55fb21, HEAD~168
2021-07-03 20:48:53,262 DEBUG    [line range] org/apache/commons/csv/CSVFormat.java getEncapsulator 226:228
2021-07-03 20:48:53,275 DEBUG                  - depth 0, hash 42476f4, HEAD~123
2021-07-03 20:48:53,280 DEBUG                  - depth 1, hash 1166ca6, HEAD~134
2021-07-03 20:48:53,284 DEBUG                  - depth 2, hash 9acb622, HEAD~163
2021-07-03 20:48:53,288 DEBUG                  - depth 3, hash 086f434, HEAD~167
2021-07-03 20:48:53,292 DEBUG                  - depth 4, hash b55fb21, HEAD~168
2021-07-03 20:48:53,296 DEBUG    [line range] org/apache/commons/csv/CSVFormat.java getEscape 287:289
2021-07-03 20:48:53,309 DEBUG                  - depth 0, hash 42476f4, HEAD~123
2021-07-03 20:48:53,314 DEBUG                  - depth 1, hash 1166ca6, HEAD~134
2021-07-03 20:48:53,318 DEBUG                  - depth 2, hash eac54a2, HEAD~239
2021-07-03 20:48:53,322 DEBUG    [line range] org/apache/commons/csv/CSVFormat.java getHeader 370:372
2021-07-03 20:48:53,335 DEBUG                  - depth 0, hash aee6c50, HEAD~48
2021-07-03 20:48:53,340 DEBUG                  - depth 1, hash 740a1b6, HEAD~73
2021-07-03 20:48:53,344 DEBUG                  - depth 2, hash 70337be, HEAD~112
2021-07-03 20:48:53,348 DEBUG                  - depth 3, hash cb99634, HEAD~122
2021-07-03 20:48:53,352 DEBUG                  - depth 4, hash 42476f4, HEAD~123
2021-07-03 20:48:53,356 DEBUG                  - depth 5, hash 1166ca6, HEAD~134
2021-07-03 20:48:53,360 DEBUG                  - depth 6, hash 02b2146, HEAD~146
2021-07-03 20:48:53,365 DEBUG    [line range] org/apache/commons/csv/CSVFormat.java isCommentingEnabled 278:280
2021-07-03 20:48:53,377 DEBUG                  - depth 0, hash 9fb2b4f, HEAD~31
2021-07-03 20:48:53,383 DEBUG                  - depth 1, hash 9cb66ca, HEAD~116
2021-07-03 20:48:53,387 DEBUG                  - depth 2, hash 1166ca6, HEAD~134
2021-07-03 20:48:53,391 DEBUG                  - depth 3, hash eac54a2, HEAD~239
2021-07-03 20:48:53,395 DEBUG    [line range] org/apache/commons/csv/CSVFormat.java isEmptyLinesIgnored 335:337
2021-07-03 20:48:53,408 DEBUG                  - depth 0, hash 42476f4, HEAD~123
2021-07-03 20:48:53,413 DEBUG                  - depth 1, hash 1166ca6, HEAD~134
2021-07-03 20:48:53,417 DEBUG                  - depth 2, hash 9acb622, HEAD~163
2021-07-03 20:48:53,421 DEBUG                  - depth 3, hash 086f434, HEAD~167
2021-07-03 20:48:53,425 DEBUG    [line range] org/apache/commons/csv/CSVFormat.java isEncapsulating 245:247
2021-07-03 20:48:53,437 DEBUG                  - depth 0, hash 9cb66ca, HEAD~116
2021-07-03 20:48:53,442 DEBUG    [line range] org/apache/commons/csv/CSVFormat.java isEscaping 306:308
2021-07-03 20:48:53,454 DEBUG                  - depth 0, hash 9cb66ca, HEAD~116
2021-07-03 20:48:53,460 DEBUG    [line range] org/apache/commons/csv/CSVFormat.java isLineBreak 168:170
2021-07-03 20:48:53,471 DEBUG                  - depth 0, hash a65806a, HEAD~85
2021-07-03 20:48:53,477 DEBUG    [line range] org/apache/commons/csv/CSVFormat.java isSurroundingSpacesIgnored 315:317
2021-07-03 20:48:53,489 DEBUG                  - depth 0, hash 38741a4, HEAD~7
2021-07-03 20:48:53,495 DEBUG                  - depth 1, hash c9dedff, HEAD~42
2021-07-03 20:48:53,499 DEBUG                  - depth 2, hash aee6c50, HEAD~48
2021-07-03 20:48:53,503 DEBUG                  - depth 3, hash 740a1b6, HEAD~73
2021-07-03 20:48:53,507 DEBUG                  - depth 4, hash 194e21c, HEAD~91
2021-07-03 20:48:53,511 DEBUG                  - depth 5, hash 70337be, HEAD~112
2021-07-03 20:48:53,515 DEBUG                  - depth 6, hash cb99634, HEAD~122
2021-07-03 20:48:53,519 DEBUG                  - depth 7, hash 42476f4, HEAD~123
2021-07-03 20:48:53,524 DEBUG                  - depth 8, hash 1166ca6, HEAD~134
2021-07-03 20:48:53,528 DEBUG                  - depth 9, hash f6f9fc1, HEAD~234
2021-07-03 20:48:53,532 DEBUG                  - depth 10, hash eac54a2, HEAD~239
2021-07-03 20:48:53,536 DEBUG    [line range] org/apache/commons/csv/CSVFormat.java validate 175:195
2021-07-03 20:48:53,548 DEBUG                  - depth 0, hash a65806a, HEAD~85
2021-07-03 20:48:53,553 DEBUG    [line range] org/apache/commons/csv/CSVFormat.java withDelimiter 213:219
2021-07-03 20:48:53,566 DEBUG                  - depth 0, hash 38741a4, HEAD~7
2021-07-03 20:48:53,571 DEBUG                  - depth 1, hash c9dedff, HEAD~42
2021-07-03 20:48:53,575 DEBUG                  - depth 2, hash aee6c50, HEAD~48
2021-07-03 20:48:53,579 DEBUG                  - depth 3, hash 740a1b6, HEAD~73
2021-07-03 20:48:53,583 DEBUG                  - depth 4, hash a65806a, HEAD~85
2021-07-03 20:48:53,587 DEBUG                  - depth 5, hash 70337be, HEAD~112
2021-07-03 20:48:53,591 DEBUG                  - depth 6, hash 2598862, HEAD~113
