2021-07-04 05:54:09,352 INFO     Search BICs for /tmp/Lang-49b/
2021-07-04 05:54:09,352 DEBUG    Reading the coverage of org.apache.commons.lang.math.FractionTest::testReduce (failings)
2021-07-04 05:54:09,355 INFO     Loaded 1x46 Coverage Matrix
2021-07-04 05:54:09,355 INFO     The number of total commits: 1735
2021-07-04 05:54:09,765 DEBUG    [line range] org/apache/commons/lang/math/Fraction.java <clinit> 48:48
2021-07-04 05:54:09,820 DEBUG                  - depth 0, hash 7e8976d, HEAD~1485
2021-07-04 05:54:09,826 DEBUG    [line range] org/apache/commons/lang/math/Fraction.java <init> 107:107
2021-07-04 05:54:09,881 DEBUG                  - depth 0, hash 7e8976d, HEAD~1485
2021-07-04 05:54:09,887 DEBUG    [line range] org/apache/commons/lang/math/Fraction.java getDenominator 376:378
2021-07-04 05:54:09,942 DEBUG                  - depth 0, hash 7e8976d, HEAD~1485
2021-07-04 05:54:09,947 DEBUG    [line range] org/apache/commons/lang/math/Fraction.java getFraction 141:154
2021-07-04 05:54:10,002 DEBUG                  - depth 0, hash 9a662f1, HEAD~811
2021-07-04 05:54:10,007 DEBUG                  - depth 1, hash 7e8976d, HEAD~1485
2021-07-04 05:54:10,011 DEBUG    [line range] org/apache/commons/lang/math/Fraction.java getNumerator 367:369
2021-07-04 05:54:10,066 DEBUG                  - depth 0, hash 7e8976d, HEAD~1485
2021-07-04 05:54:10,072 DEBUG    [line range] org/apache/commons/lang/math/Fraction.java greatestCommonDivisor 569:611
2021-07-04 05:54:10,127 DEBUG                  - depth 0, hash dcdea66, HEAD~4
2021-07-04 05:54:10,132 DEBUG                  - depth 1, hash 9a662f1, HEAD~811
2021-07-04 05:54:10,136 DEBUG                  - depth 2, hash ab37790, HEAD~1100
2021-07-04 05:54:10,140 DEBUG                  - depth 3, hash 7e8976d, HEAD~1485
2021-07-04 05:54:10,144 DEBUG    [line range] org/apache/commons/lang/math/Fraction.java reduce 465:471
2021-07-04 05:54:10,199 DEBUG                  - depth 0, hash ed2a8da, HEAD~435
2021-07-04 05:54:10,205 DEBUG                  - depth 1, hash ab37790, HEAD~1100
2021-07-04 05:54:10,209 DEBUG                  - depth 2, hash 19858f5, HEAD~1118
2021-07-04 05:54:10,213 DEBUG                  - depth 3, hash 7e8976d, HEAD~1485
2021-07-04 05:54:10,217 INFO     The number of BIC candidates: 6
