2021-07-03 07:37:54,595 INFO     Search BICs for /tmp/Cli-31b/
2021-07-03 07:37:54,595 DEBUG    Reading the coverage of org.apache.commons.cli.HelpFormatterTest::testDefaultArgName (failings)
2021-07-03 07:37:54,600 INFO     Loaded 1x141 Coverage Matrix
2021-07-03 07:37:54,601 INFO     The number of total commits: 629
2021-07-03 07:37:55,000 DEBUG    [single line]   org/apache/commons/cli/HelpFormatter.java <init> 35
2021-07-03 07:37:55,025 DEBUG                  - depth 0, hash 147df44, HEAD~145
2021-07-03 07:37:55,031 DEBUG                  - depth 1, hash 9b2b803, HEAD~544
2021-07-03 07:37:55,035 DEBUG                  - depth 2, hash 6bcbf15, HEAD~550
2021-07-03 07:37:55,039 DEBUG                  - depth 3, hash 4c34483, HEAD~555
2021-07-03 07:37:55,043 DEBUG                  - depth 4, hash a021283, HEAD~575
2021-07-03 07:37:55,047 DEBUG                  - depth 5, hash 62670f5, HEAD~577
2021-07-03 07:37:55,052 DEBUG                  - depth 6, hash 821b85f, HEAD~582
2021-07-03 07:37:55,056 DEBUG                  - depth 7, hash c712732, HEAD~609
2021-07-03 07:37:55,060 DEBUG                  - depth 8, hash 4dcbfa6, HEAD~611
2021-07-03 07:37:55,064 DEBUG                  - depth 9, hash 4cca25d, HEAD~624
2021-07-03 07:37:55,068 DEBUG                  - depth 10, hash aae50c5, HEAD~627
2021-07-03 07:37:55,072 DEBUG    [line range] org/apache/commons/cli/HelpFormatter.java <init> 74:74
2021-07-03 07:37:55,098 DEBUG                  - depth 0, hash c29455d, HEAD~303
2021-07-03 07:37:55,103 DEBUG                  - depth 1, hash 9b2b803, HEAD~544
2021-07-03 07:37:55,107 DEBUG                  - depth 2, hash 6bcbf15, HEAD~550
2021-07-03 07:37:55,111 DEBUG                  - depth 3, hash 4c34483, HEAD~555
2021-07-03 07:37:55,115 DEBUG                  - depth 4, hash a021283, HEAD~575
2021-07-03 07:37:55,120 DEBUG                  - depth 5, hash 62670f5, HEAD~577
2021-07-03 07:37:55,124 DEBUG                  - depth 6, hash 821b85f, HEAD~582
2021-07-03 07:37:55,128 DEBUG                  - depth 7, hash c712732, HEAD~609
2021-07-03 07:37:55,132 DEBUG                  - depth 8, hash 4dcbfa6, HEAD~611
2021-07-03 07:37:55,136 DEBUG                  - depth 9, hash 4cca25d, HEAD~624
2021-07-03 07:37:55,140 DEBUG                  - depth 10, hash aae50c5, HEAD~627
2021-07-03 07:37:55,145 DEBUG    [line range] org/apache/commons/cli/HelpFormatter.java appendOption 636:664
2021-07-03 07:37:55,170 DEBUG                  - depth 0, hash 180a16d, HEAD~16
2021-07-03 07:37:55,176 DEBUG                  - depth 1, hash 147df44, HEAD~145
2021-07-03 07:37:55,180 DEBUG                  - depth 2, hash d36adeb, HEAD~198
2021-07-03 07:37:55,184 DEBUG                  - depth 3, hash 9b2b803, HEAD~544
2021-07-03 07:37:55,188 DEBUG                  - depth 4, hash 6bcbf15, HEAD~550
2021-07-03 07:37:55,192 DEBUG                  - depth 5, hash 4c34483, HEAD~555
2021-07-03 07:37:55,196 DEBUG                  - depth 6, hash a021283, HEAD~575
2021-07-03 07:37:55,200 DEBUG                  - depth 7, hash 62670f5, HEAD~577
2021-07-03 07:37:55,205 DEBUG                  - depth 8, hash 821b85f, HEAD~582
2021-07-03 07:37:55,209 DEBUG                  - depth 9, hash c712732, HEAD~609
2021-07-03 07:37:55,213 DEBUG                  - depth 10, hash 4dcbfa6, HEAD~611
2021-07-03 07:37:55,217 DEBUG                  - depth 11, hash 4cca25d, HEAD~624
2021-07-03 07:37:55,221 DEBUG                  - depth 12, hash aae50c5, HEAD~627
2021-07-03 07:37:55,225 DEBUG    [line range] org/apache/commons/cli/HelpFormatter.java findWrapPos 899:943
2021-07-03 07:37:55,251 DEBUG                  - depth 0, hash 147df44, HEAD~145
2021-07-03 07:37:55,256 DEBUG                  - depth 1, hash a8a8ec0, HEAD~461
2021-07-03 07:37:55,260 DEBUG                  - depth 2, hash 9cb37e0, HEAD~471
2021-07-03 07:37:55,264 DEBUG                  - depth 3, hash 9b2b803, HEAD~544
2021-07-03 07:37:55,269 DEBUG                  - depth 4, hash 821b85f, HEAD~582
2021-07-03 07:37:55,273 DEBUG                  - depth 5, hash aae50c5, HEAD~627
2021-07-03 07:37:55,277 DEBUG    [line range] org/apache/commons/cli/HelpFormatter.java getOptionComparator 333:336
2021-07-03 07:37:55,299 DEBUG                  - depth 0, hash 147df44, HEAD~145
2021-07-03 07:37:55,305 DEBUG                  - depth 1, hash df8f8e1, HEAD~224
2021-07-03 07:37:55,309 DEBUG    [line range] org/apache/commons/cli/HelpFormatter.java printUsage 537:592
2021-07-03 07:37:55,335 DEBUG                  - depth 0, hash 147df44, HEAD~145
2021-07-03 07:37:55,340 DEBUG                  - depth 1, hash df8f8e1, HEAD~224
2021-07-03 07:37:55,344 DEBUG                  - depth 2, hash 6f972cf, HEAD~326
2021-07-03 07:37:55,348 DEBUG                  - depth 3, hash 9b2b803, HEAD~544
2021-07-03 07:37:55,352 DEBUG                  - depth 4, hash 6bcbf15, HEAD~550
2021-07-03 07:37:55,356 DEBUG                  - depth 5, hash 4c34483, HEAD~555
2021-07-03 07:37:55,361 DEBUG                  - depth 6, hash a021283, HEAD~575
2021-07-03 07:37:55,365 DEBUG                  - depth 7, hash 62670f5, HEAD~577
2021-07-03 07:37:55,369 DEBUG                  - depth 8, hash 821b85f, HEAD~582
2021-07-03 07:37:55,373 DEBUG                  - depth 9, hash c712732, HEAD~609
2021-07-03 07:37:55,377 DEBUG                  - depth 10, hash 4dcbfa6, HEAD~611
2021-07-03 07:37:55,381 DEBUG                  - depth 11, hash 4cca25d, HEAD~624
2021-07-03 07:37:55,385 DEBUG                  - depth 12, hash aae50c5, HEAD~627
2021-07-03 07:37:55,390 DEBUG    [line range] org/apache/commons/cli/HelpFormatter.java printWrapped 722:728
2021-07-03 07:37:55,416 DEBUG                  - depth 0, hash 147df44, HEAD~145
2021-07-03 07:37:55,421 DEBUG                  - depth 1, hash 9b2b803, HEAD~544
2021-07-03 07:37:55,425 DEBUG                  - depth 2, hash 6bcbf15, HEAD~550
2021-07-03 07:37:55,430 DEBUG                  - depth 3, hash 4c34483, HEAD~555
2021-07-03 07:37:55,434 DEBUG                  - depth 4, hash a021283, HEAD~575
2021-07-03 07:37:55,438 DEBUG                  - depth 5, hash 62670f5, HEAD~577
2021-07-03 07:37:55,442 DEBUG                  - depth 6, hash 821b85f, HEAD~582
2021-07-03 07:37:55,446 DEBUG                  - depth 7, hash c712732, HEAD~609
2021-07-03 07:37:55,450 DEBUG                  - depth 8, hash 4dcbfa6, HEAD~611
2021-07-03 07:37:55,454 DEBUG                  - depth 9, hash 4cca25d, HEAD~624
2021-07-03 07:37:55,458 DEBUG                  - depth 10, hash aae50c5, HEAD~627
2021-07-03 07:37:55,463 DEBUG    [line range] org/apache/commons/cli/HelpFormatter.java renderWrappedText 842:884
2021-07-03 07:37:55,489 DEBUG                  - depth 0, hash d8df510, HEAD~5
2021-07-03 07:37:55,495 DEBUG                  - depth 1, hash 6a58545, HEAD~77
2021-07-03 07:37:55,499 DEBUG                  - depth 2, hash 02dd7c2, HEAD~78
2021-07-03 07:37:55,503 DEBUG                  - depth 3, hash ac6e754, HEAD~79
2021-07-03 07:37:55,507 DEBUG                  - depth 4, hash 84234a6, HEAD~82
2021-07-03 07:37:55,511 DEBUG                  - depth 5, hash a3e7162, HEAD~86
2021-07-03 07:37:55,515 DEBUG                  - depth 6, hash d1121d3, HEAD~87
2021-07-03 07:37:55,520 DEBUG                  - depth 7, hash 2ddaae1, HEAD~88
2021-07-03 07:37:55,524 DEBUG                  - depth 8, hash 880a9f6, HEAD~109
2021-07-03 07:37:55,528 DEBUG                  - depth 9, hash 4f40737, HEAD~229
2021-07-03 07:37:55,532 DEBUG                  - depth 10, hash a8a8ec0, HEAD~461
2021-07-03 07:37:55,536 DEBUG                  - depth 11, hash 9b2b803, HEAD~544
2021-07-03 07:37:55,540 DEBUG                  - depth 12, hash 6bcbf15, HEAD~550
2021-07-03 07:37:55,544 DEBUG                  - depth 13, hash 4c34483, HEAD~555
2021-07-03 07:37:55,549 DEBUG                  - depth 14, hash a021283, HEAD~575
2021-07-03 07:37:55,553 DEBUG                  - depth 15, hash 62670f5, HEAD~577
2021-07-03 07:37:55,557 DEBUG                  - depth 16, hash 821b85f, HEAD~582
2021-07-03 07:37:55,561 DEBUG                  - depth 17, hash c712732, HEAD~609
2021-07-03 07:37:55,565 DEBUG                  - depth 18, hash 4dcbfa6, HEAD~611
2021-07-03 07:37:55,569 DEBUG                  - depth 19, hash 4cca25d, HEAD~624
2021-07-03 07:37:55,574 DEBUG                  - depth 20, hash aae50c5, HEAD~627
2021-07-03 07:37:55,578 DEBUG    [line range] org/apache/commons/cli/HelpFormatter.java rtrim 971:986
2021-07-03 07:37:55,603 DEBUG                  - depth 0, hash 9cb37e0, HEAD~471
