2021-07-03 20:29:39,961 INFO     Search BICs for /tmp/Compress-14b/
2021-07-03 20:29:39,961 DEBUG    Reading the coverage of org.apache.commons.compress.archivers.tar.TarArchiveInputStreamTest::workaroundForBrokenTimeHeader (failings)
2021-07-03 20:29:39,967 INFO     Loaded 1x179 Coverage Matrix
2021-07-03 20:29:39,968 INFO     The number of total commits: 971
2021-07-03 20:29:40,281 DEBUG    [single line]   org/apache/commons/compress/archivers/ArchiveInputStream.java <init> 40
2021-07-03 20:29:40,312 DEBUG                  - depth 0, hash ca16539, HEAD~858
2021-07-03 20:29:40,318 DEBUG    [line range] org/apache/commons/compress/archivers/ArchiveInputStream.java <init> 42:42
2021-07-03 20:29:40,351 DEBUG                  - depth 0, hash 253196a, HEAD~622
2021-07-03 20:29:40,788 DEBUG    [line range] org/apache/commons/compress/archivers/tar/TarArchiveEntry.java <init> 180:197
2021-07-03 20:29:40,826 DEBUG                  - depth 0, hash 8118f82, HEAD~576
2021-07-03 20:29:40,832 DEBUG                  - depth 1, hash 1d55670, HEAD~579
2021-07-03 20:29:40,836 DEBUG                  - depth 2, hash 24f9c9b, HEAD~581
2021-07-03 20:29:40,840 DEBUG                  - depth 3, hash 46ad24d, HEAD~844
2021-07-03 20:29:40,844 DEBUG                  - depth 4, hash 8822084, HEAD~929
2021-07-03 20:29:40,848 DEBUG    [line range] org/apache/commons/compress/archivers/tar/TarArchiveEntry.java <init> 312:315
2021-07-03 20:29:40,883 DEBUG                  - depth 0, hash 46ad24d, HEAD~844
2021-07-03 20:29:40,889 DEBUG                  - depth 1, hash ca16539, HEAD~858
2021-07-03 20:29:40,893 DEBUG    [line range] org/apache/commons/compress/archivers/tar/TarArchiveEntry.java evaluateType 917:924
2021-07-03 20:29:40,928 DEBUG                  - depth 0, hash aa9d0bc, HEAD~254
2021-07-03 20:29:40,934 DEBUG    [line range] org/apache/commons/compress/archivers/tar/TarArchiveEntry.java getSize 562:564
2021-07-03 20:29:40,971 DEBUG                  - depth 0, hash 46ad24d, HEAD~844
2021-07-03 20:29:40,977 DEBUG                  - depth 1, hash 8822084, HEAD~929
2021-07-03 20:29:40,981 DEBUG    [line range] org/apache/commons/compress/archivers/tar/TarArchiveEntry.java isDirectory 645:659
2021-07-03 20:29:41,017 DEBUG                  - depth 0, hash 46ad24d, HEAD~844
2021-07-03 20:29:41,022 DEBUG                  - depth 1, hash ca16539, HEAD~858
2021-07-03 20:29:41,026 DEBUG    [line range] org/apache/commons/compress/archivers/tar/TarArchiveEntry.java isGNULongNameEntry 612:615
2021-07-03 20:29:41,064 DEBUG                  - depth 0, hash 75f92f6, HEAD~737
2021-07-03 20:29:41,069 DEBUG                  - depth 1, hash 46ad24d, HEAD~844
2021-07-03 20:29:41,073 DEBUG                  - depth 2, hash ca16539, HEAD~858
2021-07-03 20:29:41,077 DEBUG    [line range] org/apache/commons/compress/archivers/tar/TarArchiveEntry.java isGNUSparse 603:605
2021-07-03 20:29:41,112 DEBUG                  - depth 0, hash aa9d0bc, HEAD~254
2021-07-03 20:29:41,118 DEBUG    [line range] org/apache/commons/compress/archivers/tar/TarArchiveEntry.java isPaxHeader 624:627
2021-07-03 20:29:41,153 DEBUG                  - depth 0, hash 05b6eb1, HEAD~332
2021-07-03 20:29:41,158 DEBUG                  - depth 1, hash 33cd35e, HEAD~334
2021-07-03 20:29:41,162 DEBUG    [line range] org/apache/commons/compress/archivers/tar/TarArchiveEntry.java parseTarHeader 806:866
2021-07-03 20:29:41,199 DEBUG                  - depth 0, hash 7ee6b67, HEAD~9
2021-07-03 20:29:41,204 DEBUG                  - depth 1, hash 6846564, HEAD~29
2021-07-03 20:29:41,208 DEBUG                  - depth 2, hash aa9d0bc, HEAD~254
2021-07-03 20:29:41,212 DEBUG                  - depth 3, hash 5b25f6c, HEAD~331
2021-07-03 20:29:41,217 DEBUG                  - depth 4, hash 33cd35e, HEAD~334
2021-07-03 20:29:41,221 DEBUG                  - depth 5, hash 8118f82, HEAD~576
2021-07-03 20:29:41,225 DEBUG                  - depth 6, hash 46ad24d, HEAD~844
2021-07-03 20:29:41,229 DEBUG                  - depth 7, hash ca16539, HEAD~858
