2021-07-03 20:13:51,734 INFO     Search BICs for /tmp/Codec-6b/
2021-07-03 20:13:51,734 DEBUG    Reading the coverage of org.apache.commons.codec.binary.Base64InputStreamTest::testCodec101 (failings)
2021-07-03 20:13:51,737 INFO     Loaded 1x69 Coverage Matrix
2021-07-03 20:13:51,738 INFO     The number of total commits: 619
2021-07-03 20:13:52,154 DEBUG    [line range] org/apache/commons/codec/binary/Base64.java <clinit> 91:91
2021-07-03 20:13:52,182 DEBUG                  - depth 0, hash 9333313, HEAD~127
2021-07-03 20:13:52,188 DEBUG                  - depth 1, hash a8502b5, HEAD~182
2021-07-03 20:13:52,192 DEBUG                  - depth 2, hash 01ca214, HEAD~412
2021-07-03 20:13:52,196 DEBUG                  - depth 3, hash 0e0d475, HEAD~603
2021-07-03 20:13:52,200 DEBUG                  - depth 4, hash 71205dd, HEAD~617
2021-07-03 20:13:52,204 DEBUG    [line range] org/apache/commons/codec/binary/Base64.java <init> 332:351
2021-07-03 20:13:52,233 DEBUG                  - depth 0, hash ffd08a4, HEAD~65
2021-07-03 20:13:52,238 DEBUG                  - depth 1, hash 20a88d9, HEAD~87
2021-07-03 20:13:52,242 DEBUG                  - depth 2, hash 4d67ff2, HEAD~125
2021-07-03 20:13:52,246 DEBUG                  - depth 3, hash 2f7454a, HEAD~158
2021-07-03 20:13:52,250 DEBUG                  - depth 4, hash cad6644, HEAD~173
2021-07-03 20:13:52,254 DEBUG                  - depth 5, hash d3dee54, HEAD~186
2021-07-03 20:13:52,258 DEBUG                  - depth 6, hash ce8a31b, HEAD~195
2021-07-03 20:13:52,262 DEBUG                  - depth 7, hash fa0f64d, HEAD~196
2021-07-03 20:13:52,267 DEBUG                  - depth 8, hash e2df850, HEAD~197
2021-07-03 20:13:52,271 DEBUG                  - depth 9, hash f064899, HEAD~243
2021-07-03 20:13:52,275 DEBUG                  - depth 10, hash 0e0d475, HEAD~603
2021-07-03 20:13:52,279 DEBUG                  - depth 11, hash 71205dd, HEAD~617
2021-07-03 20:13:52,283 DEBUG    [line range] org/apache/commons/codec/binary/Base64.java <init> 255:257
2021-07-03 20:13:52,311 DEBUG                  - depth 0, hash 00da592, HEAD~24
2021-07-03 20:13:52,316 DEBUG                  - depth 1, hash 2f7454a, HEAD~158
2021-07-03 20:13:52,320 DEBUG                  - depth 2, hash e2df850, HEAD~197
2021-07-03 20:13:52,324 DEBUG                  - depth 3, hash f064899, HEAD~243
2021-07-03 20:13:52,328 DEBUG                  - depth 4, hash 0e0d475, HEAD~603
2021-07-03 20:13:52,332 DEBUG                  - depth 5, hash 71205dd, HEAD~617
2021-07-03 20:13:52,336 DEBUG    [line range] org/apache/commons/codec/binary/Base64.java avail 377:379
2021-07-03 20:13:52,364 DEBUG                  - depth 0, hash 9333313, HEAD~127
2021-07-03 20:13:52,369 DEBUG                  - depth 1, hash 2f7454a, HEAD~158
2021-07-03 20:13:52,373 DEBUG                  - depth 2, hash e2df850, HEAD~197
2021-07-03 20:13:52,377 DEBUG                  - depth 3, hash 0e0d475, HEAD~603
2021-07-03 20:13:52,382 DEBUG                  - depth 4, hash 71205dd, HEAD~617
2021-07-03 20:13:52,386 DEBUG    [line range] org/apache/commons/codec/binary/Base64.java containsBase64Byte 641:648
2021-07-03 20:13:52,409 DEBUG                  - depth 0, hash d3dee54, HEAD~186
2021-07-03 20:13:52,415 DEBUG    [line range] org/apache/commons/codec/binary/Base64.java decode 550:602
2021-07-03 20:13:52,442 DEBUG                  - depth 0, hash 800f053, HEAD~9
2021-07-03 20:13:52,448 DEBUG                  - depth 1, hash e17d5c5, HEAD~71
2021-07-03 20:13:52,452 DEBUG                  - depth 2, hash 9333313, HEAD~127
2021-07-03 20:13:52,456 DEBUG                  - depth 3, hash 2f7454a, HEAD~158
2021-07-03 20:13:52,460 DEBUG                  - depth 4, hash df9d1bb, HEAD~174
2021-07-03 20:13:52,464 DEBUG                  - depth 5, hash a8502b5, HEAD~182
2021-07-03 20:13:52,468 DEBUG                  - depth 6, hash 16541c6, HEAD~194
2021-07-03 20:13:52,472 DEBUG                  - depth 7, hash e2df850, HEAD~197
2021-07-03 20:13:52,476 DEBUG                  - depth 8, hash 0e0d475, HEAD~603
2021-07-03 20:13:52,481 DEBUG                  - depth 9, hash 71205dd, HEAD~617
2021-07-03 20:13:52,485 DEBUG    [line range] org/apache/commons/codec/binary/Base64.java hasData 368:370
2021-07-03 20:13:52,512 DEBUG                  - depth 0, hash 9333313, HEAD~127
2021-07-03 20:13:52,517 DEBUG                  - depth 1, hash 2f7454a, HEAD~158
2021-07-03 20:13:52,521 DEBUG                  - depth 2, hash e2df850, HEAD~197
2021-07-03 20:13:52,526 DEBUG                  - depth 3, hash 0e0d475, HEAD~603
2021-07-03 20:13:52,530 DEBUG                  - depth 4, hash 71205dd, HEAD~617
2021-07-03 20:13:52,534 DEBUG    [line range] org/apache/commons/codec/binary/Base64.java isBase64 612:614
2021-07-03 20:13:52,561 DEBUG                  - depth 0, hash 2f7454a, HEAD~158
2021-07-03 20:13:52,567 DEBUG                  - depth 1, hash 5e2c0d1, HEAD~184
2021-07-03 20:13:52,571 DEBUG                  - depth 2, hash d3dee54, HEAD~186
