2021-07-03 20:24:24,474 INFO     Search BICs for /tmp/Collections-28b/
2021-07-03 20:24:24,474 DEBUG    Reading the coverage of org.apache.commons.collections4.trie.PatriciaTrieTest::testPrefixMapClear (failings)
2021-07-03 20:24:24,488 INFO     Loaded 1x332 Coverage Matrix
2021-07-03 20:24:24,489 INFO     The number of total commits: 2880
2021-07-03 20:24:24,817 DEBUG    [line range] org/apache/commons/collections4/trie/AbstractBitwiseTrie.java <init> 48:54
2021-07-03 20:24:24,951 DEBUG                  - depth 0, hash 83226e1, HEAD~376
2021-07-03 20:24:24,957 DEBUG                  - depth 1, hash 81e4747, HEAD~379
2021-07-03 20:24:24,961 DEBUG                  - depth 2, hash 9af55b6, HEAD~432
2021-07-03 20:24:24,965 DEBUG                  - depth 3, hash 9aea104, HEAD~711
2021-07-03 20:24:24,969 DEBUG                  - depth 4, hash c57a9af, HEAD~806
2021-07-03 20:24:24,974 DEBUG    [line range] org/apache/commons/collections4/trie/AbstractBitwiseTrie.java bitIndex 120:122
2021-07-03 20:24:25,114 DEBUG                  - depth 0, hash 467d516, HEAD~380
2021-07-03 20:24:25,120 DEBUG                  - depth 1, hash 9af55b6, HEAD~432
2021-07-03 20:24:25,124 DEBUG                  - depth 2, hash 9aea104, HEAD~711
2021-07-03 20:24:25,128 DEBUG                  - depth 3, hash c57a9af, HEAD~806
2021-07-03 20:24:25,132 DEBUG    [line range] org/apache/commons/collections4/trie/AbstractBitwiseTrie.java compareKeys 127:135
2021-07-03 20:24:25,272 DEBUG                  - depth 0, hash 9af55b6, HEAD~432
2021-07-03 20:24:25,277 DEBUG                  - depth 1, hash 8864189, HEAD~694
2021-07-03 20:24:25,281 DEBUG                  - depth 2, hash 9aea104, HEAD~711
2021-07-03 20:24:25,286 DEBUG                  - depth 3, hash 4f43347, HEAD~712
2021-07-03 20:24:25,290 DEBUG                  - depth 4, hash c57a9af, HEAD~806
2021-07-03 20:24:25,294 DEBUG    [line range] org/apache/commons/collections4/trie/AbstractBitwiseTrie.java getKeyAnalyzer 60:62
2021-07-03 20:24:25,429 DEBUG                  - depth 0, hash 83226e1, HEAD~376
