2021-07-03 20:55:05,624 INFO     Search BICs for /tmp/Gson-3b/
2021-07-03 20:55:05,625 DEBUG    Reading the coverage of com.google.gson.functional.MapTest::testConcurrentNavigableMap (failings)
2021-07-03 20:55:05,659 DEBUG    Reading the coverage of com.google.gson.functional.MapTest::testConcurrentMap (failings)
2021-07-03 20:55:05,692 INFO     Loaded 2x524 Coverage Matrix
2021-07-03 20:55:05,693 INFO     The number of total commits: 1120
2021-07-03 20:55:06,013 DEBUG    [single line]   com/google/gson/FieldNamingPolicy.java <clinit> 31
2021-07-03 20:55:06,060 DEBUG                  - depth 0, hash f89e92a, HEAD~371
2021-07-03 20:55:06,065 DEBUG                  - depth 1, hash 57d1f32, HEAD~1119
2021-07-03 20:55:06,070 DEBUG    [single line]   com/google/gson/FieldNamingPolicy.java <clinit> 37
2021-07-03 20:55:06,115 DEBUG                  - depth 0, hash f89e92a, HEAD~371
2021-07-03 20:55:06,120 DEBUG                  - depth 1, hash 57d1f32, HEAD~1119
2021-07-03 20:55:06,125 DEBUG    [single line]   com/google/gson/FieldNamingPolicy.java <clinit> 53
2021-07-03 20:55:06,170 DEBUG                  - depth 0, hash f89e92a, HEAD~371
2021-07-03 20:55:06,176 DEBUG                  - depth 1, hash 57d1f32, HEAD~1119
2021-07-03 20:55:06,180 DEBUG    [single line]   com/google/gson/FieldNamingPolicy.java <clinit> 72
2021-07-03 20:55:06,226 DEBUG                  - depth 0, hash f89e92a, HEAD~371
2021-07-03 20:55:06,231 DEBUG                  - depth 1, hash ba01548, HEAD~836
2021-07-03 20:55:06,235 DEBUG    [single line]   com/google/gson/FieldNamingPolicy.java <clinit> 90
2021-07-03 20:55:06,282 DEBUG                  - depth 0, hash f89e92a, HEAD~371
2021-07-03 20:55:06,288 DEBUG                  - depth 1, hash ad4ff69, HEAD~917
2021-07-03 20:55:06,292 DEBUG                  - depth 2, hash 57d1f32, HEAD~1119
2021-07-03 20:55:06,296 DEBUG    [single line]   com/google/gson/FieldNamingPolicy.java <clinit> 113
2021-07-03 20:55:06,343 DEBUG                  - depth 0, hash f89e92a, HEAD~371
2021-07-03 20:55:06,348 DEBUG                  - depth 1, hash ad4ff69, HEAD~917
2021-07-03 20:55:06,353 DEBUG                  - depth 2, hash 57d1f32, HEAD~1119
2021-07-03 20:55:06,357 DEBUG    [single line]   com/google/gson/FieldNamingPolicy.java <init> 37
2021-07-03 20:55:06,403 DEBUG                  - depth 0, hash f89e92a, HEAD~371
2021-07-03 20:55:06,408 DEBUG                  - depth 1, hash 57d1f32, HEAD~1119
2021-07-03 20:55:06,412 DEBUG    [single line]   com/google/gson/FieldNamingPolicy.java <init> 53
2021-07-03 20:55:06,460 DEBUG                  - depth 0, hash f89e92a, HEAD~371
2021-07-03 20:55:06,465 DEBUG                  - depth 1, hash 57d1f32, HEAD~1119
2021-07-03 20:55:06,469 DEBUG    [single line]   com/google/gson/FieldNamingPolicy.java <init> 72
2021-07-03 20:55:06,516 DEBUG                  - depth 0, hash f89e92a, HEAD~371
2021-07-03 20:55:06,521 DEBUG                  - depth 1, hash ba01548, HEAD~836
2021-07-03 20:55:06,525 DEBUG    [single line]   com/google/gson/FieldNamingPolicy.java <init> 90
2021-07-03 20:55:06,571 DEBUG                  - depth 0, hash f89e92a, HEAD~371
2021-07-03 20:55:06,576 DEBUG                  - depth 1, hash ad4ff69, HEAD~917
2021-07-03 20:55:06,581 DEBUG                  - depth 2, hash 57d1f32, HEAD~1119
2021-07-03 20:55:06,585 DEBUG    [single line]   com/google/gson/FieldNamingPolicy.java <init> 113
2021-07-03 20:55:06,632 DEBUG                  - depth 0, hash f89e92a, HEAD~371
2021-07-03 20:55:06,637 DEBUG                  - depth 1, hash ad4ff69, HEAD~917
2021-07-03 20:55:06,642 DEBUG                  - depth 2, hash 57d1f32, HEAD~1119
2021-07-03 20:55:07,045 DEBUG    [line range] com/google/gson/Gson.java <init> 176:181
2021-07-03 20:55:07,111 DEBUG                  - depth 0, hash d7fbac0, HEAD~310
2021-07-03 20:55:07,116 DEBUG                  - depth 1, hash 1794182, HEAD~360
2021-07-03 20:55:07,120 DEBUG                  - depth 2, hash aa2f61b, HEAD~364
2021-07-03 20:55:07,125 DEBUG                  - depth 3, hash f89e92a, HEAD~371
2021-07-03 20:55:07,129 DEBUG                  - depth 4, hash d3f927e, HEAD~422
2021-07-03 20:55:07,133 DEBUG                  - depth 5, hash 46e65a7, HEAD~438
2021-07-03 20:55:07,137 DEBUG                  - depth 6, hash c71e61c, HEAD~456
2021-07-03 20:55:07,141 DEBUG                  - depth 7, hash a98d6ea, HEAD~462
2021-07-03 20:55:07,145 DEBUG                  - depth 8, hash 25c6ae1, HEAD~464
2021-07-03 20:55:07,149 DEBUG                  - depth 9, hash aa06705, HEAD~507
2021-07-03 20:55:07,153 DEBUG                  - depth 10, hash 114633f, HEAD~675
2021-07-03 20:55:07,157 DEBUG                  - depth 11, hash b883f8f, HEAD~683
2021-07-03 20:55:07,161 DEBUG                  - depth 12, hash 2b9f81e, HEAD~684
