2021-07-04 09:44:33,161 INFO     Search BICs for /tmp/Mockito-30b/
2021-07-04 09:44:33,163 DEBUG    Reading the coverage of org.mockito.internal.stubbing.defaultanswers.ReturnsSmartNullsTest::shouldPrintTheParametersOnSmartNullPointerExceptionMessage (failings)
2021-07-04 09:44:33,173 INFO     Loaded 1x283 Coverage Matrix
2021-07-04 09:44:33,173 INFO     The number of total commits: 1478
2021-07-04 09:44:33,492 DEBUG    [line range] org/mockito/MockitoAnnotations.java initMocks 88:98
2021-07-04 09:44:33,582 DEBUG                  - depth 0, hash feb23b0, HEAD~1134
2021-07-04 09:44:33,588 DEBUG                  - depth 1, hash ebcb3e7, HEAD~1136
2021-07-04 09:44:33,592 DEBUG                  - depth 2, hash 70eb8ea, HEAD~1184
2021-07-04 09:44:33,596 DEBUG    [line range] org/mockito/MockitoAnnotations.java scan 100:113
2021-07-04 09:44:33,686 DEBUG                  - depth 0, hash 75e15e4, HEAD~96
2021-07-04 09:44:33,691 DEBUG                  - depth 1, hash 3275500, HEAD~162
2021-07-04 09:44:33,695 DEBUG                  - depth 2, hash 896c61e, HEAD~165
2021-07-04 09:44:33,699 DEBUG                  - depth 3, hash 2a256b3, HEAD~662
2021-07-04 09:44:33,703 DEBUG                  - depth 4, hash 2dc4ebd, HEAD~885
2021-07-04 09:44:33,707 DEBUG                  - depth 5, hash 2aed41e, HEAD~1028
2021-07-04 09:44:33,711 DEBUG                  - depth 6, hash 83fcd71, HEAD~1135
2021-07-04 09:44:33,715 DEBUG                  - depth 7, hash ebcb3e7, HEAD~1136
2021-07-04 09:44:33,720 DEBUG                  - depth 8, hash 70eb8ea, HEAD~1184
2021-07-04 09:44:34,001 DEBUG    [single line]   org/mockito/configuration/DefaultMockitoConfiguration.java <init> 20
2021-07-04 09:44:34,105 DEBUG                  - depth 0, hash 2d152ee, HEAD~691
2021-07-04 09:44:34,467 DEBUG    [single line]   org/mockito/exceptions/Reporter.java <init> 46
2021-07-04 09:44:34,567 DEBUG                  - depth 0, hash bcc618a, HEAD~1294
2021-07-04 09:44:34,572 DEBUG                  - depth 1, hash ce722d1, HEAD~1412
2021-07-04 09:44:34,576 DEBUG    [line range] org/mockito/exceptions/Reporter.java smartNullPointerException 438:446
2021-07-04 09:44:34,670 DEBUG                  - depth 0, hash 55a48ec, HEAD~586
2021-07-04 09:44:34,676 DEBUG                  - depth 1, hash 8942870, HEAD~601
2021-07-04 09:44:34,680 DEBUG                  - depth 2, hash a71ecd6, HEAD~602
2021-07-04 09:44:34,970 DEBUG    [line range] org/mockito/exceptions/base/MockitoException.java <init> 21:24
2021-07-04 09:44:35,060 DEBUG                  - depth 0, hash 70eb8ea, HEAD~1184
2021-07-04 09:44:35,066 DEBUG                  - depth 1, hash f28e6c5, HEAD~1442
2021-07-04 09:44:35,070 DEBUG    [line range] org/mockito/exceptions/base/MockitoException.java filterStackTrace 26:31
2021-07-04 09:44:35,160 DEBUG                  - depth 0, hash cf2f9ba, HEAD~568
2021-07-04 09:44:35,165 DEBUG                  - depth 1, hash 1c5c8ff, HEAD~570
2021-07-04 09:44:35,169 DEBUG                  - depth 2, hash 70eb8ea, HEAD~1184
2021-07-04 09:44:35,174 DEBUG                  - depth 3, hash 965dfe3, HEAD~1340
2021-07-04 09:44:35,178 DEBUG                  - depth 4, hash 01b9ebd, HEAD~1441
2021-07-04 09:44:35,460 DEBUG    [line range] org/mockito/exceptions/verification/SmartNullPointerException.java <init> 13:15
2021-07-04 09:44:35,550 DEBUG                  - depth 0, hash f79e36a, HEAD~739
2021-07-04 09:44:35,836 DEBUG    [single line]   org/mockito/internal/configuration/ClassPathLoader.java <init> 10
2021-07-04 09:44:35,926 DEBUG                  - depth 0, hash c81d6bd, HEAD~676
2021-07-04 09:44:35,931 DEBUG    [line range] org/mockito/internal/configuration/ClassPathLoader.java loadConfiguration 15:35
2021-07-04 09:44:36,020 DEBUG                  - depth 0, hash d5d05a2, HEAD~656
2021-07-04 09:44:36,025 DEBUG                  - depth 1, hash fca2c21, HEAD~675
2021-07-04 09:44:36,029 DEBUG                  - depth 2, hash c81d6bd, HEAD~676
2021-07-04 09:44:36,350 DEBUG    [single line]   org/mockito/internal/configuration/DefaultAnnotationEngine.java <init> 28
2021-07-04 09:44:36,441 DEBUG                  - depth 0, hash 7a6d0db, HEAD~661
2021-07-04 09:44:36,446 DEBUG                  - depth 1, hash 2a256b3, HEAD~662
2021-07-04 09:44:36,450 DEBUG    [line range] org/mockito/internal/configuration/DefaultAnnotationEngine.java process 80:98
2021-07-04 09:44:36,539 DEBUG                  - depth 0, hash 038235e, HEAD~155
2021-07-04 09:44:36,545 DEBUG                  - depth 1, hash 3275500, HEAD~162
2021-07-04 09:44:36,549 DEBUG                  - depth 2, hash 896c61e, HEAD~165
2021-07-04 09:44:36,838 DEBUG    [line range] org/mockito/internal/configuration/GlobalConfiguration.java <clinit> 22:22
2021-07-04 09:44:36,928 DEBUG                  - depth 0, hash c81d6bd, HEAD~676
