2021-07-03 07:34:49,455 INFO     Search BICs for /tmp/Cli-22b/
2021-07-03 07:34:49,455 DEBUG    Reading the coverage of org.apache.commons.cli.ApplicationTest::testGroovy (failings)
2021-07-03 07:34:49,462 DEBUG    Reading the coverage of org.apache.commons.cli.PosixParserTest::testStopAtExpectedArg (failings)
2021-07-03 07:34:49,468 INFO     Loaded 2x242 Coverage Matrix
2021-07-03 07:34:49,468 INFO     The number of total commits: 393
2021-07-03 07:34:49,805 DEBUG    [line range] org/apache/commons/cli/CommandLine.java <init> 48:48
2021-07-03 07:34:49,821 DEBUG                  - depth 0, hash 9b2b803, HEAD~308
2021-07-03 07:34:49,827 DEBUG                  - depth 1, hash aae50c5, HEAD~391
2021-07-03 07:34:49,831 DEBUG    [line range] org/apache/commons/cli/CommandLine.java addArg 323:326
2021-07-03 07:34:49,848 DEBUG                  - depth 0, hash 9b2b803, HEAD~308
2021-07-03 07:34:49,853 DEBUG                  - depth 1, hash aae50c5, HEAD~391
2021-07-03 07:34:49,857 DEBUG    [line range] org/apache/commons/cli/CommandLine.java addOption 333:336
2021-07-03 07:34:49,874 DEBUG                  - depth 0, hash b0e1b80, HEAD~129
2021-07-03 07:34:49,879 DEBUG                  - depth 1, hash 9b2b803, HEAD~308
2021-07-03 07:34:49,883 DEBUG                  - depth 2, hash 0f52eff, HEAD~316
2021-07-03 07:34:49,887 DEBUG                  - depth 3, hash 347bbeb, HEAD~317
2021-07-03 07:34:49,891 DEBUG                  - depth 4, hash 0c281fb, HEAD~320
2021-07-03 07:34:49,895 DEBUG                  - depth 5, hash 872f1d5, HEAD~340
2021-07-03 07:34:49,899 DEBUG                  - depth 6, hash c08f738, HEAD~343
2021-07-03 07:34:49,903 DEBUG                  - depth 7, hash 04490af, HEAD~356
2021-07-03 07:34:49,907 DEBUG                  - depth 8, hash f9df518, HEAD~360
2021-07-03 07:34:49,911 DEBUG                  - depth 9, hash 5aa47b7, HEAD~365
2021-07-03 07:34:49,915 DEBUG                  - depth 10, hash 4cca25d, HEAD~388
2021-07-03 07:34:49,920 DEBUG                  - depth 11, hash aae50c5, HEAD~391
2021-07-03 07:34:49,924 DEBUG    [line range] org/apache/commons/cli/CommandLine.java getOptionValue 136:139
2021-07-03 07:34:49,939 DEBUG                  - depth 0, hash 9b2b803, HEAD~308
2021-07-03 07:34:49,945 DEBUG                  - depth 1, hash 1060ee7, HEAD~362
2021-07-03 07:34:49,949 DEBUG    [line range] org/apache/commons/cli/CommandLine.java getOptionValue 122:127
2021-07-03 07:34:49,965 DEBUG                  - depth 0, hash 9b2b803, HEAD~308
2021-07-03 07:34:49,970 DEBUG                  - depth 1, hash f9df518, HEAD~360
2021-07-03 07:34:49,975 DEBUG                  - depth 2, hash 5aa47b7, HEAD~365
2021-07-03 07:34:49,979 DEBUG                  - depth 3, hash 4cca25d, HEAD~388
2021-07-03 07:34:49,983 DEBUG                  - depth 4, hash aae50c5, HEAD~391
2021-07-03 07:34:49,987 DEBUG    [line range] org/apache/commons/cli/CommandLine.java getOptionValues 148:162
2021-07-03 07:34:50,003 DEBUG                  - depth 0, hash 147df44, HEAD~13
2021-07-03 07:34:50,009 DEBUG                  - depth 1, hash 20dfc60, HEAD~37
2021-07-03 07:34:50,013 DEBUG                  - depth 2, hash b0e1b80, HEAD~129
2021-07-03 07:34:50,017 DEBUG                  - depth 3, hash a8a8ec0, HEAD~225
2021-07-03 07:34:50,021 DEBUG                  - depth 4, hash 9b2b803, HEAD~308
2021-07-03 07:34:50,025 DEBUG                  - depth 5, hash 347bbeb, HEAD~317
2021-07-03 07:34:50,029 DEBUG                  - depth 6, hash 0c281fb, HEAD~320
2021-07-03 07:34:50,033 DEBUG                  - depth 7, hash 83b7ceb, HEAD~359
2021-07-03 07:34:50,037 DEBUG                  - depth 8, hash f9df518, HEAD~360
2021-07-03 07:34:50,041 DEBUG                  - depth 9, hash 5aa47b7, HEAD~365
2021-07-03 07:34:50,045 DEBUG                  - depth 10, hash 4cca25d, HEAD~388
2021-07-03 07:34:50,049 DEBUG                  - depth 11, hash aae50c5, HEAD~391
2021-07-03 07:34:50,054 DEBUG    [line range] org/apache/commons/cli/CommandLine.java hasOption 78:81
