2021-07-04 05:03:31,960 INFO     Search BICs for /tmp/Jsoup-88b/
2021-07-04 05:03:31,960 DEBUG    Reading the coverage of org.jsoup.nodes.AttributeTest::booleanAttributesAreEmptyStringValues (failings)
2021-07-04 05:03:32,033 INFO     Loaded 1x969 Coverage Matrix
2021-07-04 05:03:32,033 INFO     The number of total commits: 1214
2021-07-04 05:03:32,361 DEBUG    [line range] org/jsoup/Jsoup.java parse 57:59
2021-07-04 05:03:32,398 DEBUG                  - depth 0, hash d23db47, HEAD~1162
2021-07-04 05:03:32,404 DEBUG                  - depth 1, hash 9d3ab85, HEAD~1186
2021-07-04 05:03:32,704 DEBUG    [line range] org/jsoup/helper/ChangeNotifyingArrayList.java <init> 10:12
2021-07-04 05:03:32,740 DEBUG                  - depth 0, hash 38049ce, HEAD~215
2021-07-04 05:03:32,746 DEBUG    [line range] org/jsoup/helper/ChangeNotifyingArrayList.java add 22:26
2021-07-04 05:03:32,781 DEBUG                  - depth 0, hash 38049ce, HEAD~215
2021-07-04 05:03:33,096 DEBUG    [line range] org/jsoup/helper/Validate.java isFalse 52:55
2021-07-04 05:03:33,132 DEBUG                  - depth 0, hash 8749726, HEAD~817
2021-07-04 05:03:33,137 DEBUG    [line range] org/jsoup/helper/Validate.java isFalse 62:65
2021-07-04 05:03:33,173 DEBUG                  - depth 0, hash 8749726, HEAD~817
2021-07-04 05:03:33,178 DEBUG    [line range] org/jsoup/helper/Validate.java isTrue 33:36
2021-07-04 05:03:33,214 DEBUG                  - depth 0, hash 18e9a8f, HEAD~956
2021-07-04 05:03:33,219 DEBUG    [line range] org/jsoup/helper/Validate.java isTrue 43:46
2021-07-04 05:03:33,254 DEBUG                  - depth 0, hash 18e9a8f, HEAD~956
2021-07-04 05:03:33,260 DEBUG    [line range] org/jsoup/helper/Validate.java notEmpty 90:93
2021-07-04 05:03:33,295 DEBUG                  - depth 0, hash 18e9a8f, HEAD~956
2021-07-04 05:03:33,301 DEBUG    [line range] org/jsoup/helper/Validate.java notNull 14:17
2021-07-04 05:03:33,336 DEBUG                  - depth 0, hash 18e9a8f, HEAD~956
2021-07-04 05:03:33,341 DEBUG    [line range] org/jsoup/helper/Validate.java notNull 24:27
2021-07-04 05:03:33,377 DEBUG                  - depth 0, hash 18e9a8f, HEAD~956
2021-07-04 05:03:33,653 DEBUG    [line range] org/jsoup/internal/Normalizer.java lowerCase 10:12
