2021-07-04 09:50:12,414 INFO     Search BICs for /tmp/Mockito-34b/
2021-07-04 09:50:12,415 DEBUG    Reading the coverage of org.mockitousage.basicapi.UsingVarargsTest::shouldMatchEasilyEmptyVararg (failings)
2021-07-04 09:50:12,437 DEBUG    Reading the coverage of org.mockito.internal.invocation.InvocationMatcherTest::shouldMatchCaptureArgumentsWhenArgsCountDoesNOTMatch (failings)
2021-07-04 09:50:12,457 INFO     Loaded 2x578 Coverage Matrix
2021-07-04 09:50:12,457 INFO     The number of total commits: 1279
2021-07-04 09:50:12,754 DEBUG    [single line]   org/mockito/ArgumentMatcher.java <init> 57
2021-07-04 09:50:12,835 DEBUG                  - depth 0, hash 1532827, HEAD~24
2021-07-04 09:50:12,841 DEBUG                  - depth 1, hash cbc530c, HEAD~113
2021-07-04 09:50:12,845 DEBUG                  - depth 2, hash bf4eec3, HEAD~951
2021-07-04 09:50:13,216 DEBUG    [line range] org/mockito/Matchers.java <clinit> 95:95
2021-07-04 09:50:13,307 DEBUG                  - depth 0, hash d94c8c1, HEAD~415
2021-07-04 09:50:13,312 DEBUG                  - depth 1, hash 7035637, HEAD~472
2021-07-04 09:50:13,316 DEBUG                  - depth 2, hash 863efe6, HEAD~491
2021-07-04 09:50:13,320 DEBUG                  - depth 3, hash 6d73019, HEAD~511
2021-07-04 09:50:13,324 DEBUG                  - depth 4, hash affa89d, HEAD~512
2021-07-04 09:50:13,329 DEBUG                  - depth 5, hash e6759cc, HEAD~593
2021-07-04 09:50:13,333 DEBUG                  - depth 6, hash 63fbcc7, HEAD~594
2021-07-04 09:50:13,337 DEBUG                  - depth 7, hash 9d1a555, HEAD~635
2021-07-04 09:50:13,341 DEBUG                  - depth 8, hash 97194a6, HEAD~665
2021-07-04 09:50:13,345 DEBUG                  - depth 9, hash eb1110e, HEAD~692
2021-07-04 09:50:13,349 DEBUG                  - depth 10, hash b0c3487, HEAD~722
2021-07-04 09:50:13,353 DEBUG                  - depth 11, hash e71e3d3, HEAD~753
2021-07-04 09:50:13,357 DEBUG                  - depth 12, hash b29cc4b, HEAD~758
2021-07-04 09:50:13,361 DEBUG                  - depth 13, hash a56149b, HEAD~766
2021-07-04 09:50:13,365 DEBUG                  - depth 14, hash 56b3503, HEAD~770
2021-07-04 09:50:13,370 DEBUG                  - depth 15, hash a0e3112, HEAD~861
2021-07-04 09:50:13,374 DEBUG                  - depth 16, hash f123fe1, HEAD~869
2021-07-04 09:50:13,378 DEBUG                  - depth 17, hash 03444ce, HEAD~876
2021-07-04 09:50:13,382 DEBUG                  - depth 18, hash 4f7f2f1, HEAD~878
2021-07-04 09:50:13,386 DEBUG                  - depth 19, hash 868fcb0, HEAD~881
2021-07-04 09:50:13,390 DEBUG                  - depth 20, hash 1b1c8f7, HEAD~890
2021-07-04 09:50:13,394 DEBUG                  - depth 21, hash b866779, HEAD~892
2021-07-04 09:50:13,398 DEBUG                  - depth 22, hash 05c8ca8, HEAD~925
2021-07-04 09:50:13,402 DEBUG                  - depth 23, hash 5b494bf, HEAD~927
2021-07-04 09:50:13,406 DEBUG                  - depth 24, hash 83e1a6d, HEAD~930
2021-07-04 09:50:13,411 DEBUG                  - depth 25, hash 85cc060, HEAD~932
2021-07-04 09:50:13,415 DEBUG                  - depth 26, hash 56d884c, HEAD~933
2021-07-04 09:50:13,419 DEBUG                  - depth 27, hash feb23b0, HEAD~935
2021-07-04 09:50:13,423 DEBUG                  - depth 28, hash bda14b0, HEAD~948
2021-07-04 09:50:13,427 DEBUG                  - depth 29, hash bf4eec3, HEAD~951
2021-07-04 09:50:13,431 DEBUG                  - depth 30, hash 71450e5, HEAD~952
2021-07-04 09:50:13,435 DEBUG                  - depth 31, hash df23bd3, HEAD~954
2021-07-04 09:50:13,439 DEBUG                  - depth 32, hash 824fbd7, HEAD~967
2021-07-04 09:50:13,443 DEBUG                  - depth 33, hash 6127c09, HEAD~1002
2021-07-04 09:50:13,448 DEBUG                  - depth 34, hash bbd8d3c, HEAD~1003
2021-07-04 09:50:13,452 DEBUG                  - depth 35, hash 331f9b9, HEAD~1004
2021-07-04 09:50:13,456 DEBUG                  - depth 36, hash 8ddb75e, HEAD~1006
2021-07-04 09:50:13,460 DEBUG                  - depth 37, hash 057ebdd, HEAD~1007
2021-07-04 09:50:13,464 DEBUG                  - depth 38, hash 9f6cfd4, HEAD~1009
2021-07-04 09:50:13,468 DEBUG                  - depth 39, hash 1913433, HEAD~1010
2021-07-04 09:50:13,472 DEBUG                  - depth 40, hash 6a49c13, HEAD~1020
2021-07-04 09:50:13,476 DEBUG                  - depth 41, hash e056054, HEAD~1022
2021-07-04 09:50:13,481 DEBUG                  - depth 42, hash 389a09b, HEAD~1032
2021-07-04 09:50:13,485 DEBUG                  - depth 43, hash 272b3f0, HEAD~1062
2021-07-04 09:50:13,489 DEBUG                  - depth 44, hash 45b98cb, HEAD~1063
2021-07-04 09:50:13,493 DEBUG                  - depth 45, hash e86b9ac, HEAD~1070
2021-07-04 09:50:13,497 DEBUG                  - depth 46, hash d721a5a, HEAD~1078
2021-07-04 09:50:13,501 DEBUG                  - depth 47, hash 7862120, HEAD~1079
2021-07-04 09:50:13,505 DEBUG                  - depth 48, hash 85909dd, HEAD~1115
2021-07-04 09:50:13,509 DEBUG                  - depth 49, hash 9952454, HEAD~1117
2021-07-04 09:50:13,514 DEBUG                  - depth 50, hash 5f9f61a, HEAD~1214
2021-07-04 09:50:13,518 DEBUG                  - depth 51, hash 5f41dde, HEAD~1250
2021-07-04 09:50:13,522 DEBUG                  - depth 52, hash da791d6, HEAD~1252
2021-07-04 09:50:13,526 DEBUG                  - depth 53, hash 55db3c7, HEAD~1256
2021-07-04 09:50:13,530 DEBUG                  - depth 54, hash ce623bd, HEAD~1261
2021-07-04 09:50:13,534 DEBUG    [line range] org/mockito/Matchers.java anyVararg 220:222
2021-07-04 09:50:13,614 DEBUG                  - depth 0, hash 86929f8, HEAD~127
