2021-07-03 20:49:45,094 INFO     Search BICs for /tmp/Csv-4b/
2021-07-03 20:49:45,094 DEBUG    Reading the coverage of org.apache.commons.csv.CSVParserTest::testNoHeaderMap (failings)
2021-07-03 20:49:45,098 INFO     Loaded 1x96 Coverage Matrix
2021-07-03 20:49:45,099 INFO     The number of total commits: 730
2021-07-03 20:49:45,376 DEBUG    [line range] org/apache/commons/csv/Assertions.java notNull 31:35
2021-07-03 20:49:45,398 DEBUG                  - depth 0, hash 724c88d, HEAD~31
2021-07-03 20:49:45,404 DEBUG                  - depth 1, hash a2fef00, HEAD~33
2021-07-03 20:49:45,831 DEBUG    [line range] org/apache/commons/csv/CSVFormat.java <clinit> 174:175
2021-07-03 20:49:45,869 DEBUG                  - depth 0, hash 5db1a2c, HEAD~40
2021-07-03 20:49:45,874 DEBUG                  - depth 1, hash 97d3457, HEAD~95
2021-07-03 20:49:45,878 DEBUG                  - depth 2, hash 75f39a8, HEAD~107
2021-07-03 20:49:45,882 DEBUG                  - depth 3, hash 60cc83a, HEAD~160
2021-07-03 20:49:45,886 DEBUG                  - depth 4, hash 50e2719, HEAD~351
2021-07-03 20:49:45,890 DEBUG                  - depth 5, hash 42476f4, HEAD~592
2021-07-03 20:49:45,895 DEBUG                  - depth 6, hash 1166ca6, HEAD~603
2021-07-03 20:49:45,899 DEBUG                  - depth 7, hash eac54a2, HEAD~708
2021-07-03 20:49:45,903 DEBUG    [line range] org/apache/commons/csv/CSVFormat.java <init> 292:311
2021-07-03 20:49:45,936 DEBUG                  - depth 0, hash 97d3457, HEAD~95
2021-07-03 20:49:45,941 DEBUG                  - depth 1, hash 5a0894f, HEAD~119
2021-07-03 20:49:45,945 DEBUG                  - depth 2, hash ab2e7eb, HEAD~123
2021-07-03 20:49:45,949 DEBUG                  - depth 3, hash 75b9a4b, HEAD~159
2021-07-03 20:49:45,953 DEBUG                  - depth 4, hash 60cc83a, HEAD~160
2021-07-03 20:49:45,957 DEBUG                  - depth 5, hash db11c04, HEAD~250
2021-07-03 20:49:45,961 DEBUG                  - depth 6, hash 6a34b82, HEAD~260
2021-07-03 20:49:45,965 DEBUG                  - depth 7, hash 0030e1a, HEAD~312
2021-07-03 20:49:45,970 DEBUG    [line range] org/apache/commons/csv/CSVFormat.java getCommentStart 395:397
2021-07-03 20:49:46,001 DEBUG                  - depth 0, hash 60cc83a, HEAD~160
2021-07-03 20:49:46,007 DEBUG                  - depth 1, hash 9bafed6, HEAD~213
2021-07-03 20:49:46,011 DEBUG                  - depth 2, hash e28d4e9, HEAD~218
