2021-07-04 08:56:12,116 INFO     Search BICs for /tmp/Mockito-10b/
2021-07-04 08:56:12,116 DEBUG    Reading the coverage of org.mockitousage.bugs.DeepStubsWronglyReportsSerializationProblemsTest::should_not_raise_a_mockito_exception_about_serialization_when_accessing_deep_stub (failings)
2021-07-04 08:56:12,142 INFO     Loaded 1x534 Coverage Matrix
2021-07-04 08:56:12,142 INFO     The number of total commits: 2246
2021-07-04 08:56:12,433 DEBUG    [single line]   org/mockito/Answers.java <clinit> 25
2021-07-04 08:56:12,570 DEBUG                  - depth 0, hash 77fea3d, HEAD~889
2021-07-04 08:56:12,576 DEBUG    [single line]   org/mockito/Answers.java <clinit> 34
2021-07-04 08:56:12,692 DEBUG                  - depth 0, hash 77fea3d, HEAD~889
2021-07-04 08:56:12,698 DEBUG    [single line]   org/mockito/Answers.java <clinit> 43
2021-07-04 08:56:12,814 DEBUG                  - depth 0, hash 77fea3d, HEAD~889
2021-07-04 08:56:12,820 DEBUG    [single line]   org/mockito/Answers.java <clinit> 52
2021-07-04 08:56:12,936 DEBUG                  - depth 0, hash 77fea3d, HEAD~889
2021-07-04 08:56:12,941 DEBUG    [single line]   org/mockito/Answers.java <clinit> 62
2021-07-04 08:56:13,057 DEBUG                  - depth 0, hash 77fea3d, HEAD~889
2021-07-04 08:56:13,062 DEBUG    [single line]   org/mockito/Answers.java <clinit> 71
2021-07-04 08:56:13,179 DEBUG                  - depth 0, hash 77fea3d, HEAD~889
2021-07-04 08:56:13,184 DEBUG    [line range] org/mockito/Answers.java <init> 76:78
2021-07-04 08:56:13,300 DEBUG                  - depth 0, hash 77fea3d, HEAD~889
2021-07-04 08:56:13,305 DEBUG    [line range] org/mockito/Answers.java get 80:82
2021-07-04 08:56:13,421 DEBUG                  - depth 0, hash 77fea3d, HEAD~889
2021-07-04 08:56:13,823 DEBUG    [line range] org/mockito/Matchers.java <clinit> 107:107
2021-07-04 08:56:13,953 DEBUG                  - depth 0, hash 1351511, HEAD~264
2021-07-04 08:56:13,958 DEBUG                  - depth 1, hash d94c8c1, HEAD~1382
2021-07-04 08:56:13,962 DEBUG                  - depth 2, hash 7035637, HEAD~1439
2021-07-04 08:56:13,966 DEBUG                  - depth 3, hash 863efe6, HEAD~1458
