2021-07-03 20:54:30,317 INFO     Search BICs for /tmp/Gson-2b/
2021-07-03 20:54:30,317 DEBUG    Reading the coverage of com.google.gson.functional.DefaultTypeAdaptersTest::testJsonElementTypeMismatch (failings)
2021-07-03 20:54:30,345 INFO     Loaded 1x379 Coverage Matrix
2021-07-03 20:54:30,346 INFO     The number of total commits: 1113
2021-07-03 20:54:30,644 DEBUG    [single line]   com/google/gson/FieldNamingPolicy.java <clinit> 31
2021-07-03 20:54:30,690 DEBUG                  - depth 0, hash f89e92a, HEAD~364
2021-07-03 20:54:30,696 DEBUG                  - depth 1, hash 57d1f32, HEAD~1112
2021-07-03 20:54:30,700 DEBUG    [single line]   com/google/gson/FieldNamingPolicy.java <clinit> 37
2021-07-03 20:54:30,746 DEBUG                  - depth 0, hash f89e92a, HEAD~364
2021-07-03 20:54:30,752 DEBUG                  - depth 1, hash 57d1f32, HEAD~1112
2021-07-03 20:54:30,756 DEBUG    [single line]   com/google/gson/FieldNamingPolicy.java <clinit> 53
2021-07-03 20:54:30,802 DEBUG                  - depth 0, hash f89e92a, HEAD~364
2021-07-03 20:54:30,808 DEBUG                  - depth 1, hash 57d1f32, HEAD~1112
2021-07-03 20:54:30,812 DEBUG    [single line]   com/google/gson/FieldNamingPolicy.java <clinit> 72
2021-07-03 20:54:30,858 DEBUG                  - depth 0, hash f89e92a, HEAD~364
2021-07-03 20:54:30,863 DEBUG                  - depth 1, hash ba01548, HEAD~829
2021-07-03 20:54:30,867 DEBUG    [single line]   com/google/gson/FieldNamingPolicy.java <clinit> 90
2021-07-03 20:54:30,913 DEBUG                  - depth 0, hash f89e92a, HEAD~364
2021-07-03 20:54:30,918 DEBUG                  - depth 1, hash ad4ff69, HEAD~910
2021-07-03 20:54:30,923 DEBUG                  - depth 2, hash 57d1f32, HEAD~1112
2021-07-03 20:54:30,927 DEBUG    [single line]   com/google/gson/FieldNamingPolicy.java <clinit> 113
2021-07-03 20:54:30,974 DEBUG                  - depth 0, hash f89e92a, HEAD~364
2021-07-03 20:54:30,979 DEBUG                  - depth 1, hash ad4ff69, HEAD~910
2021-07-03 20:54:30,984 DEBUG                  - depth 2, hash 57d1f32, HEAD~1112
2021-07-03 20:54:30,988 DEBUG    [single line]   com/google/gson/FieldNamingPolicy.java <init> 37
2021-07-03 20:54:31,034 DEBUG                  - depth 0, hash f89e92a, HEAD~364
2021-07-03 20:54:31,039 DEBUG                  - depth 1, hash 57d1f32, HEAD~1112
2021-07-03 20:54:31,044 DEBUG    [single line]   com/google/gson/FieldNamingPolicy.java <init> 53
2021-07-03 20:54:31,090 DEBUG                  - depth 0, hash f89e92a, HEAD~364
2021-07-03 20:54:31,096 DEBUG                  - depth 1, hash 57d1f32, HEAD~1112
2021-07-03 20:54:31,100 DEBUG    [single line]   com/google/gson/FieldNamingPolicy.java <init> 72
2021-07-03 20:54:31,146 DEBUG                  - depth 0, hash f89e92a, HEAD~364
2021-07-03 20:54:31,151 DEBUG                  - depth 1, hash ba01548, HEAD~829
2021-07-03 20:54:31,155 DEBUG    [single line]   com/google/gson/FieldNamingPolicy.java <init> 90
2021-07-03 20:54:31,201 DEBUG                  - depth 0, hash f89e92a, HEAD~364
2021-07-03 20:54:31,206 DEBUG                  - depth 1, hash ad4ff69, HEAD~910
2021-07-03 20:54:31,210 DEBUG                  - depth 2, hash 57d1f32, HEAD~1112
2021-07-03 20:54:31,214 DEBUG    [single line]   com/google/gson/FieldNamingPolicy.java <init> 113
2021-07-03 20:54:31,261 DEBUG                  - depth 0, hash f89e92a, HEAD~364
2021-07-03 20:54:31,267 DEBUG                  - depth 1, hash ad4ff69, HEAD~910
2021-07-03 20:54:31,271 DEBUG                  - depth 2, hash 57d1f32, HEAD~1112
2021-07-03 20:54:31,687 DEBUG    [line range] com/google/gson/Gson.java <init> 176:181
2021-07-03 20:54:31,752 DEBUG                  - depth 0, hash d7fbac0, HEAD~303
