2021-07-03 21:05:50,651 INFO     Search BICs for /tmp/JacksonCore-8b/
2021-07-03 21:05:50,651 DEBUG    Reading the coverage of com.fasterxml.jackson.core.util.TestTextBuffer::testEmpty (failings)
2021-07-03 21:05:50,658 INFO     Loaded 1x25 Coverage Matrix
2021-07-03 21:05:50,658 INFO     The number of total commits: 690
2021-07-03 21:05:50,976 DEBUG    [line range] com/fasterxml/jackson/core/util/BufferRecycler.java <clinit> 45:45
2021-07-03 21:05:51,001 DEBUG                  - depth 0, hash 175a97b, HEAD~315
2021-07-03 21:05:51,006 DEBUG                  - depth 1, hash f633f10, HEAD~325
2021-07-03 21:05:51,011 DEBUG                  - depth 2, hash f15531c, HEAD~684
2021-07-03 21:05:51,015 DEBUG    [line range] com/fasterxml/jackson/core/util/BufferRecycler.java <init> 61:63
2021-07-03 21:05:51,039 DEBUG                  - depth 0, hash ebf0091, HEAD~312
2021-07-03 21:05:51,044 DEBUG                  - depth 1, hash f633f10, HEAD~325
2021-07-03 21:05:51,048 DEBUG                  - depth 2, hash f15531c, HEAD~684
2021-07-03 21:05:51,052 DEBUG    [line range] com/fasterxml/jackson/core/util/BufferRecycler.java <init> 71:74
2021-07-03 21:05:51,077 DEBUG                  - depth 0, hash ebf0091, HEAD~312
2021-07-03 21:05:51,082 DEBUG                  - depth 1, hash f15531c, HEAD~684
2021-07-03 21:05:51,472 DEBUG    [line range] com/fasterxml/jackson/core/util/TextBuffer.java <clinit> 29:29
2021-07-03 21:05:51,497 DEBUG                  - depth 0, hash f15531c, HEAD~684
2021-07-03 21:05:51,502 DEBUG    [line range] com/fasterxml/jackson/core/util/TextBuffer.java <init> 85:85
2021-07-03 21:05:51,527 DEBUG                  - depth 0, hash f15531c, HEAD~684
2021-07-03 21:05:51,532 DEBUG    [line range] com/fasterxml/jackson/core/util/TextBuffer.java getTextBuffer 298:310
2021-07-03 21:05:51,558 DEBUG                  - depth 0, hash 0c8d86e, HEAD~304
2021-07-03 21:05:51,563 DEBUG                  - depth 1, hash f15531c, HEAD~684
2021-07-03 21:05:51,567 DEBUG    [line range] com/fasterxml/jackson/core/util/TextBuffer.java resetWithEmpty 154:168
2021-07-03 21:05:51,592 DEBUG                  - depth 0, hash f15531c, HEAD~684
2021-07-03 21:05:51,598 INFO     The number of BIC candidates: 5
