2021-07-03 07:38:45,600 INFO     Search BICs for /tmp/Cli-34b/
2021-07-03 07:38:45,600 DEBUG    Reading the coverage of org.apache.commons.cli.OptionBuilderTest::testTwoCompleteOptions (failings)
2021-07-03 07:38:45,607 DEBUG    Reading the coverage of org.apache.commons.cli.CommandLineTest::testGetParsedOptionValue (failings)
2021-07-03 07:38:45,616 INFO     Loaded 2x229 Coverage Matrix
2021-07-03 07:38:45,616 INFO     The number of total commits: 648
2021-07-03 07:38:45,985 DEBUG    [line range] org/apache/commons/cli/Option.java <init> 89:92
2021-07-03 07:38:46,011 DEBUG                  - depth 0, hash 147df44, HEAD~164
2021-07-03 07:38:46,017 DEBUG                  - depth 1, hash 9b2b803, HEAD~563
2021-07-03 07:38:46,021 DEBUG                  - depth 2, hash 04490af, HEAD~611
2021-07-03 07:38:46,025 DEBUG                  - depth 3, hash 16b91ad, HEAD~619
2021-07-03 07:38:46,029 DEBUG    [line range] org/apache/commons/cli/Option.java <init> 69:69
2021-07-03 07:38:46,056 DEBUG                  - depth 0, hash 9b2b803, HEAD~563
2021-07-03 07:38:46,061 DEBUG                  - depth 1, hash 04490af, HEAD~611
2021-07-03 07:38:46,065 DEBUG                  - depth 2, hash 16b91ad, HEAD~619
2021-07-03 07:38:46,069 DEBUG                  - depth 3, hash aae50c5, HEAD~646
2021-07-03 07:38:46,074 DEBUG    [line range] org/apache/commons/cli/Option.java getDescription 265:268
2021-07-03 07:38:46,100 DEBUG                  - depth 0, hash 147df44, HEAD~164
2021-07-03 07:38:46,105 DEBUG                  - depth 1, hash 9b2b803, HEAD~563
2021-07-03 07:38:46,110 DEBUG                  - depth 2, hash aae50c5, HEAD~646
2021-07-03 07:38:46,114 DEBUG    [line range] org/apache/commons/cli/Option.java getLongOpt 206:209
2021-07-03 07:38:46,140 DEBUG                  - depth 0, hash 147df44, HEAD~164
2021-07-03 07:38:46,146 DEBUG                  - depth 1, hash 9b2b803, HEAD~563
2021-07-03 07:38:46,150 DEBUG                  - depth 2, hash aae50c5, HEAD~646
2021-07-03 07:38:46,154 DEBUG    [line range] org/apache/commons/cli/Option.java getOpt 176:179
2021-07-03 07:38:46,180 DEBUG                  - depth 0, hash 147df44, HEAD~164
2021-07-03 07:38:46,186 DEBUG                  - depth 1, hash 9b2b803, HEAD~563
2021-07-03 07:38:46,190 DEBUG                  - depth 2, hash 4cca25d, HEAD~643
2021-07-03 07:38:46,194 DEBUG                  - depth 3, hash aae50c5, HEAD~646
2021-07-03 07:38:46,198 DEBUG    [line range] org/apache/commons/cli/Option.java getType 186:189
2021-07-03 07:38:46,224 DEBUG                  - depth 0, hash 147df44, HEAD~164
2021-07-03 07:38:46,230 DEBUG                  - depth 1, hash 9b2b803, HEAD~563
2021-07-03 07:38:46,234 DEBUG                  - depth 2, hash aae50c5, HEAD~646
2021-07-03 07:38:46,238 DEBUG    [line range] org/apache/commons/cli/Option.java hasArg 255:258
2021-07-03 07:38:46,265 DEBUG                  - depth 0, hash 147df44, HEAD~164
2021-07-03 07:38:46,270 DEBUG                  - depth 1, hash 9b2b803, HEAD~563
2021-07-03 07:38:46,274 DEBUG                  - depth 2, hash 16b91ad, HEAD~619
2021-07-03 07:38:46,278 DEBUG                  - depth 3, hash aae50c5, HEAD~646
2021-07-03 07:38:46,283 DEBUG    [line range] org/apache/commons/cli/Option.java hasArgs 336:339
2021-07-03 07:38:46,309 DEBUG                  - depth 0, hash 147df44, HEAD~164
2021-07-03 07:38:46,315 DEBUG                  - depth 1, hash 8ee0ed5, HEAD~190
2021-07-03 07:38:46,319 DEBUG                  - depth 2, hash 9b2b803, HEAD~563
2021-07-03 07:38:46,323 DEBUG                  - depth 3, hash 5470bca, HEAD~567
2021-07-03 07:38:46,327 DEBUG                  - depth 4, hash 347bbeb, HEAD~572
2021-07-03 07:38:46,331 DEBUG                  - depth 5, hash 43a3545, HEAD~590
2021-07-03 07:38:46,335 DEBUG                  - depth 6, hash 62670f5, HEAD~596
2021-07-03 07:38:46,339 DEBUG                  - depth 7, hash 04490af, HEAD~611
2021-07-03 07:38:46,343 DEBUG                  - depth 8, hash 1060ee7, HEAD~617
2021-07-03 07:38:46,347 DEBUG                  - depth 9, hash 16b91ad, HEAD~619
2021-07-03 07:38:46,352 DEBUG                  - depth 10, hash 7f90b98, HEAD~622
2021-07-03 07:38:46,356 DEBUG                  - depth 11, hash aae50c5, HEAD~646
2021-07-03 07:38:46,360 DEBUG    [line range] org/apache/commons/cli/Option.java isRequired 286:289
