2021-07-04 10:17:25,034 INFO     Search BICs for /tmp/Time-13b/
2021-07-04 10:17:25,034 DEBUG    Reading the coverage of org.joda.time.format.TestISOPeriodFormat::testFormatStandard_negative (failings)
2021-07-04 10:17:25,129 INFO     Loaded 1x1328 Coverage Matrix
2021-07-04 10:17:25,130 INFO     The number of total commits: 1583
2021-07-04 10:17:25,472 DEBUG    [single line]   org/joda/time/Chronology.java <init> 63
2021-07-04 10:17:25,535 DEBUG                  - depth 0, hash 6bdd176, HEAD~1155
2021-07-04 10:17:25,541 DEBUG                  - depth 1, hash 14dcaf0, HEAD~1458
2021-07-04 10:17:25,545 DEBUG                  - depth 2, hash 7fe68f2, HEAD~1579
2021-07-04 10:17:25,876 DEBUG    [single line]   org/joda/time/DateTimeField.java <init> 33
2021-07-04 10:17:25,938 DEBUG                  - depth 0, hash 92e7588, HEAD~1396
2021-07-04 10:17:25,944 DEBUG                  - depth 1, hash 0e07ac6, HEAD~1573
2021-07-04 10:17:25,948 DEBUG                  - depth 2, hash 7fe68f2, HEAD~1579
2021-07-04 10:17:26,323 DEBUG    [line range] org/joda/time/DateTimeFieldType.java <clinit> 73:74
2021-07-04 10:17:26,383 DEBUG                  - depth 0, hash 1a5b0ef, HEAD~1117
2021-07-04 10:17:26,388 DEBUG                  - depth 1, hash a5f5886, HEAD~1120
2021-07-04 10:17:26,393 DEBUG                  - depth 2, hash 4f78ec4, HEAD~1121
2021-07-04 10:17:26,397 DEBUG                  - depth 3, hash de0a353, HEAD~1122
2021-07-04 10:17:26,401 DEBUG    [line range] org/joda/time/DateTimeFieldType.java <init> 152:155
2021-07-04 10:17:26,460 DEBUG                  - depth 0, hash 1a5b0ef, HEAD~1117
2021-07-04 10:17:26,465 DEBUG                  - depth 1, hash a5f5886, HEAD~1120
2021-07-04 10:17:26,470 DEBUG                  - depth 2, hash de0a353, HEAD~1122
2021-07-04 10:17:26,474 DEBUG    [line range] org/joda/time/DateTimeFieldType.java centuryOfEra 353:355
2021-07-04 10:17:26,534 DEBUG                  - depth 0, hash 1a5b0ef, HEAD~1117
2021-07-04 10:17:26,540 DEBUG                  - depth 1, hash de0a353, HEAD~1122
2021-07-04 10:17:26,544 DEBUG    [line range] org/joda/time/DateTimeFieldType.java clockhourOfDay 226:228
2021-07-04 10:17:26,604 DEBUG                  - depth 0, hash 1a5b0ef, HEAD~1117
2021-07-04 10:17:26,610 DEBUG                  - depth 1, hash de0a353, HEAD~1122
2021-07-04 10:17:26,614 DEBUG    [line range] org/joda/time/DateTimeFieldType.java clockhourOfHalfday 244:246
2021-07-04 10:17:26,673 DEBUG                  - depth 0, hash 1a5b0ef, HEAD~1117
2021-07-04 10:17:26,678 DEBUG                  - depth 1, hash de0a353, HEAD~1122
2021-07-04 10:17:26,683 DEBUG    [line range] org/joda/time/DateTimeFieldType.java dayOfMonth 272:274
2021-07-04 10:17:26,744 DEBUG                  - depth 0, hash 1a5b0ef, HEAD~1117
2021-07-04 10:17:26,749 DEBUG                  - depth 1, hash de0a353, HEAD~1122
2021-07-04 10:17:26,753 DEBUG    [line range] org/joda/time/DateTimeFieldType.java dayOfWeek 263:265
2021-07-04 10:17:26,812 DEBUG                  - depth 0, hash 1a5b0ef, HEAD~1117
2021-07-04 10:17:26,818 DEBUG                  - depth 1, hash de0a353, HEAD~1122
2021-07-04 10:17:26,822 DEBUG    [line range] org/joda/time/DateTimeFieldType.java dayOfYear 281:283
2021-07-04 10:17:26,883 DEBUG                  - depth 0, hash 1a5b0ef, HEAD~1117
2021-07-04 10:17:26,888 DEBUG                  - depth 1, hash de0a353, HEAD~1122
2021-07-04 10:17:26,892 DEBUG    [line range] org/joda/time/DateTimeFieldType.java era 362:364
2021-07-04 10:17:26,952 DEBUG                  - depth 0, hash 1a5b0ef, HEAD~1117
2021-07-04 10:17:26,958 DEBUG                  - depth 1, hash de0a353, HEAD~1122
2021-07-04 10:17:26,962 DEBUG    [line range] org/joda/time/DateTimeFieldType.java halfdayOfDay 253:255
2021-07-04 10:17:27,021 DEBUG                  - depth 0, hash 1a5b0ef, HEAD~1117
2021-07-04 10:17:27,026 DEBUG                  - depth 1, hash de0a353, HEAD~1122
2021-07-04 10:17:27,031 DEBUG    [line range] org/joda/time/DateTimeFieldType.java hourOfDay 217:219
2021-07-04 10:17:27,090 DEBUG                  - depth 0, hash 1a5b0ef, HEAD~1117
