2021-07-03 20:16:56,227 INFO     Search BICs for /tmp/Codec-14b/
2021-07-03 20:16:56,227 DEBUG    Reading the coverage of org.apache.commons.codec.language.bm.PhoneticEngineRegressionTest::testCompatibilityWithOriginalVersion (failings)
2021-07-03 20:16:56,239 INFO     Loaded 1x419 Coverage Matrix
2021-07-03 20:16:56,240 INFO     The number of total commits: 1343
2021-07-03 20:16:56,596 DEBUG    [line range] org/apache/commons/codec/language/bm/Lang.java <clinit> 96:96
2021-07-03 20:16:56,649 DEBUG                  - depth 0, hash 1573a12, HEAD~535
2021-07-03 20:16:56,655 DEBUG    [line range] org/apache/commons/codec/language/bm/Lang.java <init> 190:193
2021-07-03 20:16:56,709 DEBUG                  - depth 0, hash ab1ee1b, HEAD~158
2021-07-03 20:16:56,714 DEBUG                  - depth 1, hash 1573a12, HEAD~535
2021-07-03 20:16:56,718 DEBUG    [line range] org/apache/commons/codec/language/bm/Lang.java guessLanguages 214:230
2021-07-03 20:16:56,772 DEBUG                  - depth 0, hash ab1ee1b, HEAD~158
2021-07-03 20:16:56,777 DEBUG                  - depth 1, hash 79a585c, HEAD~277
2021-07-03 20:16:56,781 DEBUG                  - depth 2, hash 29524ee, HEAD~467
2021-07-03 20:16:56,785 DEBUG                  - depth 3, hash 6677acc, HEAD~487
2021-07-03 20:16:56,789 DEBUG                  - depth 4, hash c35dcd2, HEAD~499
2021-07-03 20:16:56,793 DEBUG                  - depth 5, hash ddc7143, HEAD~506
2021-07-03 20:16:56,797 DEBUG                  - depth 6, hash b90ffb4, HEAD~525
2021-07-03 20:16:56,801 DEBUG                  - depth 7, hash 1573a12, HEAD~535
2021-07-03 20:16:56,805 DEBUG    [line range] org/apache/commons/codec/language/bm/Lang.java instance 113:115
2021-07-03 20:16:56,858 DEBUG                  - depth 0, hash ab1ee1b, HEAD~158
2021-07-03 20:16:56,863 DEBUG                  - depth 1, hash 1573a12, HEAD~535
2021-07-03 20:16:56,867 DEBUG    [line range] org/apache/commons/codec/language/bm/Lang.java loadFromResource 129:185
