2021-07-03 20:36:19,511 INFO     Search BICs for /tmp/Compress-29b/
2021-07-03 20:36:19,511 DEBUG    Reading the coverage of org.apache.commons.compress.archivers.ArchiveStreamFactoryTest::testEncodingInputStreamAutodetect (failings)
2021-07-03 20:36:19,557 DEBUG    Reading the coverage of org.apache.commons.compress.archivers.ArchiveStreamFactoryTest::testEncodingInputStream (failings)
2021-07-03 20:36:19,612 DEBUG    Reading the coverage of org.apache.commons.compress.archivers.ArchiveStreamFactoryTest::testEncodingOutputStream (failings)
2021-07-03 20:36:19,660 INFO     Loaded 3x727 Coverage Matrix
2021-07-03 20:36:19,661 INFO     The number of total commits: 1710
2021-07-03 20:36:19,962 DEBUG    [single line]   org/apache/commons/compress/archivers/ArchiveInputStream.java <init> 40
2021-07-03 20:36:20,019 DEBUG                  - depth 0, hash ca16539, HEAD~1597
2021-07-03 20:36:20,025 DEBUG    [line range] org/apache/commons/compress/archivers/ArchiveInputStream.java <init> 42:42
2021-07-03 20:36:20,083 DEBUG                  - depth 0, hash 2a207ec, HEAD~579
2021-07-03 20:36:20,088 DEBUG                  - depth 1, hash 253196a, HEAD~1361
2021-07-03 20:36:20,092 DEBUG    [line range] org/apache/commons/compress/archivers/ArchiveInputStream.java count 91:93
2021-07-03 20:36:20,152 DEBUG                  - depth 0, hash 2dca661, HEAD~1141
2021-07-03 20:36:20,158 DEBUG                  - depth 1, hash 4bce1fb, HEAD~1295
2021-07-03 20:36:20,162 DEBUG    [line range] org/apache/commons/compress/archivers/ArchiveInputStream.java count 102:106
2021-07-03 20:36:20,220 DEBUG                  - depth 0, hash 2dca661, HEAD~1141
2021-07-03 20:36:20,226 DEBUG                  - depth 1, hash 4bce1fb, HEAD~1295
2021-07-03 20:36:20,230 DEBUG    [line range] org/apache/commons/compress/archivers/ArchiveInputStream.java pushedBackBytes 114:116
2021-07-03 20:36:20,287 DEBUG                  - depth 0, hash 2dca661, HEAD~1141
2021-07-03 20:36:20,627 DEBUG    [line range] org/apache/commons/compress/archivers/ArchiveStreamFactory.java <init> 134:136
2021-07-03 20:36:20,688 DEBUG                  - depth 0, hash 0b33b14, HEAD~8
2021-07-03 20:36:20,693 DEBUG                  - depth 1, hash 2ab43b0, HEAD~645
2021-07-03 20:36:20,697 DEBUG    [line range] org/apache/commons/compress/archivers/ArchiveStreamFactory.java <init> 129:129
2021-07-03 20:36:20,758 DEBUG                  - depth 0, hash 0b33b14, HEAD~8
2021-07-03 20:36:20,763 DEBUG                  - depth 1, hash 2ab43b0, HEAD~645
2021-07-03 20:36:20,767 DEBUG    [line range] org/apache/commons/compress/archivers/ArchiveStreamFactory.java createArchiveInputStream 320:397
2021-07-03 20:36:20,830 DEBUG                  - depth 0, hash a99d1e3, HEAD~257
2021-07-03 20:36:20,835 DEBUG                  - depth 1, hash 885d205, HEAD~286
2021-07-03 20:36:20,839 DEBUG                  - depth 2, hash 38e8add, HEAD~420
2021-07-03 20:36:20,843 DEBUG                  - depth 3, hash f3d34aa, HEAD~438
2021-07-03 20:36:20,847 DEBUG                  - depth 4, hash 93a15dd, HEAD~506
2021-07-03 20:36:20,851 DEBUG                  - depth 5, hash 9d23637, HEAD~642
2021-07-03 20:36:20,855 DEBUG                  - depth 6, hash 2ab43b0, HEAD~645
2021-07-03 20:36:20,860 DEBUG                  - depth 7, hash 9bdacbf, HEAD~646
2021-07-03 20:36:20,864 DEBUG                  - depth 8, hash b410868, HEAD~754
2021-07-03 20:36:20,868 DEBUG                  - depth 9, hash a933173, HEAD~755
2021-07-03 20:36:20,872 DEBUG                  - depth 10, hash a932366, HEAD~863
