2021-07-03 07:32:16,996 INFO     Search BICs for /tmp/Cli-11b/
2021-07-03 07:32:16,996 DEBUG    Reading the coverage of org.apache.commons.cli.HelpFormatterTest::testPrintOptionWithEmptyArgNameUsage (failings)
2021-07-03 07:32:17,000 INFO     Loaded 1x100 Coverage Matrix
2021-07-03 07:32:17,000 INFO     The number of total commits: 340
2021-07-03 07:32:17,396 DEBUG    [single line]   org/apache/commons/cli/HelpFormatter.java <init> 34
2021-07-03 07:32:17,412 DEBUG                  - depth 0, hash 9b2b803, HEAD~255
2021-07-03 07:32:17,418 DEBUG                  - depth 1, hash 6bcbf15, HEAD~261
2021-07-03 07:32:17,422 DEBUG                  - depth 2, hash 4c34483, HEAD~266
2021-07-03 07:32:17,426 DEBUG                  - depth 3, hash a021283, HEAD~286
2021-07-03 07:32:17,430 DEBUG                  - depth 4, hash 62670f5, HEAD~288
2021-07-03 07:32:17,434 DEBUG                  - depth 5, hash 821b85f, HEAD~293
2021-07-03 07:32:17,438 DEBUG                  - depth 6, hash c712732, HEAD~320
2021-07-03 07:32:17,443 DEBUG                  - depth 7, hash 4dcbfa6, HEAD~322
2021-07-03 07:32:17,447 DEBUG                  - depth 8, hash 4cca25d, HEAD~335
2021-07-03 07:32:17,451 DEBUG                  - depth 9, hash aae50c5, HEAD~338
2021-07-03 07:32:17,455 DEBUG    [line range] org/apache/commons/cli/HelpFormatter.java <init> 69:69
2021-07-03 07:32:17,472 DEBUG                  - depth 0, hash c29455d, HEAD~43
2021-07-03 07:32:17,477 DEBUG                  - depth 1, hash 9b2b803, HEAD~255
2021-07-03 07:32:17,481 DEBUG                  - depth 2, hash 6bcbf15, HEAD~261
2021-07-03 07:32:17,485 DEBUG                  - depth 3, hash 4c34483, HEAD~266
2021-07-03 07:32:17,489 DEBUG                  - depth 4, hash a021283, HEAD~286
2021-07-03 07:32:17,493 DEBUG                  - depth 5, hash 62670f5, HEAD~288
2021-07-03 07:32:17,497 DEBUG                  - depth 6, hash 821b85f, HEAD~293
2021-07-03 07:32:17,502 DEBUG                  - depth 7, hash c712732, HEAD~320
2021-07-03 07:32:17,506 DEBUG                  - depth 8, hash 4dcbfa6, HEAD~322
2021-07-03 07:32:17,510 DEBUG                  - depth 9, hash 4cca25d, HEAD~335
2021-07-03 07:32:17,514 DEBUG                  - depth 10, hash aae50c5, HEAD~338
2021-07-03 07:32:17,518 DEBUG    [line range] org/apache/commons/cli/HelpFormatter.java appendOption 613:642
2021-07-03 07:32:17,534 DEBUG                  - depth 0, hash 9b2b803, HEAD~255
2021-07-03 07:32:17,539 DEBUG                  - depth 1, hash 6bcbf15, HEAD~261
2021-07-03 07:32:17,543 DEBUG                  - depth 2, hash 4c34483, HEAD~266
2021-07-03 07:32:17,548 DEBUG                  - depth 3, hash a021283, HEAD~286
2021-07-03 07:32:17,552 DEBUG                  - depth 4, hash 62670f5, HEAD~288
2021-07-03 07:32:17,556 DEBUG                  - depth 5, hash 821b85f, HEAD~293
2021-07-03 07:32:17,560 DEBUG                  - depth 6, hash c712732, HEAD~320
2021-07-03 07:32:17,564 DEBUG                  - depth 7, hash 4dcbfa6, HEAD~322
2021-07-03 07:32:17,568 DEBUG                  - depth 8, hash 4cca25d, HEAD~335
2021-07-03 07:32:17,572 DEBUG                  - depth 9, hash aae50c5, HEAD~338
2021-07-03 07:32:17,576 DEBUG    [line range] org/apache/commons/cli/HelpFormatter.java findWrapPos 872:916
2021-07-03 07:32:17,592 DEBUG                  - depth 0, hash a8a8ec0, HEAD~172
2021-07-03 07:32:17,597 DEBUG                  - depth 1, hash 9cb37e0, HEAD~182
2021-07-03 07:32:17,602 DEBUG                  - depth 2, hash 9b2b803, HEAD~255
2021-07-03 07:32:17,606 DEBUG                  - depth 3, hash 821b85f, HEAD~293
2021-07-03 07:32:17,610 DEBUG                  - depth 4, hash aae50c5, HEAD~338
2021-07-03 07:32:17,614 DEBUG    [line range] org/apache/commons/cli/HelpFormatter.java getOptionComparator 300:303
2021-07-03 07:32:17,627 DEBUG                  - depth 0, hash df8f8e1, HEAD~17
2021-07-03 07:32:17,632 DEBUG    [line range] org/apache/commons/cli/HelpFormatter.java printUsage 510:568
2021-07-03 07:32:17,649 DEBUG                  - depth 0, hash df8f8e1, HEAD~17
2021-07-03 07:32:17,655 DEBUG                  - depth 1, hash 6f972cf, HEAD~56
2021-07-03 07:32:17,659 DEBUG                  - depth 2, hash 9b2b803, HEAD~255
2021-07-03 07:32:17,663 DEBUG                  - depth 3, hash 6bcbf15, HEAD~261
2021-07-03 07:32:17,667 DEBUG                  - depth 4, hash 4c34483, HEAD~266
2021-07-03 07:32:17,671 DEBUG                  - depth 5, hash a021283, HEAD~286
2021-07-03 07:32:17,675 DEBUG                  - depth 6, hash 62670f5, HEAD~288
2021-07-03 07:32:17,679 DEBUG                  - depth 7, hash 821b85f, HEAD~293
2021-07-03 07:32:17,684 DEBUG                  - depth 8, hash c712732, HEAD~320
2021-07-03 07:32:17,688 DEBUG                  - depth 9, hash 4dcbfa6, HEAD~322
2021-07-03 07:32:17,692 DEBUG                  - depth 10, hash 4cca25d, HEAD~335
2021-07-03 07:32:17,696 DEBUG                  - depth 11, hash aae50c5, HEAD~338
2021-07-03 07:32:17,700 DEBUG    [line range] org/apache/commons/cli/HelpFormatter.java printWrapped 701:708
2021-07-03 07:32:17,717 DEBUG                  - depth 0, hash 9b2b803, HEAD~255
2021-07-03 07:32:17,722 DEBUG                  - depth 1, hash 6bcbf15, HEAD~261
2021-07-03 07:32:17,726 DEBUG                  - depth 2, hash 4c34483, HEAD~266
2021-07-03 07:32:17,730 DEBUG                  - depth 3, hash a021283, HEAD~286
2021-07-03 07:32:17,734 DEBUG                  - depth 4, hash 62670f5, HEAD~288
2021-07-03 07:32:17,739 DEBUG                  - depth 5, hash 821b85f, HEAD~293
2021-07-03 07:32:17,743 DEBUG                  - depth 6, hash c712732, HEAD~320
2021-07-03 07:32:17,747 DEBUG                  - depth 7, hash 4dcbfa6, HEAD~322
2021-07-03 07:32:17,751 DEBUG                  - depth 8, hash 4cca25d, HEAD~335
2021-07-03 07:32:17,755 DEBUG                  - depth 9, hash aae50c5, HEAD~338
2021-07-03 07:32:17,759 DEBUG    [line range] org/apache/commons/cli/HelpFormatter.java renderWrappedText 826:857
2021-07-03 07:32:17,776 DEBUG                  - depth 0, hash 4f40737, HEAD~20
2021-07-03 07:32:17,782 DEBUG                  - depth 1, hash a8a8ec0, HEAD~172
2021-07-03 07:32:17,786 DEBUG                  - depth 2, hash 9b2b803, HEAD~255
2021-07-03 07:32:17,790 DEBUG                  - depth 3, hash 6bcbf15, HEAD~261
2021-07-03 07:32:17,794 DEBUG                  - depth 4, hash 4c34483, HEAD~266
2021-07-03 07:32:17,798 DEBUG                  - depth 5, hash a021283, HEAD~286
2021-07-03 07:32:17,802 DEBUG                  - depth 6, hash 62670f5, HEAD~288
2021-07-03 07:32:17,807 DEBUG                  - depth 7, hash 821b85f, HEAD~293
2021-07-03 07:32:17,811 DEBUG                  - depth 8, hash c712732, HEAD~320
2021-07-03 07:32:17,815 DEBUG                  - depth 9, hash 4dcbfa6, HEAD~322
2021-07-03 07:32:17,819 DEBUG                  - depth 10, hash 4cca25d, HEAD~335
2021-07-03 07:32:17,823 DEBUG                  - depth 11, hash aae50c5, HEAD~338
2021-07-03 07:32:17,827 DEBUG    [line range] org/apache/commons/cli/HelpFormatter.java rtrim 944:959
2021-07-03 07:32:17,843 DEBUG                  - depth 0, hash 9cb37e0, HEAD~182
2021-07-03 07:32:17,848 DEBUG                  - depth 1, hash 9b2b803, HEAD~255
2021-07-03 07:32:17,853 DEBUG                  - depth 2, hash 821b85f, HEAD~293
2021-07-03 07:32:17,857 DEBUG                  - depth 3, hash aae50c5, HEAD~338
2021-07-03 07:32:17,861 DEBUG    [single line]   org/apache/commons/cli/HelpFormatter.java <init> 968
2021-07-03 07:32:17,876 DEBUG                  - depth 0, hash 8f95e4a, HEAD~229
2021-07-03 07:32:17,882 DEBUG                  - depth 1, hash 9b2b803, HEAD~255
2021-07-03 07:32:17,886 DEBUG                  - depth 2, hash 821b85f, HEAD~293
2021-07-03 07:32:17,890 DEBUG                  - depth 3, hash aae50c5, HEAD~338
2021-07-03 07:32:18,261 DEBUG    [line range] org/apache/commons/cli/Option.java <init> 55:55
2021-07-03 07:32:18,276 DEBUG                  - depth 0, hash beb276c, HEAD~260
2021-07-03 07:32:18,282 DEBUG                  - depth 1, hash 62670f5, HEAD~288
2021-07-03 07:32:18,286 DEBUG    [line range] org/apache/commons/cli/Option.java <init> 106:110
2021-07-03 07:32:18,303 DEBUG                  - depth 0, hash 9b2b803, HEAD~255
2021-07-03 07:32:18,308 DEBUG                  - depth 1, hash 04490af, HEAD~303
2021-07-03 07:32:18,312 DEBUG                  - depth 2, hash fbc0bd0, HEAD~313
2021-07-03 07:32:18,316 DEBUG                  - depth 3, hash 7f90b98, HEAD~314
2021-07-03 07:32:18,321 DEBUG                  - depth 4, hash 4cca25d, HEAD~335
2021-07-03 07:32:18,325 DEBUG                  - depth 5, hash aae50c5, HEAD~338
2021-07-03 07:32:18,329 DEBUG    [line range] org/apache/commons/cli/Option.java getArgName 319:322
2021-07-03 07:32:18,346 DEBUG                  - depth 0, hash 9b2b803, HEAD~255
2021-07-03 07:32:18,351 DEBUG                  - depth 1, hash 5470bca, HEAD~259
2021-07-03 07:32:18,355 DEBUG                  - depth 2, hash 347bbeb, HEAD~264
